,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,399.47,189.98,256.83,95.37,183.55,164.81,142.42,70.14,255.24,178.58,119.83,68.31,210.44,68.99,67.34,43.71,191.11,193.59,37.94,35.84
1,Other Revenue,-,-0.34,0.34,-,0.87,-0.22,0.22,-,0.51,-0.02,0.02,-,0.77,-0.17,0.17,-,0.65,-0.24,0.24,-
2,Revenue,399.47,189.64,257.17,95.37,184.42,164.59,142.64,70.14,255.75,178.56,119.85,68.31,211.21,68.82,67.51,43.71,191.76,193.35,38.18,35.84
3,Revenue Growth (YoY),116.61%,15.22%,80.30%,35.97%,-27.89%,-7.83%,19.01%,2.68%,21.09%,159.45%,77.54%,56.27%,10.14%,-64.40%,76.83%,21.98%,-,-,-,-
4,Cost of Revenue,-332.97,119.88,148.35,64.74,116.41,109.44,90.79,43.47,163.11,109.62,72.84,40.82,130.67,45.29,37.47,22.71,117.26,116.07,59.55,-
5,Gross Profit,732.44,69.75,108.83,30.63,68.01,55.16,51.85,26.67,92.64,68.94,47.02,27.49,80.53,23.54,30.04,21,74.5,77.27,-21.37,35.84
6,"Selling, General & Admin",-88.71,30.07,32.78,25.85,28.59,29.14,29.02,25.2,42.6,23.68,20.85,16.36,22.31,19.85,21.94,13.9,30.19,12.97,29.25,-
7,Research & Development,-52.99,20.31,18.46,14.23,19.13,12.93,12.99,12.19,17.04,12.14,10.9,8.92,12.12,7.15,13.92,8.32,10.96,8.31,13.84,-
8,Other Operating Expenses,822.36,-1.79,1.76,1.56,-0.39,-5.52,1.57,0.29,1.42,0.35,-0.95,-2.6,-4.42,1.18,0.69,0.18,-0.4,-0.73,-45.38,42.89
9,Operating Expenses,676.84,49.21,57.17,40.67,49.87,35.32,43.14,33.74,64.95,35.22,30.79,21.9,36.46,26.33,36.07,18.02,46.45,24.92,-7.95,42.89
10,Operating Income,55.6,20.54,51.66,-10.04,18.14,19.83,8.71,-7.06,27.69,33.72,16.23,5.6,44.08,-2.79,-6.03,2.98,28.05,52.35,-13.42,-7.05
11,Interest Expense,-6.6,-5.03,-5.67,-4.63,-4.27,-3.98,-1.12,-1.63,-2.08,-1.14,-1.15,-1.16,-1.56,-0.96,-1.05,-1.03,-1.05,-0.66,-,-
12,Interest & Investment Income,15.33,1.89,2.5,2.22,6.71,1.28,0.54,1.08,3.55,2.05,0.87,1.53,2.18,0.46,1.55,1.1,1.11,1.59,3.03,-
13,Other Non Operating Income (Expenses),-3.25,2.58,0.3,-0.01,-0.61,0.17,-0.21,-0.01,-3.97,1.08,2.6,-0.01,1.22,-0.67,-0.32,-0.01,0.34,-0.8,2.27,-
14,EBT Excluding Unusual Items,61.08,19.97,48.78,-12.46,19.98,17.3,7.92,-7.62,25.19,35.71,18.55,5.96,45.92,-3.95,-5.84,3.04,28.45,52.48,-8.12,-7.05
15,Gain (Loss) on Sale of Investments,-0.96,-0.1,0.26,0.8,-,0.29,0.62,0.69,-2.26,-0.47,2.54,-,1.21,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0,-,0,-,0.13,-,0.26,0,0.01,-0.01,0.01,0.01,0.02,-0.04,0.04,-,-0.02,0.02,-0.02,-
17,Asset Writedown,-1.72,1.72,-0.09,0.09,3.25,-3.25,-0.69,0.69,-1.41,1.41,-0.31,0.31,-1.49,1.31,-0.26,0.26,0.55,-0.55,-,-
