,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,42,47,56,54,61,62,70,90,70,89,90,92,105,150,249,-,-,-,-
1,Market Cap Growth,-23.67%,-23.67%,-20.94%,-40.00%,-12.88%,-29.83%,-22.00%,-1.64%,-33.43%,-41.00%,-63.86%,-,-,-,-,-,-,-,-
2,Enterprise Value,47,75,83,60,67,59,67,45,25,63,65,38,51,168,267,-,-,-,-
3,Last Close Price,0.14,0.16,0.18,0.18,0.20,0.21,0.23,0.30,0.23,0.29,0.30,0.30,0.35,0.50,0.83,-,-,-,-
4,PE Ratio,-,-,-,-35.88,-2.51,-1.92,-,-,-,-,5.51,3.98,9.13,11.72,8.54,-,-,-,-
5,PS Ratio,0.04,0.05,0.06,0.07,0.09,0.10,0.11,0.13,0.08,0.09,0.10,0.10,0.13,0.21,0.28,-,-,-,-
6,PB Ratio,0.33,0.38,0.44,0.40,0.48,0.49,0.51,0.66,-,0.55,0.54,0.55,-,0.96,2.43,-,-,-,-
7,P/TBV Ratio,0.38,0.38,0.44,0.40,0.48,0.49,0.51,0.66,-,0.55,0.54,0.55,-,0.96,2.43,-,-,-,-
8,P/FCF Ratio,-,7.35,17.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,7.35,17.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.05,0.08,0.09,0.07,0.10,0.09,0.11,0.07,0.03,0.07,0.07,0.04,0.06,0.23,0.30,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,50.56,-3.06,-1.90,-,-,-,-,2.74,1.26,2.30,6.55,5.73,-,-,-,-
12,EV/EBIT Ratio,-,-,-,254.37,-2.95,-1.85,-,-,-,-,2.88,1.31,2.42,6.90,5.84,-,-,-,-
13,EV/FCF Ratio,-1.79,11.64,25.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.38,0.38,0.38,0.42,0.26,0.26,0.21,0.21,-,0.22,0.25,0.25,-,0.14,0.47,0.47,-,-,0.75
15,Debt / EBITDA Ratio,-,-,-,2.95,5.77,5.42,-,-,-,-,3.81,0.93,-,0.74,1.34,3.16,-,-,3.34
16,Debt / FCF Ratio,-,7.53,15.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,2.94,2.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
18,Quick Ratio,1.40,1.40,1.40,1.42,-,1.53,-,1.78,-,1.86,-,1.51,-,2.00,-,1.21,-,-,-
19,Current Ratio,1.59,1.59,1.59,1.59,-,1.78,-,2.09,-,2.12,-,1.66,-,2.23,-,1.38,-,-,-
20,Return on Equity (ROE),-17.51%,-16.96%,12.16%,2.01%,3.06%,-20.84%,-,-,-7.27%,3.85%,-,-,17.20%,32.21%,-,-,-,-,
21,Return on Assets (ROA),-4.19%,-4.04%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22,Return on Capital (ROIC),-6.94%,-6.65%,6.41%,1.99%,1.75%,-10.11%,-,-,-3.58%,3.16%,-,-,10.51%,14.69%,-,-,-,-,
23,Return on Capital Employed (ROCE),-,-,-,0.17%,-,-24.76%,-,-,-,-,-,17.16%,-,15.68%,-,40.07%,-,-,-
24,Earnings Yield,-15.47%,-13.61%,0.15%,-2.79%,-39.78%,-52.03%,-51.71%,-30.66%,-1.12%,8.81%,18.14%,25.11%,10.95%,8.53%,11.70%,-,-,-,-
25,FCF Yield,-63.03%,13.61%,5.81%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Buyback Yield / Dilution,-,-,-,-,-,-,0.01%,-,-,-3.45%,-33.35%,-33.33%,-33.33%,-28.89%,-,-,-,-,
27,Total Shareholder Return,-,-,-,-,-,-,0.01%,-,-,-3.45%,-33.35%,-33.33%,-33.33%,-28.89%,-,-,-,-,
