,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,27.99,27.99,25.91,-,27.64,-,29.55,-,72.28,-,64.93,-,72.97,-,27.58,-,-,-
1,Short-Term Investments,15.36,15.36,2.43,-,-0.78,-,1.77,-,7.84,-,2.73,-,3.13,-,2.8,-,-,-
2,Cash & Short-Term Investments,43.35,43.35,28.35,26.87,26.87,31.32,31.32,-,80.12,67.66,67.66,-,76.1,30.38,30.38,-,-,27.98
3,Cash Growth,61.34%,38.41%,-9.50%,-,-66.46%,-53.71%,-53.71%,-,5.27%,122.71%,122.71%,-,-,8.60%,-,-,-,-
4,Accounts Receivable,185.94,185.94,217.17,-,161.45,-,138.85,-,132.48,-,232.71,-,122.03,-,185.22,-,-,-
5,Other Receivables,-,-,4.46,-,4.76,-,5.01,-,-,-,0.4,-,-,-,-,-,-,-
6,Receivables,185.94,185.94,221.63,-,166.21,-,143.85,-,132.48,-,233.1,-,122.03,-,185.22,-,-,-
7,Prepaid Expenses,0.15,0.15,0.11,-,1.45,-,0.31,-,-,-,-,-,-,-,0.1,-,-,-
8,Other Current Assets,30.31,30.31,30.22,-,30.07,-,30.07,-,30.07,-,30.07,-,23.07,-,30.34,-,-,-
9,Total Current Assets,259.76,259.76,280.3,-,224.6,-,205.56,-,242.66,-,330.83,-,221.2,-,246.05,-,-,-
