,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,213.3,213.3,295.97,207.24,205.46,117.05,156.61,151.18,185.95,180.64,354.4,233.34,167.65,137.08,275.47,140.7,343.5,112.21
1,Revenue Growth (YoY),3.82%,82.23%,88.98%,37.08%,10.49%,-35.20%,-55.81%,-35.21%,10.92%,31.78%,28.66%,65.84%,-51.20%,22.16%,-,-,-,-
2,Cost of Revenue,208.04,208.04,274.1,194.81,193.06,111.63,151.53,148.32,179.56,167.73,319.59,218.63,151.22,120.14,243.23,127.31,306.1,100.88
3,Gross Profit,5.26,5.26,21.87,12.43,12.4,5.42,5.09,2.86,6.39,12.91,34.81,14.71,16.43,16.94,32.24,13.4,37.4,11.34
4,"Selling, General & Admin",10.02,10.02,14.23,11.09,11.27,12.45,22.95,11.13,9.32,10.56,24.67,13.17,9.38,7.29,27.19,8.48,9.1,6.97
5,Operating Expenses,10.12,10.12,17.38,11.16,11.27,12.08,23.53,10.68,9.29,10.28,23.56,13.05,9.51,8.06,28.56,8.48,9.1,7.17
6,Operating Income,-4.86,-4.86,4.49,1.27,1.13,-6.66,-18.45,-7.82,-2.91,2.63,11.25,1.66,6.92,8.88,3.68,4.92,28.31,4.17
7,Interest Expense,-0.91,-0.91,-0.92,-0.7,-0.45,-0.41,-0.54,-0.34,-0.28,-0.59,-0.26,-0.2,-0.06,-0.47,-0.6,-0.61,-0.6,-0.67
8,Interest & Investment Income,0.07,0.07,0.07,0.04,0.08,0.05,-,0.03,0.01,0.05,0,0,0.01,0.01,0.01,0.01,0.01,0.01
9,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,0.25,-,-,-,0.31,-,-,-
10,Other Non Operating Income (Expenses),0.18,0.18,-0.44,0.1,0.49,-,-0.26,0.36,-,0,-1.57,0.02,0.09,1.54,-6.77,-0.98,-0.9,-0.45
11,EBT Excluding Unusual Items,-5.53,-5.53,3.2,0.71,1.26,-7.02,-19.25,-7.77,-3.17,2.1,9.68,1.48,6.94,9.96,-3.37,3.34,26.82,3.06
12,Other Unusual Items,-,-,-,-,-,-,0.52,-,-,-,-,-,-,-,1.28,-,-,-
13,Pretax Income,-5.53,-5.53,3.2,0.71,1.26,-7.02,-18.73,-7.77,-3.17,2.1,9.68,1.48,6.94,9.96,-2.1,3.34,26.82,3.06
14,Income Tax Expense,-,-,-0.77,0.07,0.25,0.09,0.03,-0.32,-0.19,0.51,1.63,0.35,1.4,1.71,1.34,0.91,4.93,0.78
15,Net Income,-5.53,-5.53,3.97,0.64,1.01,-7.11,-18.76,-7.45,-2.98,1.6,8.05,1.13,5.55,8.25,-3.43,2.43,21.89,2.28
16,Net Income to Common,-5.53,-5.53,3.97,0.64,1.01,-7.11,-18.76,-7.45,-2.98,1.6,8.05,1.13,5.55,8.25,-3.43,2.43,21.89,2.28
17,Net Income Growth,-,-,-,-,-,-,-,-,-,-80.66%,-,-53.46%,-74.66%,261.34%,-,-,-,-
18,Shares Outstanding (Basic),300,300,300,300,300,300,300,300,300,300,300,300,300,290,225,225,225,225
19,Shares Outstanding (Diluted),300,300,300,300,300,300,300,300,300,300,300,300,300,290,225,225,225,225
20,Shares Change (YoY),-,-,-,-,-,-,-0.01%,-,-,3.45%,33.35%,33.33%,33.33%,28.89%,-,-,-,-
21,EPS (Basic),-0.02,-0.02,0.01,0.00,0.00,-0.02,-0.06,-0.02,-0.01,0.01,0.03,0.00,0.02,0.03,-0.02,0.01,0.10,0.01
22,EPS (Diluted),-0.02,-0.02,0.01,0.00,0.00,-0.02,-0.06,-0.02,-0.01,0.01,0.03,0.00,0.02,0.03,-0.02,0.01,0.10,0.01
23,EPS Growth,-,-,-,-,-,-,-,-,-,-81.31%,-,-65.10%,-81.00%,180.35%,-,-,-,-
24,Free Cash Flow,3.23,3.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Free Cash Flow Per Share,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
