,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2019,Q4 2018
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Market Capitalization,377150,284050,285000,343900,240350,261250,294500,345800,278350,255550,197600,298300,341050,239400,235600,224200,321100,191900,308750,153900
1,Market Cap Growth,8.73%,8.73%,-3.23%,-0.55%,-13.65%,2.23%,49.04%,15.92%,-18.38%,6.75%,-16.13%,33.05%,6.21%,24.75%,-23.69%,45.68%,-,-,-,-
2,Enterprise Value,314041,214848,215798,265185,159387,175473,206534,276282,217814,195014,151845,253366,301746,168362,164562,153162,250062,120862,-,-
3,PE Ratio,9.45,6.25,14.19,25.98,10.50,-,7.13,7.90,9.81,11.90,7.68,18.76,25.31,13.43,-,12.39,91.88,-59.10,-,-
4,PS Ratio,0.42,0.42,0.43,0.52,0.37,0.40,0.45,0.53,0.43,0.41,0.33,0.53,0.62,0.43,0.41,0.38,0.58,0.47,1.18,1.22
5,PB Ratio,1.51,1.51,1.51,2.03,1.32,1.48,1.55,1.78,1.46,1.41,1.16,1.82,1.97,1.41,-,-,-,-,1.99,-
6,P/FCF Ratio,-,-,-,-,-,-,-,20.46,-,-,14.30,-,-100.56,-,86.50,-,28.39,-,-,-
7,P/OCF Ratio,-,-,-,-,-,-,-,20.46,-,-,14.30,-,-100.56,-,86.50,-,28.39,-,-,-
8,EV/Sales Ratio,0.47,0.32,0.33,0.40,0.24,0.27,0.31,0.42,0.34,0.31,0.26,0.45,0.55,0.30,0.29,0.26,0.45,0.29,-,-
9,EV/EBITDA Ratio,-,10.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/EBIT Ratio,7.93,5.08,7.25,10.20,4.13,-,4.27,5.36,6.48,8.10,4.78,12.40,18.36,7.26,-,6.68,34.81,-73.09,-,-
11,EV/FCF Ratio,-,-,-,-,-,-,-,16.35,-,-,10.99,-,-88.97,-,60.42,-,22.11,-,-,-
12,Debt / Equity Ratio,0.04,0.04,0.04,0.06,0.07,0.08,0.08,0.08,0.09,0.10,0.12,0.13,0.13,0.14,-,-,-,-,0.21,-
13,Debt / EBITDA Ratio,-,0.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / FCF Ratio,-,-,-,-,-,-,-,0.94,-,-,1.43,-,-6.49,-,-,-,-,-,-,-
15,Quick Ratio,0.81,0.81,0.81,0.99,1.12,0.87,1.40,1.27,1.47,1.15,1.26,1.14,1.26,1.05,-,-,-,-,0.96,-
16,Current Ratio,1.23,1.23,1.23,1.22,1.34,1.19,1.61,1.56,1.74,1.42,1.44,1.35,1.52,1.40,-,-,-,-,1.16,-
17,Asset Turnover,2.29,2.30,2.36,2.18,2.09,2.16,2.26,-,2.32,2.36,2.37,2.09,-,-,-,-,-,-,-,
18,Return on Equity (ROE),33.19%,22.55%,30.78%,13.89%,-21.27%,6.75%,48.16%,-,12.68%,13.75%,18.40%,5.58%,-,-,-,-,-,-,-,
19,Return on Assets (ROA),9.00%,6.79%,13.98%,6.18%,-1.58%,3.42%,24.22%,-,3.17%,6.74%,10.31%,1.96%,-,-,-,-,-,-,-,
20,Return on Capital (ROIC),13.46%,10.53%,21.80%,9.68%,-2.41%,5.02%,34.62%,-,4.64%,9.75%,14.55%,2.70%,-,-,-,-,-,-,-,
21,Return on Capital Employed (ROCE),20.60%,21.98%,15.48%,14.79%,20.24%,-,24.07%,25.07%,16.39%,12.28%,17.03%,11.30%,8.54%,12.26%,-,-,-,-,-,-
22,Earnings Yield,10.58%,15.99%,7.04%,3.85%,9.53%,9.95%,14.02%,12.66%,10.20%,8.40%,13.01%,5.33%,3.95%,7.44%,6.87%,8.07%,1.09%,-1.69%,-3.70%,-6.02%
23,Earnings Yield,10.58%,15.99%,7.04%,3.85%,9.53%,9.95%,14.02%,12.66%,10.20%,8.40%,13.01%,5.33%,3.95%,7.44%,6.87%,8.07%,1.09%,-1.69%,-3.70%,-6.02%
24,FCF Yield,-6.88%,-6.88%,-7.72%,-6.22%,2.62%,-2.03%,0.23%,4.89%,-2.08%,-,6.99%,40.68%,-0.99%,-,1.16%,-52.69%,3.52%,-,-,-
25,Dividend Yield,4.44%,-,-,5.15%,-,8.46%,-,2.38%,-,-,-,-,-,-,-,-,-,-,-,-
26,Total Shareholder Return,4.44%,-,-,5.15%,-,8.46%,-,2.38%,-,-,-,-,-,-,-,-,-,-,-,-
