,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Revenue,168450,168398,171848,163684,157597,163646,168616,163527,165931,159883,158675,139305,133145,126631,152976,145170,151612,134520,126309
1,Revenue Growth (YoY),6.89%,2.90%,1.92%,0.10%,-5.02%,2.35%,6.27%,17.39%,24.62%,26.26%,3.72%,-4.04%,-12.18%,-5.86%,21.11%,-,-,-,-
2,"Selling, General & Admin",66489,58944,59210,45929,74008,50094,49599,45607,63347,57389,49463,42168,44505,35964,47788,42796,59470,51176,49738
3,Other Operating Expenses,91369,101516,96328,110322,85494,109396,90086,106271,98968,95190,98146,95041,77362,94677,98117,93538,82221,86254,85235
4,Total Operating Expenses,157859,160460,155538,156251,159502,159490,139685,151878,162315,152579,147609,137209,121868,130641,145905,136333,141691,137431,134973
5,Operating Income,10592,7938,16310,7433,-1904,4156,28931,11649,3616,7304,11065,2097,11277,-4010,7072,8836,9921,-2911,-8664
6,Interest Expense,-174.57,-170.82,-225.89,-208.88,-,-635.66,-411.5,-334.59,-124.8,-573.52,-392.55,-344.46,-444.48,-392.63,-485.65,-415.87,-562.77,-667.56,-753.34
7,Interest Income,450.86,311.86,413.54,204.46,789.57,175.31,714.34,348.28,585.33,199.84,403.59,149.94,418.73,213.93,488.1,162.58,585.45,813.05,424.03
8,Net Interest Expense,276.29,141.03,187.65,-4.42,789.57,-460.35,302.83,13.7,460.53,-373.68,11.04,-194.53,-25.75,-178.7,2.46,-253.29,22.68,145.49,-329.31
9,Other Non-Operating Income (Expenses),8821,4620,426.53,389.61,-10561,388.86,-117.82,67.06,2923,288.88,-1287,1105,-134.5,117.7,-456.84,-326.96,-1.91,136,171.51
10,EBT Excluding Unusual Items,19689,12700,16924,7818,-11675,4085,29116,11730,7000,7220,9790,3007,11117,-4071,6617,8256,9942,-2629,-8822
11,Pretax Income,19689,12700,16924,7818,-11675,4085,29116,11730,7000,7220,9790,3007,11117,-4071,6617,8256,9942,-2629,-8822
12,Income Tax Expense,4067,2621,3415,1594,-1942,848.61,5942,2422,1430,1481,2026,610.79,1302,-,1282,1514,1760,-464.82,442.95
13,Net Income,15622,10079,13509,6224,-9734,3236,23174,9308,5570,5739,7764,2397,9815,-4071,5335,6742,8182,-2164,-9265
14,Net Income to Common,15622,10079,13509,6224,-9734,3236,23174,9308,5570,5739,7764,2397,9815,-4071,5335,6742,8182,-2164,-9265
15,Net Income Growth,-,211.45%,-41.71%,-33.13%,-,-43.61%,198.49%,288.41%,-43.25%,-,45.51%,-64.45%,19.95%,-,-,-,-,-,-
16,Free Cash Flow,-3533,-3533,-9671,-2800,-5993,-2915,18012,-14411,-,13301,-4679,5194,-,120847,-129432,11309,-,-,-
17,Dividend Per Share,-,-,362.000,-,1400.000,-,800.000,-,-,-,-,-,-,-,-,-,-,-,-
18,Dividend Growth,-,-,-54.75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Profit Margin,9.27%,5.98%,7.86%,3.80%,-6.18%,1.98%,13.74%,5.69%,3.36%,3.59%,4.89%,1.72%,7.37%,-3.22%,3.49%,4.64%,5.40%,-1.61%,-7.34%
20,Free Cash Flow Margin,-2.10%,-2.10%,-5.63%,-1.71%,-3.80%,-1.78%,10.68%,-8.81%,-,8.32%,-2.95%,3.73%,-,95.43%,-84.61%,7.79%,-,-,-
21,EBITDA,20267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,EBITDA Margin,12.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,D&A For EBITDA,9675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,EBIT,10592,7938,16310,7433,-1904,4156,28931,11649,3616,7304,11065,2097,11277,-4010,7072,8836,9921,-2911,-8664
25,EBIT Margin,6.29%,4.71%,9.49%,4.54%,-1.21%,2.54%,17.16%,7.12%,2.18%,4.57%,6.97%,1.51%,8.47%,-3.17%,4.62%,6.09%,6.54%,-2.16%,-6.86%
26,Effective Tax Rate,20.66%,20.64%,20.18%,20.38%,-,20.78%,20.41%,20.65%,20.43%,20.52%,20.69%,20.31%,11.71%,-,19.37%,18.34%,17.70%,-,-
27,Revenue as Reported,168450,168398,171848,163684,157597,163646,168616,163527,165931,159883,158675,139305,133145,126631,152976,145170,151612,134520,126309
