,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,7961,11001,4984,3483,4350,4985,6227,7113,5887,4852,5113,-,-,-,-,-,-
1,Market Cap Growth,120.69%,120.69%,-19.96%,-51.04%,-26.11%,2.73%,21.79%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6625,9666,3752,2160,3027,3661,5086,5926,4641,3627,5009,-,-,-,-,-,-
3,Last Close Price,65.85,91.00,41.23,28.64,35.50,40.67,50.64,59.90,49.35,40.67,42.86,-,-,-,-,-,-
4,PE Ratio,79.34,109.67,48.83,35.35,46.64,54.12,72.60,89.98,64.76,47.73,44.90,-,-,-,-,-,-
5,Forward PE,47.89,71.37,25.22,19.70,33.47,41.23,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,9.49,13.12,5.73,4.01,5.18,6.09,8.97,11.10,8.73,6.79,6.92,-,-,-,-,-,-
7,PB Ratio,3.61,4.98,2.26,1.58,1.98,2.30,2.88,3.70,3.07,2.57,2.75,-,-,-,-,-,-
8,P/TBV Ratio,4.99,4.99,2.26,1.58,1.98,2.30,2.88,3.71,3.07,2.57,2.75,-,-,-,-,-,-
9,P/FCF Ratio,-,-,46.27,-,-130.02,-78.24,-,-,-,51.94,74.83,-,-,-,-,-,-
10,P/OCF Ratio,-,-,25.78,-,75.27,285.99,-,-,-,38.56,55.17,-,-,-,-,-,-
11,EV/Sales Ratio,7.90,11.52,4.31,2.49,3.60,4.47,7.32,9.25,6.88,5.08,6.78,-,-,-,-,-,-
12,EV/EBITDA Ratio,51.01,73.26,34.07,22.35,34.00,44.90,64.92,86.83,50.45,30.33,45.07,-,-,-,-,-,-
13,EV/EBIT Ratio,61.67,89.97,43.83,29.58,44.88,60.17,86.86,121.27,62.96,35.66,53.48,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,34.83,-,-90.46,-57.47,-,-,-,38.82,73.32,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.05,0.05,-,0.06,0.06
16,Debt / EBITDA Ratio,0.18,0.15,0.14,0.19,0.26,0.72,0.32,0.30,0.28,0.38,0.32,0.13,0.17,1.54,-,0.21,0.21
17,Debt / FCF Ratio,-,-,0.21,-,-0.86,-0.76,-,-,-,0.24,0.33,0.43,-3.84,-,-,-,-
18,Asset Turnover,-,0.30,0.35,0.30,0.43,0.33,0.36,0.31,0.27,0.35,-,-,-,-,0.91,-,
19,Inventory Turnover,-,-,1.36,1.83,1.47,2.56,1.63,1.85,1.40,1.26,1.20,-,-,-,-,1.74,-
20,Quick Ratio,-,-,5.30,5.36,6.28,5.06,7.36,7.82,6.98,6.86,6.26,2.28,-,1.89,-,1.63,1.63
21,Current Ratio,-,-,6.40,6.39,7.46,5.98,8.63,9.34,8.48,8.37,7.54,3.41,-,3.15,-,2.82,2.82
22,Return on Equity (ROE),4.35%,4.01%,5.67%,4.22%,4.76%,3.63%,5.40%,4.59%,4.15%,3.62%,21.42%,19.66%,-,-,22.88%,-,
23,Return on Assets (ROA),-,3.44%,1.77%,2.14%,1.09%,2.48%,1.44%,1.75%,1.00%,2.05%,-,-,-,-,11.44%,-,
24,Return on Capital (ROIC),3.66%,3.95%,2.02%,2.43%,1.23%,2.73%,1.59%,1.95%,1.13%,2.43%,12.69%,15.46%,-,-,15.44%,-,
25,Return on Capital Employed (ROCE),-,-,3.87%,3.31%,3.06%,2.80%,2.70%,2.53%,3.82%,5.35%,5.00%,16.51%,-,18.11%,-,13.06%,6.53%
26,Earnings Yield,1.26%,0.91%,2.05%,2.83%,2.14%,1.85%,1.38%,1.11%,1.54%,2.10%,2.23%,-,-,-,-,-,-
27,FCF Yield,-,2.16%,-1.56%,-0.77%,-1.28%,-0.89%,-0.00%,0.92%,1.93%,1.34%,-,-,-,-,-,-,
28,Dividend Yield,0.58%,-,-,2.15%,-,1.02%,0.86%,-,-,0.66%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,108.05%,99.27%,0.66%,81.67%,0.38%,118.04%,0.69%,0.75%,1.64%,0.51%,0.67%,0.34%,0.19%,0.26%,0.26%
30,Buyback Yield / Dilution,-2.78%,-0.75%,-5.48%,-6.15%,-0.74%,-0.35%,-21.41%,-27.86%,-37.13%,-34.44%,-10.04%,-1.44%,1.01%,-,-,-,-
31,Total Shareholder Return,-2.20%,-0.75%,-5.48%,-3.99%,-0.74%,0.67%,-20.55%,-27.86%,-37.13%,-33.79%,-10.04%,-1.44%,1.01%,-,-,-,-
