,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,238.12,194.86,218.21,187.61,256.26,193.23,190.02,165.55,141.64,136.61,226.81,205.2,167.54,179.11,190.86,190.86
1,Other Revenue,-,-3.3,3.3,-,13.44,-3.62,3.62,-,3.92,-0.68,0.68,-,2.73,-1.32,0.66,0.66
2,Revenue,238.12,191.56,221.51,187.61,269.7,189.62,193.63,165.55,145.56,135.93,227.48,205.2,170.28,177.79,191.52,191.52
3,Revenue Growth (YoY),-11.71%,1.03%,14.39%,13.32%,85.29%,39.49%,-14.88%,-19.32%,-14.52%,-23.54%,18.78%,7.15%,-,-,-,-
4,Cost of Revenue,-408.65,123.35,158.77,126.54,211.71,126.96,149.39,119.2,105.18,92.14,160.47,134.83,133.4,104.19,128.42,128.42
5,Gross Profit,646.77,68.22,62.74,61.07,57.99,62.65,44.24,46.35,40.38,43.79,67.01,70.37,36.88,73.6,63.09,63.09
6,"Selling, General & Admin",-54.22,20.21,17.04,16.98,15.49,16.9,15.17,14.71,11.33,15.67,15.57,14.04,17.01,14.6,13.16,13.16
7,Research & Development,-75.49,25.61,27.97,21.91,24.17,22.71,17.55,18.26,19.88,13.58,14.94,13.54,15.08,14.98,13.65,13.65
8,Other Operating Expenses,749.31,-10.91,-2.62,-4.41,4.71,-3.06,-1.6,-3.03,3.03,-1.71,-3.21,-0.86,4.8,-2.53,-3.14,-3.14
9,Operating Expenses,614.11,33.01,44.79,39.46,47.14,40.04,31.88,31.32,31.83,30.87,29.8,27.35,36.37,29.05,24.5,24.5
10,Operating Income,32.66,35.21,17.95,21.61,10.85,22.61,12.36,15.03,8.56,12.92,37.21,43.02,0.5,44.55,38.59,38.59
11,Interest Expense,-22.67,-0.28,-0.03,-0.27,-0.2,-0.14,-0.13,-0.17,-0.17,-0.13,-0.3,-0.22,-0.42,-0.35,-0.14,-0.14
12,Interest & Investment Income,0.59,5.83,13.83,3.01,15.46,2.68,9.37,7.53,4.77,4.38,0.1,0.1,0.04,0.02,0.05,0.05
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-0.27,0.09,-0.04,-0.04
14,Currency Exchange Gain (Loss),-,2.95,-2.95,-,0.68,-0.26,0.26,-,3.99,-0.79,0.79,-,1.64,-1.07,0.53,0.53
15,Other Non Operating Income (Expenses),3.64,-3.75,1.68,-2.03,-6.38,-0.89,8.65,-1.79,-3.26,2.36,0.3,0.12,-2.56,2.12,-0.39,-0.39
16,EBT Excluding Unusual Items,14.23,39.96,30.47,22.32,20.4,23.99,30.51,20.6,13.89,18.74,38.11,43.02,-1.07,45.36,38.6,38.6
17,Gain (Loss) on Sale of Investments,-1.61,1.61,-5.01,5.01,-5.01,5.23,0.26,-,4.1,0.39,-0.21,-0.17,0.19,-0.19,-,-
18,Gain (Loss) on Sale of Assets,-,0.23,-0.12,-0.1,-0.02,0.01,-0.01,-,-0.11,0,-0,-,-0.02,0.01,-0,-0
19,Asset Writedown,13.54,-13.54,1.92,-1.92,1.56,-9.66,-1.31,1.31,-2.85,-9.57,5.05,-5.05,9.92,-9.92,-,-
20,Other Unusual Items,-,-4.01,4.01,0.01,20.63,0.41,-0.41,-,8.2,-0.14,0.14,-,26.55,-0.48,0.24,0.24
21,Pretax Income,26.15,24.25,31.27,25.31,37.57,19.98,29.05,21.91,23.24,9.42,43.08,37.8,35.56,34.79,38.84,38.84
22,Income Tax Expense,2.13,2.16,0.08,2.3,11.79,1.43,3.12,0.07,3.78,-2.4,5.29,5.21,3.87,7.33,5.19,5.19
23,Net Income,24.02,22.09,31.19,23.01,25.79,18.55,25.93,21.84,19.45,11.83,37.79,32.58,31.68,27.46,33.65,33.65
24,Net Income to Common,24.02,22.09,31.19,23.01,25.79,18.55,25.93,21.84,19.45,11.83,37.79,32.58,31.68,27.46,33.65,33.65
25,Net Income Growth,-6.83%,19.07%,20.30%,5.36%,32.55%,56.85%,-31.40%,-32.97%,-38.60%,-56.92%,12.31%,-3.17%,-,-,-,-
26,Shares Outstanding (Basic),120,122,121,120,119,116,114,119,119,96,89,87,88,87,88,88
27,Shares Outstanding (Diluted),120,122,121,120,119,116,114,119,119,96,89,87,88,87,88,88
28,Shares Change (YoY),0.75%,5.48%,6.15%,0.74%,0.35%,21.41%,27.86%,37.13%,34.44%,10.04%,1.44%,-1.01%,-,-,-,-
29,EPS (Basic),0.20,0.18,0.26,0.19,0.22,0.16,0.23,0.18,0.16,0.12,0.42,0.38,0.36,0.32,0.38,0.38
30,EPS (Diluted),0.20,0.18,0.26,0.19,0.22,0.16,0.23,0.18,0.16,0.12,0.42,0.38,0.36,0.32,0.38,0.38
31,EPS Growth,-7.52%,12.88%,13.34%,4.58%,32.08%,29.19%,-46.35%,-51.12%,-54.33%,-60.85%,10.71%,-2.18%,-,-,-,-
32,Free Cash Flow,-,121.97,-37.51,11.31,11.94,-40,-16.71,-18.94,20.36,14.99,37.8,20.27,-4.74,-1.12,-22.9,-22.9
33,Free Cash Flow Per Share,-,1.00,-0.31,0.09,0.10,-0.34,-0.15,-0.16,0.17,0.16,0.42,0.23,-0.05,-0.01,-0.26,-0.26
34,Dividend Per Share,-,-,0.200,-,0.250,0.167,-,-,0.267,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-,-6.26%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,271.62%,35.61%,28.32%,32.55%,21.50%,33.04%,22.85%,28.00%,27.74%,32.21%,29.46%,34.29%,21.66%,41.40%,32.94%,32.94%
37,Operating Margin,13.72%,18.38%,8.10%,11.52%,4.02%,11.92%,6.38%,9.08%,5.88%,9.51%,16.36%,20.96%,0.30%,25.06%,20.15%,20.15%
38,Profit Margin,10.09%,11.53%,14.08%,12.27%,9.56%,9.78%,13.39%,13.19%,13.37%,8.70%,16.61%,15.88%,18.61%,15.44%,17.57%,17.57%
