,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,947.26,1252,263.92,1112,403.09,437.51,256.35,213.93,192.91,126.3,-,102.34,-,31,31
1,Trading Asset Securities,-,411.61,-,1088,250.49,955.23,725.26,952.72,1054,1054,-,-,-,-,-,-
2,Cash & Short-Term Investments,1359,1359,1252,1352,1362,1358,1163,1209,1268,1247,126.3,102.34,102.34,-,31,31
3,Cash Growth,-0.26%,0.04%,7.71%,11.82%,7.44%,8.90%,820.62%,1081.48%,1139.10%,-,307.37%,230.07%,-,-,-,-
4,Accounts Receivable,-,478.5,626.82,513.98,575.12,498.73,433.93,400.73,353.73,405.21,454.42,-,365.71,-,378.02,378.02
5,Other Receivables,-,2.19,1.31,1.78,3.4,1.79,2.27,2.01,1.73,2.06,1.65,-,1.3,-,1.14,1.14
6,Receivables,-,480.69,628.13,515.76,578.52,500.53,436.2,402.74,355.47,407.26,456.08,-,367.01,-,379.16,379.16
7,Inventory,-,372.56,353,342.14,347.3,314.6,307.11,339.57,340.96,327.91,287.04,-,307.44,-,295.49,295.49
8,Other Current Assets,-,8.25,8.16,9.3,5.38,7.45,2.68,7.94,18.44,11.9,3.55,-,3.68,-,6.11,6.11
9,Total Current Assets,-,2220,2242,2219,2294,2181,1909,1959,1983,1994,872.97,-,780.46,-,711.76,711.76
10,"Property, Plant & Equipment",-,207.32,188.13,182.66,180.34,154.36,131.49,123.85,116.14,108.69,109.58,-,112.83,-,104.5,104.5
11,Long-Term Investments,-,8.61,85.38,61.58,61.83,58.08,58.39,46.82,11.09,10.77,10.99,-,11.38,-,11.57,11.57
12,Other Intangible Assets,-,2.03,2.1,2.17,2.26,2.36,2.45,2.55,2.64,2.72,2.77,-,2.73,-,2.76,2.76
13,Long-Term Deferred Tax Assets,-,15.85,14.77,11.25,10.48,17.69,15.67,15.49,15.05,15.5,12.32,-,10.69,-,8.16,8.16
14,Long-Term Deferred Charges,-,1.05,1.15,1.16,1.6,2.03,2.47,2.91,3.34,3.67,3.53,-,4.26,-,-,-
15,Other Long-Term Assets,-,106.76,25.38,21.11,9.45,9.29,13.46,7.96,5.41,1.51,2.58,-,0.74,-,4.36,4.36
16,Total Assets,-,2562,2559,2499,2560,2425,2133,2159,2137,2137,1015,-,923.1,-,843.12,843.12
17,Accounts Payable,-,273.34,282.7,236.01,279.71,184.44,156.02,174.46,176.18,214.46,203.57,-,173.96,-,194.23,194.23
18,Accrued Expenses,-,22.88,23.41,11.77,30.6,16.18,17.95,26.42,24.36,21.01,23.02,-,22.2,-,16.69,16.69
19,Short-Term Debt,-,20.02,20.02,28.25,47.82,33.73,20.02,20.02,20.02,20.02,20.02,-,29.51,-,36.37,36.37
20,Current Portion of Leases,-,1.1,0.1,0.4,0.69,0.99,1.37,1.72,1.4,1.27,1.25,-,1.25,-,0.19,0.19
21,Current Income Taxes Payable,-,8.68,4.94,11.62,7.79,7.15,3.74,2.27,2.99,1.51,5.94,-,10.68,-,1.6,1.6
22,Current Unearned Revenue,-,19.9,18.85,9.4,15.74,9.88,3.31,5.71,11.18,-,1.67,-,3.53,-,1.29,1.29
23,Other Current Liabilities,-,1.01,0.84,0.14,1.3,0.37,2.01,0.46,0.69,6.16,0.48,-,6.79,-,1.73,1.73
24,Total Current Liabilities,-,346.92,350.86,297.59,383.66,252.73,204.42,231.05,236.81,264.43,255.95,-,247.93,-,252.1,252.1
25,Long-Term Leases,-,2.02,-,-,-,-,-,0.4,0.69,0.98,1.27,-,1.86,-,0.15,0.15
26,Long-Term Unearned Revenue,-,3.92,4.43,4.94,5.45,6.01,6.5,7.02,7.48,7.61,7.84,-,8.75,-,0.31,0.31
27,Long-Term Deferred Tax Liabilities,-,0.03,0.01,0.01,0,0.79,0.04,0.44,0.88,0.67,-,-,-,-,-,-
28,Other Long-Term Liabilities,-,1.24,1.2,1,1.14,0.72,0.88,1.26,1.38,1.19,1.09,-,1.69,-,2.24,2.24
29,Total Liabilities,-,354.14,356.5,303.53,390.24,260.24,211.83,240.16,247.24,274.88,266.15,-,260.22,-,254.8,254.8
30,Common Stock,-,120.89,120.89,100.74,100.74,100.74,97.28,97.28,97.28,97.28,72.96,-,72.96,-,72.96,72.96
31,Additional Paid-In Capital,-,1802,1797,1811,1808,1808,1587,1579,1572,1564,486.47,-,471.21,-,455.94,455.94
32,Retained Earnings,-,282.89,284.98,284.01,261,255.16,236.64,241.96,220.17,200.7,188.88,-,118.5,-,59.36,59.36
33,Comprehensive Income & Other,-,2.28,-0.76,-0.53,-0,0.21,-0.1,0.08,0.12,0.29,0.28,-,0.21,-,0.05,0.05
34,Shareholders' Equity,2208,2208,2202,2196,2169,2164,1921,1919,1889,1862,748.59,662.87,662.87,-,588.31,588.31
35,Total Liabilities & Equity,-,2562,2559,2499,2560,2425,2133,2159,2137,2137,1015,-,923.1,-,843.12,843.12
36,Total Debt,23.14,23.14,20.11,28.64,48.52,34.72,21.39,22.13,22.12,22.27,22.54,32.62,32.62,-,36.71,36.71
37,Net Cash (Debt),1336,1336,1232,1323,1314,1324,1141,1187,1246,1225,103.76,69.72,69.72,-,-5.71,-5.71
38,Net Cash Growth,1.66%,0.92%,7.97%,11.49%,5.46%,8.04%,1000.01%,1602.44%,1687.03%,-,-,-,-,-,-,-
39,Net Cash Per Share,11.12,10.91,10.20,11.02,11.02,11.41,10.02,9.96,10.48,12.82,1.17,0.80,0.79,-,-0.07,-0.07
40,Filing Date Shares Outstanding,120.15,120.89,120.89,120.89,120.89,120.89,116.74,116.74,116.74,116.74,87.55,86.89,87.55,86.85,87.55,87.55
41,Total Common Shares Outstanding,120.15,120.89,120.89,120.89,120.89,120.89,116.74,116.74,116.74,116.74,87.55,86.89,87.55,86.85,87.55,87.55
42,Working Capital,-,1873,1891,1922,1910,1928,1704,1728,1746,1730,617.02,-,532.54,-,459.66,459.66
43,Book Value Per Share,18.26,18.26,18.22,18.16,17.94,17.90,16.45,16.44,16.18,15.95,8.55,7.57,7.57,-,6.72,6.72
44,Tangible Book Value,2206,2206,2200,2193,2167,2162,1918,1916,1887,1860,745.83,660.15,660.15,-,585.55,585.55
45,Tangible Book Value Per Share,18.25,18.25,18.20,18.14,17.93,17.88,16.43,16.41,16.16,15.93,8.52,7.54,7.54,-,6.69,6.69
46,Buildings,-,-,94.14,-,94.14,-,84.17,-,84.07,-,82.43,-,82.43,-,82.42,82.42
47,Machinery,-,-,190.9,-,175.25,-,151.09,-,139.82,-,133.05,-,127.51,-,113.76,113.76
48,Construction In Progress,-,-,46.22,-,46.16,-,19.01,-,4.34,-,0.66,-,0.03,-,0.02,0.02
