,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,1943,4773,1345,1296,1045,2348,2030,2963,2462,3480
1,Revenue Growth (YoY),44.46%,268.30%,28.70%,-44.80%,-48.53%,-20.76%,-17.54%,-14.88%,-28.05%,-7.15%
2,Cost of Revenue,1505,3782,759.8,697.63,610.64,1123,1067,1900,859.21,1458
3,Gross Profit,437.73,991.15,585.11,598.26,434.4,1225,963.47,1063,1603,2022
4,"Selling, General & Admin",266.4,453.24,257.41,386.48,273.58,429.33,299.77,376.28,225.44,383.08
5,Operating Expenses,266.4,453.25,257.41,422.86,273.58,429.33,299.77,376.28,225.44,383.08
6,Operating Income,171.33,537.9,327.7,175.39,160.82,795.6,663.7,686.44,1378,1639
7,Interest Expense,-833.53,-941.91,-802.21,-998.96,-787.61,-877.19,-833.7,-846.86,-686.24,-766.1
8,Interest & Investment Income,-,55.79,-,88.23,-,92.02,-,136.68,-,113.73
9,Earnings From Equity Investments,-,-0,-,-0,-,-0,-,-0,-,-0
10,Currency Exchange Gain (Loss),-23.87,-86.65,147.77,25.23,-56.44,0.86,5.54,66.25,5.73,10.03
11,Other Non Operating Income (Expenses),37.29,-8.7,77.45,13.08,0.04,-72.93,104.91,-34.68,108.47,-11.59
12,EBT Excluding Unusual Items,-648.77,-443.57,-249.29,-697.02,-683.19,-61.64,-59.56,7.83,805.51,985.06
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,3894,-,-
14,Gain (Loss) on Sale of Assets,-,60.59,-,45.25,2311,1413,1378,606.32,-,-0.93
15,Asset Writedown,-951.71,-1015,-197.06,-477.37,175.54,-91.3,-128.73,-671.57,-174.08,217.15
16,Other Unusual Items,-,0.31,-,-2.39,8.03,-,-,-38.62,-112.87,-58.39
17,Pretax Income,-1600,-1398,-446.36,-1132,1811,1260,1190,3798,518.56,1143
18,Income Tax Expense,9.93,154.26,134.03,191.75,784.31,546.64,568.23,384.81,480.2,384.61
19,Earnings From Continuing Operations,-1610,-1552,-580.39,-1323,1027,713.3,621.62,3413,38.36,758.29
20,Minority Interest in Earnings,82.2,106.48,-100.57,-37.65,-395.97,-198.77,16.43,3.11,-0.8,-0.26
21,Net Income,-1528,-1446,-680.96,-1361,630.79,514.54,638.04,3416,37.56,758.02
22,Net Income to Common,-1528,-1446,-680.96,-1361,630.79,514.54,638.04,3416,37.56,758.02
23,Net Income Growth,-,-,-,-,-1.14%,-84.94%,1598.90%,350.62%,-96.21%,-27.48%
24,Shares Outstanding (Basic),5098,5098,5098,5098,5098,5098,5097,5089,5063,5006
25,Shares Outstanding (Diluted),5098,5098,5098,5098,8502,8408,8891,8961,8690,8703
26,Shares Change (YoY),-,-,-40.04%,-39.37%,-4.37%,-6.17%,2.31%,2.96%,3.29%,-4.57%
27,EPS (Basic),-0.30,-0.28,-0.13,-0.27,0.12,0.10,0.13,0.67,0.01,0.15
28,EPS (Diluted),-0.30,-0.28,-0.13,-0.27,0.07,0.06,0.07,0.38,0.00,0.09
29,EPS Growth,-,-,-,-,3.86%,-83.51%,2066.82%,318.16%,-97.20%,-18.84%
30,Free Cash Flow,972.14,471.24,-4101,-2067,-1468,-1316,-716.01,330.01,161.27,-484.14
31,Free Cash Flow Per Share,0.19,0.09,-0.80,-0.41,-0.17,-0.16,-0.08,0.04,0.02,-0.06
32,Operating Margin,8.82%,11.27%,24.37%,13.53%,15.39%,33.89%,32.69%,23.17%,55.95%,47.09%
33,Profit Margin,-78.66%,-30.29%,-50.63%,-105.02%,60.36%,21.92%,31.43%,115.30%,1.53%,21.78%
34,Free Cash Flow Margin,50.04%,9.87%,-304.94%,-159.52%,-140.51%,-56.07%,-35.27%,11.14%,6.55%,-13.91%
35,EBITDA,201.87,570.43,355.49,211.47,202.69,830.96,701.78,722.51,1408,1658
36,D&A For EBITDA,30.54,32.53,27.79,36.08,41.87,35.35,38.08,36.07,30.85,18.59
37,EBIT,171.33,537.9,327.7,175.39,160.82,795.6,663.7,686.44,1378,1639
