,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,76007,59003,63568,88789,90501,88789,82969,121315,82056,-,-
1,Market Cap Growth,-33.55%,-33.55%,-29.76%,0%,9.08%,-26.81%,1.11%,-,-,-,-
2,Enterprise Value,63732,44461,49792,77266,77634,74594,70228,106739,83074,-,-
3,Last Close Price,33.30,25.03,26.46,36.70,36.73,35.88,33.22,48.57,32.74,-,-
4,PE Ratio,20.60,15.99,19.70,31.84,36.29,38.94,39.19,78.49,84.50,-,-
5,Forward PE,18.49,14.63,16.93,26.93,29.44,31.31,35.08,63.10,53.75,-,-
6,PS Ratio,4.44,3.45,3.91,6.07,6.66,7.48,7.62,13.17,10.19,-,-
7,PB Ratio,4.22,3.26,3.60,5.48,5.59,5.31,4.87,7.78,5.54,-,-
8,P/TBV Ratio,4.11,4.11,4.63,7.05,7.27,7.05,4.91,7.78,5.54,-,-
9,P/FCF Ratio,23.11,17.94,22.11,40.11,45.05,39.98,33.21,52.34,77.09,-,-
10,P/OCF Ratio,15.23,15.23,18.97,36.10,42.33,35.24,29.52,47.31,62.65,-,-
11,PEG Ratio,1.17,0.86,0.71,1.03,1.03,1.01,0.76,1.10,0.66,-,-
12,EV/Sales Ratio,3.72,2.60,3.06,5.28,5.72,6.28,6.45,11.59,10.32,-,-
13,EV/EBITDA Ratio,14.13,10.07,12.47,22.98,26.75,27.83,29.33,59.75,65.09,-,-
14,EV/EBIT Ratio,15.13,10.56,13.06,24.30,28.53,29.50,30.41,62.11,68.24,-,-
15,EV/FCF Ratio,19.38,13.52,17.32,34.91,38.65,33.59,28.11,46.05,78.05,-,-
16,Debt / Equity Ratio,0.14,0.14,0.15,0.16,0.17,0.13,0.16,0.14,0.15,1.40,1.26
17,Debt / FCF Ratio,0.77,0.77,0.93,1.19,1.35,1.00,1.06,0.98,2.12,-,3.44
18,Return on Capital Employed (ROCE),19.26%,19.26%,17.79%,15.99%,13.52%,12.70%,12.13%,9.82%,7.31%,27.61%,17.81%
19,Earnings Yield,4.85%,6.25%,5.08%,3.14%,2.76%,2.57%,2.55%,1.27%,1.18%,-,-
20,FCF Yield,4.33%,5.57%,4.52%,2.49%,2.22%,2.50%,3.01%,1.91%,1.30%,-,-
21,Dividend Yield,2.45%,3.26%,2.93%,1.58%,1.35%,0.41%,-,-,-,-,-
22,Buyback Yield / Dilution,-,-,-,-,-,-32.44%,-38.33%,-,-,-,
23,Total Shareholder Return,2.45%,3.26%,2.93%,1.58%,1.35%,0.41%,-32.44%,-38.33%,-,-,-
