,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,2221,1636,1753,1837,1594,1324,1379,1407,1440,1528
1,Revenue Growth (YoY),26.67%,-10.93%,9.98%,38.69%,15.62%,-5.87%,-4.29%,-7.93%,9.98%,101.46%
2,Cost of Revenue,723.76,604.93,715.84,784.56,811.12,774.92,702.01,700.84,614.68,634.13
3,Gross Profit,1497,1031,1037,1052,782.92,549.54,676.7,706.23,825.8,894.16
4,"Selling, General & Admin",833.65,657.66,432.19,648.34,508.2,559.25,456.04,453.76,359.55,512.95
5,Research & Development,419.49,487.87,527.78,627.45,656.37,666.24,575.94,439.36,218.15,187.94
6,Other Operating Expenses,-8.17,-4.66,-38.52,-33,-8.1,-20.14,-6.98,-16.55,-8.79,-3.48
7,Operating Expenses,1245,1141,921.46,1243,1156,1205,1025,875.81,570.22,697.41
8,Operating Income,251.85,-109.77,115.81,-190.45,-373.55,-655.48,-348.3,-169.58,255.58,196.74
9,Interest Expense,-14.7,-83.35,-30.83,-29.3,-26.39,-26.27,-13.09,-2.23,-1.24,-1.1
10,Interest & Investment Income,18.38,45.07,47.23,24.52,14.02,19.05,11.1,8.66,6.85,3.58
11,Earnings From Equity Investments,8.75,5.54,14.35,12.38,25.82,10.99,17.39,8.31,6.61,12.86
12,Currency Exchange Gain (Loss),11.83,-21.11,1.24,8.8,-32.51,24.37,-2.92,-7.78,10.56,4.37
13,Other Non Operating Income (Expenses),0.95,-2.33,0.32,-1.21,-0.94,-0.62,-0.3,-0.32,-0.2,-0.3
14,EBT Excluding Unusual Items,277.06,-165.95,148.12,-175.26,-393.56,-627.95,-336.1,-162.93,278.15,216.15
15,Gain (Loss) on Sale of Investments,-,-18.33,-0.3,4.9,-4.9,-0.1,8.27,-15.64,7.07,1.59
16,Other Unusual Items,4.98,6.37,-,8.98,-,-,-,0.33,-,-35.95
17,Pretax Income,282.03,-177.92,147.82,-161.38,-398.46,-628.06,-327.83,-178.24,285.23,181.79
18,Income Tax Expense,31.45,-9.77,45.03,31.24,-17.06,-33.12,-5.48,25.88,25.31,-4.72
19,Earnings From Continuing Operations,250.58,-168.15,102.79,-192.62,-381.4,-594.94,-322.35,-204.12,259.91,186.51
20,Minority Interest in Earnings,-45.48,-5.08,-12.59,25.18,-4.66,56.27,-2.8,6.72,-53.37,-76.61
21,Net Income,205.1,-173.23,90.19,-167.44,-386.06,-538.66,-325.15,-197.4,206.55,109.9
22,Net Income to Common,205.1,-173.23,90.19,-167.44,-386.06,-538.66,-325.15,-197.4,206.55,109.9
23,Net Income Growth,127.40%,-,-,-,-,-,-,-,-12.73%,-14.51%
24,Shares Outstanding (Basic),472,472,472,472,472,472,457,445,420,359
25,Shares Outstanding (Diluted),474,472,473,472,472,472,457,445,420,359
26,Shares Change (YoY),0.30%,0.00%,0.20%,-0.03%,3.28%,6.00%,8.93%,24.20%,19.21%,-
27,EPS (Basic),0.43,-0.37,0.19,-0.35,-0.82,-1.14,-0.71,-0.44,0.49,0.31
28,EPS (Diluted),0.43,-0.37,0.19,-0.35,-0.82,-1.14,-0.71,-0.44,0.49,0.31
29,EPS Growth,126.32%,-,-,-,-,-,-,-,-27.14%,-
30,Free Cash Flow,378.18,100.06,132.51,-156.57,-208.41,-232.42,-334.54,-72.05,347.8,357.28
31,Free Cash Flow Per Share,0.80,0.21,0.28,-0.33,-0.44,-0.49,-0.73,-0.16,0.83,1.00
32,Operating Margin,11.34%,-6.71%,6.61%,-10.37%,-23.43%,-49.49%,-25.26%,-12.05%,17.74%,12.87%
33,Profit Margin,9.24%,-10.59%,5.14%,-9.12%,-24.22%,-40.67%,-23.58%,-14.03%,14.34%,7.19%
34,Free Cash Flow Margin,17.03%,6.12%,7.56%,-8.52%,-13.07%,-17.55%,-24.26%,-5.12%,24.14%,23.38%
35,EBITDA,278.43,-112.94,170.27,-173.72,-308.61,-650.9,-281.48,-168.48,304.07,187.99
36,D&A For EBITDA,26.58,-3.17,54.47,16.72,64.94,4.58,66.82,1.1,48.49,-8.75
37,EBIT,251.85,-109.77,115.81,-190.45,-373.55,-655.48,-348.3,-169.58,255.58,196.74
38,Advertising Expenses,633.44,-,273.31,-,349.62,-,292.65,-,259.43,-
