,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,13273350,10454231,5122593,5790757,5902118,5846438,7294127,8519095,8519095,10857670,7444506,13180436,14929692,12977034,11024377,7851309,6183415,4068036,3701913,3457830,3213748,Upgrade
1,Market Cap Growth,78.81%,78.81%,-29.77%,-32.03%,-30.72%,-46.15%,-2.02%,-35.37%,-42.94%,-16.33%,-32.47%,67.88%,141.45%,219.00%,197.80%,127.06%,92.41%,6.38%,8.33%,45.20%,19.96%,Upgrade
2,Last Close Price,11300.00,8900.00,9200.00,10400.00,10600.00,10500.00,13100.00,15300.00,15300.00,19500.00,18300.00,32400.00,36700.00,25482.04,21647.75,15417.03,12141.91,7988.10,7269.17,6789.89,6310.60,Upgrade
3,PE Ratio,-,-,-,-8.59,-,-,-,-1771.86,-533.71,1357208.74,-,-,93897.43,-,76.30,94.13,569.85,-,81.75,76.77,72.33,Upgrade
4,PS Ratio,-6.02,-6.02,5.95,8.75,9.75,10.22,6.20,7.79,8.18,10.16,7.87,10.48,11.21,8.89,6.24,4.31,3.45,2.53,2.68,2.81,2.64,Upgrade
5,PB Ratio,2.18,1.72,1.02,1.14,1.17,1.15,1.32,1.48,1.48,1.88,1.33,3.08,3.48,3.04,2.49,1.80,1.44,0.95,0.86,0.81,0.74,Upgrade
6,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,1.54,1.76,-2.55,-1.13,-0.67,-,-,-,-,Upgrade
7,P/OCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,1.53,1.74,-2.58,-1.13,-0.67,-,-,-,-,Upgrade
8,Debt / Equity Ratio,0.72,0.72,0.91,0.74,0.59,0.63,0.37,0.34,0.35,0.35,0.36,0.48,0.55,0.51,0.56,0.46,0.58,0.50,0.63,0.21,0.41,Upgrade
9,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,0.24,0.30,-0.57,-0.29,-0.27,-,-,-,-,Upgrade
10,Return on Equity (ROE),-364.45%,-5.16%,3.78%,-3.30%,-32.84%,-17.25%,0.42%,0.31%,12.76%,-15.91%,-0.48%,1.91%,-15.01%,5.81%,7.30%,2.02%,-1.87%,0.26%,0.59%,1.11%,Upgrade,
11,Return on Assets (ROA),-17.84%,-0.25%,0.19%,-0.17%,-1.86%,-1.11%,0.03%,0.02%,0.86%,-1.02%,-0.03%,0.11%,-0.84%,0.31%,0.38%,0.10%,-0.10%,0.02%,0.04%,0.06%,Upgrade,
12,Earnings Yield,-38.64%,-49.06%,-9.67%,-11.64%,-12.13%,-11.45%,-0.72%,-0.06%,-0.19%,0.00%,-4.62%,-0.64%,0.00%,0.01%,1.31%,1.06%,0.18%,0.03%,1.22%,1.30%,1.38%,Upgrade
13,FCF Yield,-142.72%,-177.62%,-264.32%,-296.53%,-173.14%,-184.70%,-152.99%,-108.57%,-114.97%,-52.68%,47.60%,55.79%,65.01%,56.97%,-39.16%,-88.55%,-149.09%,-266.45%,-128.60%,-183.02%,-195.09%,Upgrade
14,Buyback Yield / Dilution,-110.89%,-110.96%,-,-,-,-,-,-36.87%,-,-36.87%,-36.87%,-,-,-,-,-,-,-,-,-,-36.66%,Upgrade
15,Total Shareholder Return,-110.89%,-110.96%,-,-,-,-,-,-36.87%,-,-36.87%,-36.87%,-,-,-,-,-,-,-,-,-,-36.66%,Upgrade
