,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,15370574,12659224,8492739,8295991,8709416,8819376,7179224,6553651,12042685,8646099,6443436,5860820,3307045,7937991,9894468,5056144,12311838,5169410,3759949,4486531,Upgrade
1,Investment Securities,19089548,13971618,11419545,12258950,13766443,13434929,12084327,12761778,12107165,9087955,9018902,10495525,10762964,12061102,12783682,13862670,13950202,14680369,14626383,15354620,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,111705,223808,223373,3104,-,-,-,67149,50996,40828,38573,30635,37720,28205,Upgrade
3,Total Investments,19089548,13971618,11419545,12258950,13766443,13434929,12196032,12985586,12330538,9091059,9018902,10495525,10762964,12128251,12834678,13903498,13988775,14711004,14664103,15382825,Upgrade
4,Gross Loans,71174720,64380567,64198685,58376088,55344259,51112487,48245816,47700669,47722273,45163768,44354779,40558034,41751573,41789263,41740331,40859872,40413272,40054306,38911758,37856613,Upgrade
5,Allowance for Loan Losses,-1196316,-1141315,-1157477,-1089808,-1078095,-1022983,-1001082,-999792,-959662,-906135,-858637,-798239,-691615,-605870,-473772,-458576,-458305,-465612,-465612,-447176,Upgrade
6,Net Loans,69978404,63239252,63041208,57286280,54266164,50089504,47244734,46700877,46762611,44257633,43496142,39759795,41059958,41183393,41266559,40401296,39954967,39588694,38446146,37409437,Upgrade
7,"Property, Plant & Equipment",257732,194200,180363,176126,179235,212209,200761,197116,184182,143663,135539,137433,142484,137803,141770,144015,150603,148420,163729,151815,Upgrade
8,Other Intangible Assets,713543,616826,613639,616230,614038,584044,586101,583912,578261,570896,572532,576139,579793,580810,427770,431493,432611,436182,431076,435722,Upgrade
