,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,+17 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010",+17 Quarters
0,Revenue,131646,140365,158422,189877,172183,163840,170105,209530,203321,202074,173367,202921,270988,353327,370765,520303,422820,401984,320501,359439,Upgrade
1,Revenue Growth (YoY),-23.54%,-14.33%,-6.87%,-9.38%,-15.31%,-18.92%,-1.88%,3.26%,-24.97%,-42.81%,-53.24%,-61.00%,-35.91%,-12.10%,15.68%,44.75%,26.47%,14.50%,-1.34%,8.68%,Upgrade
2,Cost of Revenue,102817,109529,113858,150979,121643,159628,129420,151360,147473,177241,152118,155084,210900,310984,297888,412046,352344,297375,256852,321016,Upgrade
3,Gross Profit,28829,30836,44563,38898,50540,4211,40685,58171,55848,24834,21249,47837,60088,42343,72877,108257,70477,104609,63649,38423,Upgrade
4,"Selling, General & Admin",11328,13204,11001,13164,11534,10263,15911,32180,13017,10193,19467,11981,15337,12487,13587,15652,12703,18068,12697,13459,Upgrade
5,Operating Expenses,11328,13204,11001,13164,11534,10263,15911,32180,13017,10193,19467,11981,15337,12487,13587,15652,12703,18068,12697,13459,Upgrade
6,Operating Income,17501,17631,33563,25734,39006,-6052,24773,25991,42832,14641,1782,35856,44752,29856,59290,92605,57774,86542,50951,24964,Upgrade
7,Interest Expense,-4124,-5413,-5645,-6820,-7991,-8987,-9867,-10530,-11749,-12095,-11778,-13712,-15698,-16872,-16716,-18230,-17040,-20556,-16093,-22892,Upgrade
8,Interest & Investment Income,1510,2252,1028,513.8,878.79,455.82,478.56,968.04,759.31,458.95,447.96,974.74,1861,1139,2913,4087,574.7,100.72,1321,1478,Upgrade
9,Earnings From Equity Investments,-,1914,-,-,-211.65,-336.44,-11025,-,-1714,-,-2139,-,-170.78,-,-53.16,-41.04,95.04,105.26,-,198.65,Upgrade
10,Currency Exchange Gain (Loss),-,-18550,-4298,-,-,-401.86,3516,-,-12873,-1681,21380,-,-7156,-7102,-,-,-55354,-65350,-,-,Upgrade
11,Other Non Operating Income (Expenses),-13081,13622,-0,1711,-6925,6507,-149320,-576.74,-148459,148231,-20898,-12619,-1028,333.82,-34658,-42175,41508,25453,-23133,8707,Upgrade
12,EBT Excluding Unusual Items,1807,11456,24648,21138,24757,-8814,-141445,15852,-131203,149554,-11207,10499,22559,7355,10776,36247,27559,26295,13047,12456,Upgrade
13,Gain (Loss) on Sale of Investments,-,-153.6,-,-,-,-6214,10925,-,15.01,-,3173,-,-2667,696.24,-,-,-11908,-29189,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,149463,-,149561,-,19018,-,18864,-,-,-,-,64183,-,-,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-38.34,-,362.77,-,472.66,-,-,-,-,-,-,-,-,-,Upgrade
16,Pretax Income,1807,11303,24648,21138,24757,-15028,18905,15852,18735,149554,11457,10499,38756,8051,10776,36247,15650,61289,13047,12456,Upgrade
17,Income Tax Expense,410.55,2109,5332,4664,1944,307.58,6692,4115,7299,37466,1409,2671,9819,2021,2692,9371,3866,13327,1373,4340,Upgrade
18,Earnings From Continuing Operations,1396,9193,19315,16474,22813,-15336,12213,11737,11436,112088,10048,7828,28937,6030,8084,26876,11784,47962,11674,8116,Upgrade
19,Minority Interest in Earnings,73.99,49.27,115.32,153.43,67.77,36.46,300.93,65.17,101.92,-,1427,26.41,78.52,-,-1.93,-0.9,-,-263.07,-6.41,106.64,Upgrade
20,Net Income,1470,9243,19431,16628,22881,-15299,12514,11802,11538,112088,11475,7854,29016,6030,8082,26875,11784,47699,11667,8223,Upgrade
21,Net Income to Common,1470,9243,19431,16628,22881,-15299,12514,11802,11538,112088,11475,7854,29016,6030,8082,26875,11784,47699,11667,8223,Upgrade
22,Net Income Growth,-93.57%,-,55.27%,40.89%,98.31%,-,9.05%,50.26%,-60.24%,1758.88%,41.99%,-70.78%,146.22%,-87.36%,-30.73%,226.83%,25.73%,-,-59.57%,-76.86%,Upgrade
23,Shares Outstanding (Basic),68,68,68,-,68,68,68,68,68,68,68,-,68,-,51,68,69,104,61,70,Upgrade
24,Shares Outstanding (Diluted),68,68,68,-,68,68,68,68,68,68,68,-,68,-,51,68,69,104,61,70,Upgrade
25,Shares Change (YoY),-,-0.00%,0.07%,-,0.82%,0.82%,0.75%,-,-,-,32.13%,-,-1.07%,-,-16.11%,-1.95%,0.60%,51.61%,-8.75%,3.89%,Upgrade
26,EPS (Basic),21.47,134.98,283.77,-,334.16,-223.43,182.88,173.76,169.88,1650.31,168.95,-,427.21,-,157.22,393.05,171.64,459.40,190.41,117.91,Upgrade
27,EPS (Diluted),21.47,134.98,283.77,-,334.16,-223.43,182.88,173.76,169.88,1650.31,168.95,-,427.21,-,157.22,393.05,171.64,459.40,190.41,117.91,Upgrade
28,EPS Growth,-93.57%,-,55.17%,-,96.71%,-,8.24%,-,-60.24%,-,7.46%,-,148.89%,-,-17.43%,233.33%,24.98%,-,-55.69%,-77.72%,Upgrade
29,Free Cash Flow,33596,311076,-255438,163619,61611,-28810,203875,13250,-59692,81434,200775,-70145,-19034,63034,-22934,23387,105608,-7713,111259,-,Upgrade
30,Free Cash Flow Per Share,490.65,4543.05,-3730.50,-,899.79,-420.74,2979.43,195.09,-878.87,1198.98,2956.07,-,-280.24,-,-446.15,342.04,1538.23,-74.28,1815.71,-,Upgrade
31,Dividend Per Share,-,-,-,-,-,-,262.032,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
32,Gross Margin,21.90%,21.97%,28.13%,20.49%,29.35%,2.57%,23.92%,27.76%,27.47%,12.29%,12.26%,23.57%,22.17%,11.98%,19.66%,20.81%,16.67%,26.02%,19.86%,10.69%,Upgrade
33,Operating Margin,13.29%,12.56%,21.19%,13.55%,22.65%,-3.69%,14.56%,12.40%,21.07%,7.25%,1.03%,17.67%,16.51%,8.45%,15.99%,17.80%,13.66%,21.53%,15.90%,6.95%,Upgrade
34,Profit Margin,1.12%,6.58%,12.27%,8.76%,13.29%,-9.34%,7.36%,5.63%,5.67%,55.47%,6.62%,3.87%,10.71%,1.71%,2.18%,5.17%,2.79%,11.87%,3.64%,2.29%,Upgrade
35,Free Cash Flow Margin,25.52%,221.62%,-161.24%,86.17%,35.78%,-17.58%,119.85%,6.32%,-29.36%,40.30%,115.81%,-34.57%,-7.02%,17.84%,-6.19%,4.49%,24.98%,-1.92%,34.71%,-,Upgrade
36,EBITDA,49599,50083,66021,64865,78103,33064,64132,64961,82222,53816,41537,75651,83849,69108,98321,131698,96815,124972,93223,66483,Upgrade
37,EBITDA Margin,37.68%,35.68%,41.67%,34.16%,45.36%,20.18%,37.70%,31.00%,40.44%,26.63%,23.96%,37.28%,30.94%,19.56%,26.52%,25.31%,22.90%,31.09%,29.09%,18.50%,Upgrade
38,D&A For EBITDA,32098,32452,32458,39130,39097,39115,39359,38970,39390,39176,39755,39795,39098,39252,39031,39093,39041,38430,42272,41519,Upgrade
39,EBIT,17501,17631,33563,25734,39006,-6052,24773,25991,42832,14641,1782,35856,44752,29856,59290,92605,57774,86542,50951,24964,Upgrade
40,EBIT Margin,13.29%,12.56%,21.19%,13.55%,22.65%,-3.69%,14.56%,12.40%,21.07%,7.25%,1.03%,17.67%,16.51%,8.45%,15.99%,17.80%,13.66%,21.53%,15.90%,6.95%,Upgrade
41,Effective Tax Rate,22.72%,18.66%,21.63%,22.06%,7.85%,-,35.40%,25.96%,38.96%,25.05%,12.29%,25.44%,25.33%,25.11%,24.99%,25.85%,24.70%,21.74%,10.52%,34.84%,Upgrade
42,Revenue as Reported,131646,140365,158422,189877,172183,163840,170105,209530,203321,202074,173367,202921,270988,353327,370765,520303,422820,401984,320501,359439,Upgrade
