,Fiscal Quarter,Current,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,+17 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010",+17 Quarters
0,Market Capitalization,999676,588739,716726,774320,1023909,633544,938982,645924,468655,450858,468655,367805,350008,385602,326279,403399,418654,562193,633963,777501,1142329,Upgrade
1,Market Cap Growth,-42.50%,-7.07%,-23.67%,19.88%,118.48%,40.52%,100.36%,75.62%,33.90%,16.92%,43.64%,-8.82%,-16.40%,-31.41%,-48.53%,-48.12%,-63.35%,-52.04%,-58.60%,-36.29%,28.10%,Upgrade
2,Enterprise Value,918751,918751,1095291,994955,1591666,1212017,1516911,1331378,1251487,1210823,1444048,1343198,1325401,1463567,1404244,1517966,1509886,1702640,1793393,1965716,2382226,Upgrade
3,Last Close Price,14600.00,3975.21,4839.38,5228.26,5931.38,3670.04,5280.98,3632.78,2657.31,2556.40,2549.58,2000.94,1904.12,2097.76,1680.61,2077.84,2138.96,2872.31,3016.71,3699.73,5435.76,Upgrade
4,PE Ratio,4.43,12.59,10.51,17.74,27.88,19.86,-,4.37,3.19,3.15,2.92,6.76,6.87,5.51,6.18,4.27,4.27,7.08,8.24,-70.13,187.22,Upgrade
5,PS Ratio,1.67,0.95,1.08,1.13,1.47,0.89,1.26,0.82,0.59,0.58,0.55,0.37,0.29,0.25,0.20,0.24,0.25,0.37,0.45,0.57,0.83,Upgrade
6,PB Ratio,0.95,0.56,0.68,0.73,-,0.64,0.95,0.64,0.47,0.46,0.47,0.42,-,0.45,-,0.48,0.51,0.64,0.74,0.96,1.43,Upgrade
7,P/TBV Ratio,0.57,0.57,0.69,0.75,-,0.66,0.97,0.66,0.48,0.47,0.48,0.43,-,0.46,-,0.49,0.53,0.66,0.76,0.98,1.46,Upgrade
8,P/FCF Ratio,46.52,2.33,2.55,-,2.56,2.53,-,2.70,1.99,-,2.43,2.11,-,-,1.93,-,1.80,2.69,-,16.82,-,Upgrade
9,P/OCF Ratio,14.36,2.47,4.11,-,2.33,-,3.40,2.40,-,-,1.75,1.47,-,5.23,1.81,-,1.46,2.09,4.27,5.90,-,Upgrade
10,EV/Sales Ratio,1.54,1.48,1.66,1.45,2.29,1.69,2.03,1.70,1.59,1.55,1.70,1.34,1.11,0.97,0.84,0.88,0.91,1.13,1.27,1.44,1.74,Upgrade
11,EV/EBITDA Ratio,3.72,3.98,4.23,4.11,6.63,5.04,6.21,5.02,5.16,4.78,5.67,4.97,4.05,3.82,3.55,3.36,3.38,4.46,5.09,6.95,9.86,Upgrade
12,EV/EBIT Ratio,8.11,9.73,9.45,10.79,19.07,14.48,-,12.30,14.68,12.73,14.88,11.97,7.81,6.46,5.86,5.12,5.24,7.73,9.51,16.11,23.84,Upgrade
13,EV/FCF Ratio,42.75,3.63,3.90,-,3.98,4.85,-,5.57,5.31,-,7.48,7.69,-,-,8.30,-,6.49,8.14,-,42.52,-,Upgrade
14,Debt / Equity Ratio,0.42,0.42,0.41,0.47,-,0.60,0.72,0.70,0.81,0.83,0.89,1.02,-,1.18,-,1.37,1.47,1.36,1.39,1.46,1.54,Upgrade
15,Debt / EBITDA Ratio,1.80,2.24,2.14,1.89,-,1.88,5.37,2.73,3.10,2.46,4.12,5.40,-,3.04,-,2.94,2.27,3.06,2.39,3.19,4.65,Upgrade
16,Debt / FCF Ratio,20.65,1.76,1.53,-,-,2.35,-,2.93,3.42,-,4.59,5.14,-,-,-,-,5.14,5.67,-,25.70,-,Upgrade
17,Asset Turnover,0.33,0.35,-,-,0.40,0.37,0.37,0.44,0.41,0.40,-,-,-,-,0.69,0.94,0.77,0.74,0.58,0.64,Upgrade,
18,Inventory Turnover,-,4.83,5.14,-,-,5.28,6.67,5.48,6.10,5.59,7.02,-,-,-,-,11.96,17.00,13.99,10.27,7.80,9.28,Upgrade
19,Quick Ratio,0.88,0.88,0.74,0.91,-,0.37,0.77,0.70,0.55,0.32,0.59,0.28,-,0.37,-,0.56,0.59,0.69,0.55,0.58,0.45,Upgrade
20,Current Ratio,1.26,1.26,1.10,1.33,-,0.84,1.17,1.10,0.87,0.74,0.90,0.59,-,0.69,-,1.03,0.97,1.18,1.16,1.32,1.06,Upgrade
21,Return on Equity (ROE),0.53%,3.48%,-,-,9.23%,-6.16%,4.90%,4.76%,4.63%,47.84%,-,-,-,-,3.91%,12.75%,5.44%,22.91%,5.78%,3.97%,Upgrade,
22,Return on Assets (ROA),2.75%,2.75%,-,-,5.73%,-0.85%,3.34%,3.40%,5.43%,1.83%,-,-,-,-,6.86%,10.50%,6.56%,9.96%,5.78%,2.76%,Upgrade,
23,Return on Capital (ROIC),2.93%,2.90%,-,-,5.95%,-0.89%,3.54%,3.62%,5.83%,2.00%,-,-,-,-,7.40%,11.38%,7.02%,10.66%,6.31%,3.00%,Upgrade,
24,Return on Capital Employed (ROCE),8.42%,7.02%,8.70%,6.54%,-,5.93%,-,7.09%,5.36%,6.00%,5.83%,7.23%,-,13.80%,-,16.44%,16.08%,11.76%,10.13%,6.38%,5.25%,Upgrade
25,Earnings Yield,22.59%,7.94%,9.51%,5.64%,3.59%,5.03%,2.19%,22.90%,31.35%,31.71%,34.23%,14.78%,14.57%,18.15%,16.17%,23.41%,23.41%,14.12%,12.14%,-1.43%,0.53%,Upgrade
26,FCF Yield,2.15%,42.95%,39.19%,-7.62%,39.09%,39.45%,13.70%,36.98%,50.31%,33.80%,41.19%,47.48%,-14.02%,11.53%,51.83%,24.38%,55.54%,37.20%,16.33%,5.95%,-,Upgrade
27,Dividend Yield,6.73%,-,-,-,-,-,-,7.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Payout Ratio,78.74%,-,1729.93%,-,-,78.79%,-,142.09%,-,154.87%,-,258.44%,-,103.36%,-,-,-,-,-,-,-,Upgrade
29,Buyback Yield / Dilution,-,0.00%,-0.07%,-,-0.82%,-0.82%,-0.75%,-,-,-,-32.13%,-,1.07%,-,16.11%,1.95%,-0.60%,-51.61%,8.75%,-3.89%,Upgrade,
30,Total Shareholder Return,6.73%,-,0.00%,-0.07%,-,-0.82%,-0.82%,6.46%,-,-,-,-32.13%,-,1.07%,-,16.11%,1.95%,-0.60%,-51.61%,8.75%,-3.89%,Upgrade
