,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,1130,1624,821.48,1064,957.06,1043,756.72,633.11,424.32,768.39,Upgrade
1,Revenue Growth (YoY),37.55%,52.63%,-14.17%,2.02%,26.47%,64.74%,78.34%,-17.61%,-41.97%,4.94%,Upgrade
2,Cost of Revenue,931.07,1367,666.78,863.18,770.98,855.28,652.82,582.01,368.12,599.96,Upgrade
3,Gross Profit,198.85,256.79,154.7,200.82,186.08,187.69,103.9,51.1,56.2,168.43,Upgrade
4,"Selling, General & Admin",69.44,94.99,63.24,77.25,83.3,63.15,69.64,68.94,47.54,71.98,Upgrade
5,Other Operating Expenses,-0.6,-,0.07,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,68.84,99.56,63.32,76.66,83.3,63.15,69.64,68.94,47.54,71.98,Upgrade
7,Operating Income,130.01,157.23,91.38,124.16,102.79,124.53,34.27,-17.84,8.66,96.45,Upgrade
8,Interest Expense,-18.66,-21.47,-15.33,-16.23,-17.62,-19.62,-19.43,-25.1,-11.48,-12.87,Upgrade
9,Interest & Investment Income,0.57,2.57,1.96,1.64,0.53,0.05,0.18,0.55,0.33,0.85,Upgrade
10,Currency Exchange Gain (Loss),-,-9.66,4.22,8.85,28.24,-1.46,1.3,-20.1,5.4,2.97,Upgrade
11,Other Non Operating Income (Expenses),-3.66,6.76,4.26,9.2,3.7,2.04,1.69,9.2,8.1,8.31,Upgrade
12,EBT Excluding Unusual Items,108.26,135.43,86.5,127.62,117.63,105.56,18,-53.29,11,95.7,Upgrade
13,Gain (Loss) on Sale of Assets,-,-4.74,1.98,-9.99,-0.62,-0.46,-0.02,13.88,-,-,Upgrade
14,Asset Writedown,-,-,-,-,-,-,-,-,-,-6.17,Upgrade
15,Pretax Income,108.26,132.71,88.48,117.82,117.01,105.1,17.99,-39.28,11,90.6,Upgrade
16,Income Tax Expense,29.75,37.42,20.98,30.45,32.57,26.89,5.7,-15.27,-0.34,25.56,Upgrade
17,Earnings From Continuing Operations,78.51,95.29,67.5,87.37,84.44,78.21,12.29,-24.02,11.34,65.04,Upgrade
18,Minority Interest in Earnings,-4.55,0.77,0.05,5.83,-1.95,-4.27,1.99,2.75,-1.25,-1.38,Upgrade
19,Net Income,73.96,96.06,67.55,93.2,82.49,73.94,14.28,-21.27,10.09,63.65,Upgrade
20,Net Income to Common,73.96,96.06,67.55,93.2,82.49,73.94,14.28,-21.27,10.09,63.65,Upgrade
21,Net Income Growth,9.49%,3.07%,-18.12%,26.05%,477.69%,-,41.48%,-,-88.51%,-19.33%,Upgrade
22,Shares Outstanding (Basic),616,616,616,616,616,616,616,616,613,611,Upgrade
23,Shares Outstanding (Diluted),616,616,616,616,616,616,616,616,630,613,Upgrade
24,Shares Change (YoY),-,-,-,-,-,0.00%,-2.10%,0.50%,-2.52%,-8.00%,Upgrade
25,EPS (Basic),0.12,0.16,0.11,0.15,0.13,0.12,0.02,-0.03,0.02,0.10,Upgrade
26,EPS (Diluted),0.12,0.16,0.11,0.15,0.13,0.12,0.02,-0.04,0.02,0.10,Upgrade
27,EPS Growth,9.49%,3.07%,-15.71%,26.05%,550.00%,-,21.41%,-,-88.23%,-13.70%,Upgrade
28,Free Cash Flow,-316.85,355.79,-376.97,274.37,125.92,173.38,66.9,79.77,-221.71,-221.04,Upgrade
29,Free Cash Flow Per Share,-0.51,0.58,-0.61,0.45,0.20,0.28,0.11,0.13,-0.35,-0.36,Upgrade
30,Operating Margin,11.51%,9.68%,11.12%,11.67%,10.74%,11.94%,4.53%,-2.82%,2.04%,12.55%,Upgrade
31,Profit Margin,6.55%,5.92%,8.22%,8.76%,8.62%,7.09%,1.89%,-3.36%,2.38%,8.28%,Upgrade
32,Free Cash Flow Margin,-28.04%,21.91%,-45.89%,25.79%,13.16%,16.62%,8.84%,12.60%,-52.25%,-28.77%,Upgrade
33,EBITDA,181.29,208.64,142.68,177.85,154.57,175.47,72.85,23.07,42.71,131.79,Upgrade
34,D&A For EBITDA,51.28,51.41,51.3,53.69,51.78,50.93,38.58,40.91,34.05,35.34,Upgrade
35,EBIT,130.01,157.23,91.38,124.16,102.79,124.53,34.27,-17.84,8.66,96.45,Upgrade
