,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Jul '19 Jul 31, 2019"
0,Market Capitalization,2726,2002,3908,4268,6288,7532,9302,39236,-,-,-
1,Market Cap Growth,-53.08%,-53.08%,-37.85%,-43.34%,-32.39%,-80.80%,-,-,-,-,-
2,Enterprise Value,1183,124,2839,2003,4127,4718,5968,38517,-,-,-
3,Last Close Price,1.13,0.83,1.62,1.77,2.61,3.13,3.87,16.34,-,-,-
4,PS Ratio,6.47,4.87,10.55,13.05,22.16,26.86,37.74,215.67,-,-,-
5,PB Ratio,1.17,0.85,1.52,1.49,2.02,2.15,2.45,9.98,-,-,-
6,P/TBV Ratio,0.95,0.95,1.52,1.58,2.02,2.32,2.45,10.78,-,-,-
7,EV/Sales Ratio,2.88,0.30,7.67,6.12,14.54,16.82,24.21,211.72,-,-,-
8,Debt / Equity Ratio,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.00,-0.05,-,-
9,Earnings Yield,-13.74%,-18.71%,-13.29%,-12.95%,-8.17%,-3.66%,-2.42%,-1.06%,-,-,-
10,FCF Yield,-7.13%,-9.70%,-6.62%,-6.57%,-4.11%,-4.65%,-3.23%,-0.18%,-,-,-
11,Buyback Yield / Dilution,0.15%,0.58%,-0.29%,0.52%,1.79%,-4.94%,-41.54%,-30.66%,3.09%,-,-
12,Total Shareholder Return,0.15%,0.58%,-0.29%,0.52%,1.79%,-4.94%,-41.54%,-30.66%,3.09%,-,-
