,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Jul '19 Jul 31, 2019"
0,Revenue,223.14,159.77,176.44,126.24,124.78,114.62,86.19,65.08,38.86,-
1,Revenue Growth (YoY),26.47%,26.56%,41.40%,10.14%,44.77%,76.14%,121.81%,-,-,-
2,Cost of Revenue,64.91,46.47,59.82,43.56,45.34,43.43,38.68,36.83,21.72,-
3,Gross Profit,158.22,113.31,116.62,82.69,79.44,71.19,47.51,28.24,17.14,-
4,"Selling, General & Admin",118.92,177.9,115.33,137.78,94.99,98.41,53.36,57.87,38.71,18.91
5,Research & Development,83.09,127.85,109.49,144.17,79.61,102.13,49,66.52,30.32,51.72
6,Other Operating Expenses,22.83,30.48,70.72,52.72,18.69,-10.23,5.85,103.23,-1.15,11.25
7,Operating Expenses,224.84,336.23,295.54,334.68,193.29,190.31,108.2,227.61,67.88,81.89
8,Operating Income,-66.62,-222.92,-178.92,-251.99,-113.85,-119.12,-60.69,-199.37,-50.75,-81.89
9,Interest Expense,-1.93,-1.81,-2.1,-2.38,-2.81,-2.67,-16.97,-93.23,-52.92,-1.98
10,Interest & Investment Income,39.38,44.26,42.29,27.77,10.88,12.18,12.53,4.72,0.51,0.03
11,Earnings From Equity Investments,-23.56,-26.48,-37.98,-53.98,-15.33,-3.4,-0.11,0.72,-,-
12,Currency Exchange Gain (Loss),-1.24,0.37,1.21,0.09,-0.34,0.1,-3.67,-6.17,-1.44,0.39
13,Other Non Operating Income (Expenses),-0.09,-0.11,-0.13,-0.12,-0.1,-0.18,-0.08,-0.06,-0.09,-0.05
14,EBT Excluding Unusual Items,-54.06,-206.69,-175.63,-280.61,-121.56,-113.08,-69,-293.39,-104.69,-83.5
15,Gain (Loss) on Sale of Investments,-,-81.33,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-,0.07,-,-0.03,-,-0,-0.57,-,-,-
17,Asset Writedown,-,-,-,-49.1,-,-,-,-,-,-
18,Other Unusual Items,-,-,-,-,-,-,-,17.1,-17.1,-
19,Pretax Income,-54.06,-287.95,-175.63,-329.74,-121.56,-113.09,-69.57,-276.29,-121.8,-83.5
20,Income Tax Expense,3.69,4.18,3.77,2.27,0.82,0.11,0.5,-,-,-
21,Earnings From Continuing Operations,-57.75,-292.13,-179.4,-332.02,-122.38,-113.2,-70.07,-276.29,-121.8,-83.5
22,Minority Interest in Earnings,1.29,-,-,-,-,-,-,-,-,-
23,Net Income,-56.46,-292.13,-179.4,-332.02,-122.38,-113.2,-70.07,-276.29,-121.8,-83.5
24,Net Income to Common,-56.46,-292.13,-179.4,-332.02,-122.38,-113.2,-70.07,-276.29,-121.8,-83.5
25,Shares Outstanding (Basic),2348,2364,2362,2357,2374,2400,2262,1696,1731,1750
26,Shares Outstanding (Diluted),2348,2364,2362,2357,2374,2400,2262,1696,1731,1750
27,Shares Change (YoY),-0.58%,0.29%,-0.52%,-1.79%,4.94%,41.54%,30.66%,-3.09%,-,-
28,EPS (Basic),-0.02,-0.12,-0.08,-0.14,-0.05,-0.05,-0.03,-0.16,-0.07,-0.05
29,EPS (Diluted),-0.02,-0.12,-0.08,-0.14,-0.05,-0.05,-0.03,-0.16,-0.07,-0.05
30,Free Cash Flow,-90.28,-90.56,-144.34,-115,-113.47,-185.31,-59.62,-,-,-60.47
31,Free Cash Flow Per Share,-0.04,-0.04,-0.06,-0.05,-0.05,-0.08,-0.03,-,-,-0.03
32,Operating Margin,-29.86%,-139.52%,-101.40%,-199.60%,-91.24%,-103.93%,-70.41%,-306.37%,-130.59%,-
33,Profit Margin,-25.30%,-182.84%,-101.68%,-262.99%,-98.08%,-98.76%,-81.29%,-424.57%,-313.43%,-
34,Free Cash Flow Margin,-40.46%,-56.68%,-81.81%,-91.10%,-90.93%,-161.67%,-69.17%,-,-,-
35,EBITDA,-37.58,-220.48,-156.81,-253.51,-94.4,-123.52,-50.47,-196.47,-50.49,-
36,D&A For EBITDA,29.04,2.44,22.11,-1.52,19.45,-4.4,10.22,2.9,0.26,-
37,EBIT,-66.62,-222.92,-178.92,-251.99,-113.85,-119.12,-60.69,-199.37,-50.75,-81.89
