,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2120,526,1350,1046,3476,4684,6530,12846,11504,-,-
1,Market Cap Growth,-49.68%,-49.68%,-61.17%,-77.67%,-46.78%,-63.54%,-43.23%,-,-,-,-
2,Enterprise Value,1229,-566,55,-916,994,1789,3135,9166,12582,-,-
3,Last Close Price,3.12,0.78,2.00,1.55,5.15,7.05,9.81,19.14,17.14,-,-
4,PS Ratio,31.98,8.74,18.20,5.43,19.20,48.34,184.92,-,-,-,-
5,PB Ratio,1.81,0.49,1.07,0.66,1.79,1.81,2.22,3.77,3.19,-,-
6,P/TBV Ratio,0.49,0.49,1.07,0.66,1.80,1.85,2.23,3.77,3.19,-,-
7,EV/Sales Ratio,20.40,-,-,-,5.49,18.47,88.78,-,-,-,-
8,Debt / Equity Ratio,0.20,0.20,0.18,0.09,0.03,0.02,0.01,0.01,0.00,-1.58,-2.28
9,Earnings Yield,-26.84%,-108.08%,-47.44%,-69.80%,-19.56%,-14.18%,-12.32%,-24.57%,-30.24%,-,-
10,FCF Yield,-20.31%,-81.79%,-63.56%,-99.01%,-21.65%,-15.75%,-10.92%,-4.14%,-3.70%,-,-
11,Buyback Yield / Dilution,-0.28%,-0.67%,0.10%,0.68%,1.27%,1.03%,-112.38%,-200.50%,-,-,-
12,Total Shareholder Return,-0.28%,-0.67%,0.10%,0.68%,1.27%,1.03%,-112.38%,-200.50%,-,-,-
