,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,35017,595.4,1672,1201,3974,483.93,447.74,68206,108155,109871,191897,139215,168983,152678,124956
1,Revenue Growth (YoY),781.08%,23.03%,273.50%,-98.24%,-96.33%,-99.56%,-99.77%,-51.01%,-36.00%,-28.04%,53.57%,-,-,-,-
2,Cost of Revenue,37315,195.17,615.89,451.62,3478,270.32,308.48,65841,102318,99091,174782,127550,151588,135069,110771
3,Gross Profit,-2298,400.23,1056,749.69,496.05,213.61,139.26,2366,5837,10780,17115,11666,17395,17609,14185
4,"Selling, General & Admin",5124,3444,2123,4188,5317,4106,4517,5005,10749,5284,7504,6122,3360,-399.14,1546
5,Operating Expenses,5124,3444,2123,4188,5317,4106,4517,5005,10749,5284,7504,6122,3360,-399.14,1546
6,Operating Income,-7422,-3044,-1066,-3438,-4821,-3892,-4378,-2639,-4911,5496,9611,5544,14035,18008,12639
7,Interest Expense,-280.37,-,-,-32.01,-49.12,-101.16,-2606,-2508,-2202,-2005,-1701,-1234,-753.92,-767.64,-838.14
8,Interest & Investment Income,1496,1156,-,128.67,57.09,53.77,2084,925.09,-,835.07,958.82,726.28,572.05,659.3,665.3
9,Other Non Operating Income (Expenses),-248.47,-9.82,1279,-3.92,-0.01,-60.03,-60.95,944.18,-349.58,-3.35,-0,-0,-0.64,-142.04,-21.02
10,Pretax Income,-6455,-1898,212.31,-3345,-4813,-3999,-4961,-3278,-7463,4323,8868,5036,13852,17757,12445
11,Income Tax Expense,-,-,-,-,-,-,-69.95,69.95,-753.91,1294,2133,1438,2970,3752,2689
12,Earnings From Continuing Operations,-6455,-1898,212.31,-3345,-4813,-3999,-4891,-3348,-6709,3028,6735,3598,10882,14006,9756
13,Minority Interest in Earnings,1600,28.36,34.46,28.36,76.45,57.29,253.79,3.84,695.24,-662.06,-1493,-1021,-1544,-2525,-1763
14,Net Income,-4856,-1869,246.76,-3317,-4737,-3942,-4637,-3344,-6013,2366,5243,2578,9338,11481,7993
15,Net Income to Common,-4856,-1869,246.76,-3317,-4737,-3942,-4637,-3344,-6013,2366,5243,2578,9338,11481,7993
16,Net Income Growth,-,-,-,-,-,-,-,-,-,-79.39%,-34.41%,-,-,-,-
17,Shares Outstanding (Basic),28,39,62,69,-,-,69,-,-,69,69,-,-,-,-
18,Shares Outstanding (Diluted),28,39,62,69,-,-,69,-,-,69,69,-,-,-,-
19,Shares Change (YoY),-,-,-10.58%,-,-,-,-0.00%,-,-,-,-,-,-,-,-
20,EPS (Basic),-173.00,-48.00,4.00,-48.08,-,-,-67.21,-,-,34.30,75.99,-,-,-,-
21,EPS (Diluted),-173.00,-48.00,4.00,-48.08,-,-,-67.21,-,-,34.30,75.99,-,-,-,-
22,Free Cash Flow,-,-,200474,-415.83,9815,-10610,-,12826,-,1160,-36215,-36215,-7189,13650,13650
23,Free Cash Flow Per Share,-,-,3249.67,-6.03,-,-,-,-,-,16.82,-524.94,-,-,-,-
24,Gross Margin,-6.56%,67.22%,63.17%,62.41%,12.48%,44.14%,31.10%,3.47%,5.40%,9.81%,8.92%,8.38%,10.29%,11.53%,11.35%
25,Operating Margin,-21.20%,-511.26%,-63.76%,-286.19%,-121.31%,-804.23%,-977.69%,-3.87%,-4.54%,5.00%,5.01%,3.98%,8.31%,11.79%,10.11%
26,Profit Margin,-13.87%,-313.95%,14.76%,-276.11%,-119.19%,-814.59%,-1035.62%,-4.90%,-5.56%,2.15%,2.73%,1.85%,5.53%,7.52%,6.40%
27,Free Cash Flow Margin,-,-,11988.02%,-34.62%,246.96%,-2192.54%,-,18.80%,-,1.06%,-18.87%,-26.01%,-4.25%,8.94%,10.92%
28,EBITDA,-4769,-392.32,-523.31,-786.29,-2170,-1238,-1723,14.72,-2257,8150,12254,8187,16074,19936,14566
29,EBITDA Margin,-13.62%,-65.89%,-31.29%,-65.45%,-54.59%,-255.81%,-,0.02%,-2.09%,7.42%,6.39%,5.88%,9.51%,13.06%,11.66%
30,D&A For EBITDA,2653,2652,542.97,2652,2652,2654,2654,2654,2654,2654,2643,2643,2039,1928,1928
31,EBIT,-7422,-3044,-1066,-3438,-4821,-3892,-4378,-2639,-4911,5496,9611,5544,14035,18008,12639
32,EBIT Margin,-21.20%,-,-63.76%,-286.19%,-121.31%,-,-,-3.87%,-4.54%,5.00%,5.01%,3.98%,8.31%,11.79%,10.11%
33,Effective Tax Rate,-,-,-,-,-,-,-,-,-,29.94%,24.05%,28.55%,21.44%,21.13%,21.61%
34,Revenue as Reported,35017,595.4,1672,1201,3974,483.93,447.74,68206,108155,109871,191897,139215,168983,152678,124956
