,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,455319,503610,441521,379432,255254,282849,338040,372533,269052,296647,469116,566578,1426442,1085023,503625,503625
1,Market Cap Growth,78.05%,78.05%,30.61%,1.85%,-5.13%,-4.65%,-27.94%,-34.25%,-81.14%,-72.66%,-6.85%,12.50%,-,-,-,-
2,Enterprise Value,449565,468955,387337,325622,367313,395090,403182,560748,460587,488182,660918,674572,1534437,1193017,611619,611619
3,Last Close Price,6600.00,7300.00,6400.00,5500.00,3700.00,4100.00,4900.00,5400.00,3900.00,4300.00,6800.00,8212.56,20676.33,28599.03,13274.52,13274.52
4,PE Ratio,-,-,-,-32.29,-,-,-,-,-,-,24.03,19.78,45.44,37.66,25.86,63.00
5,PS Ratio,11.84,13.09,59.32,51.75,41.80,3.87,1.91,1.30,0.56,0.54,0.77,0.87,2.43,2.43,1.81,4.03
6,PB Ratio,0.25,0.66,0.57,0.49,0.33,0.36,0.43,0.47,0.33,0.37,0.57,0.70,-,-,-,-
7,P/TBV Ratio,0.74,0.74,0.64,0.55,0.37,0.41,0.49,0.51,0.39,0.43,0.63,0.76,-,-,-,-
8,P/FCF Ratio,2.36,-,-,1.90,-,23.51,-,-,-12.10,-,-5.98,-,-,-,18.45,36.90
9,P/OCF Ratio,2.36,-,-,1.90,-,23.51,-,-,-12.24,-,-6.02,-,-,-,14.15,28.29
10,EV/Sales Ratio,11.68,12.19,52.04,44.41,60.14,5.40,2.27,1.96,0.96,0.89,1.08,1.03,2.62,2.67,2.20,4.89
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,25.36,-,14.80,11.95,26.11,23.59,17.73,41.99
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,19.05,14.29,30.55,26.70,19.96,48.39
13,EV/FCF Ratio,2.20,-,-,1.63,-,32.84,-,-,-20.72,-,-8.42,-,-,-,22.40,44.81
14,Debt / Equity Ratio,0.13,0.13,0.09,0.09,0.09,0.10,0.10,0.11,0.24,0.24,0.24,0.24,-,-,-,-
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,3295.23,-,5.89,3.96,-,-,-,-
16,Debt / FCF Ratio,0.47,-,-,0.36,-,6.32,-,-,-8.73,-,-2.45,-,-,-,-,-
17,Asset Turnover,0.15,-,0.01,0.01,0.02,0.00,-,-,0.40,0.41,-,-,-,-,-,
18,Inventory Turnover,8.29,32.19,-,0.38,0.28,1.73,0.22,-,-,37.60,31.70,-,-,-,-,-
19,Quick Ratio,3.21,3.22,4.59,5.46,5.79,4.46,4.24,4.45,-,2.11,2.15,2.13,-,-,-,-
20,Current Ratio,4.48,4.48,6.60,6.92,7.24,7.66,7.36,7.54,-,3.42,3.51,3.49,-,-,-,-
21,Return on Equity (ROE),-3.35%,-,0.11%,-1.72%,-2.46%,-2.03%,-,-1.66%,-3.30%,1.49%,-,-,-,-,-,
22,Return on Assets (ROA),-2.01%,-,-0.29%,-0.94%,-1.31%,-1.05%,-,-,-1.14%,1.27%,-,-,-,-,-,
23,Return on Capital (ROIC),-2.17%,-,-0.31%,-1.01%,-1.40%,-1.12%,-,-0.66%,-1.22%,1.36%,-,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,4.00%,5.45%,-,-,-,-
25,Earnings Yield,-2.62%,-1.94%,-2.19%,-3.10%,-6.52%,-5.89%,-5.31%,-3.12%,-0.65%,1.41%,4.16%,5.05%,2.20%,2.66%,3.87%,1.59%
26,FCF Yield,42.40%,-,-,52.52%,-0.47%,4.25%,0.66%,-,-8.26%,-,-16.72%,-11.64%,-1.13%,1.85%,5.42%,2.71%
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,76.28%,-,-,-,10.37%,14.90%
28,Buyback Yield / Dilution,-,-,10.58%,-,-,-,0.00%,-,-,-,-,-,-,-,-,
29,Total Shareholder Return,-,-,10.58%,-,-,-,0.00%,-,-,-,-,-,-,-,-,
