,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,336.61,410.63,314.35,322.23,387.86,231.25,465.77,382.78,490.52,433.38,479.33,366.01,366.01
1,Other Revenue,-2.02,2.02,-,10.25,-1.78,1.78,-,6.36,-3.87,3.87,-,1,1
2,Revenue,334.59,412.65,314.35,332.48,386.08,233.02,465.77,389.13,486.65,437.25,479.33,367.01,367.01
3,Revenue Growth (YoY),-13.34%,77.09%,-32.51%,-14.56%,-20.67%,-46.71%,-2.83%,6.03%,32.60%,-,-,-,-
4,Cost of Revenue,298.42,353.95,273.96,280.66,314.62,185.26,369.66,321.77,346.35,311.68,316.83,271.11,271.11
5,Gross Profit,36.16,58.7,40.39,51.82,71.46,47.76,96.11,67.36,140.3,125.57,162.5,95.91,95.91
6,"Selling, General & Admin",37.39,28.26,28.54,30.42,27.77,43.98,26.19,17.32,52.22,29.8,39.9,27.01,27.01
7,Research & Development,12.6,7.9,7.31,7.24,5.91,21.07,9.98,14.67,13.96,8.87,11.41,10.07,10.07
8,Other Operating Expenses,2.93,3.25,3.51,8.5,2.07,-1.4,3.22,7.83,2.76,1.39,2.8,2.72,2.72
9,Operating Expenses,53.29,41.14,42.08,43.74,38.2,61.3,45.35,39.23,70.95,37.12,57.68,39.97,39.97
10,Operating Income,-17.13,17.56,-1.69,8.09,33.26,-13.54,50.76,28.13,69.35,88.46,104.81,55.93,55.93
11,Interest Expense,-7.34,-7.09,-6.31,-5.97,-5.4,-7.99,-7.15,-8.09,-7.91,-6.27,-6.77,-1.91,-1.91
12,Interest & Investment Income,1.94,1.42,1.09,0.98,0.54,0.82,0.23,0.22,0.42,0.18,0.13,0.21,0.21
13,Earnings From Equity Investments,-,-0.01,0.01,-,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-3.22,3.22,-,7.85,-9.07,9.07,-,26.61,-11.76,11.76,-,-1.28,-1.28
15,Other Non Operating Income (Expenses),2.03,-1.55,0.91,-5.82,5.54,3.09,-3.7,-20.72,20.46,1.86,-2.49,-0.21,-0.21
16,EBT Excluding Unusual Items,-23.73,13.55,-5.99,5.14,24.87,-8.55,40.15,26.15,70.56,95.98,95.68,52.75,52.75
17,Gain (Loss) on Sale of Investments,-0.07,-0.15,0.22,0.25,0.61,0.26,0.26,0.32,0.15,0.24,0.37,0.12,0.12
