,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3271,3565,3130,4257,5773,5840,6243,7072,-,-,-,-,-,-
1,Market Cap Growth,-38.95%,-38.95%,-49.87%,-39.81%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4046,4252,3755,4670,6186,6251,6476,7550,-,-,-,-,-,-
3,Last Close Price,7.87,8.48,7.44,10.01,13.58,13.74,14.69,16.42,-,-,-,-,-,-
4,PE Ratio,114.80,-,47.46,103.49,76.87,72.65,-,33.37,-,-,-,-,-,-
5,PS Ratio,2.36,2.56,2.17,3.36,4.07,3.96,3.96,3.98,-,-,-,-,-,-
6,PB Ratio,1.61,1.76,1.51,2.02,2.75,2.82,3.04,3.30,-,-,-,-,-,-
7,P/TBV Ratio,1.88,1.88,1.61,2.16,2.95,2.99,3.23,3.48,-,-,-,-,-,-
8,P/OCF Ratio,45.80,45.80,18.97,-,48.76,45.02,-,-,-,-,-,-,-,-
9,EV/Sales Ratio,2.90,3.05,2.60,3.69,4.36,4.24,4.11,4.24,-,-,-,-,-,-
10,EV/EBITDA Ratio,31.35,36.07,22.81,36.64,35.10,32.46,29.08,23.28,-,-,-,-,-,-
11,EV/EBIT Ratio,622.76,-,65.62,-,78.74,63.39,-,31.90,-,-,-,-,-,-
12,Debt / Equity Ratio,0.57,0.57,0.52,0.45,0.37,0.32,0.37,0.40,0.49,-,0.54,0.42,0.24,0.24
13,Debt / EBITDA Ratio,8.90,28.75,5.65,9.23,5.11,2.93,16.70,2.91,3.66,-,1.83,1.19,1.28,1.28
14,Asset Turnover,0.38,0.48,0.38,0.43,0.51,0.29,0.61,-,-,-,-,0.81,-,
15,Inventory Turnover,4.06,3.66,4.35,3.25,3.72,4.38,2.95,6.23,-,-,-,-,5.36,-
16,Quick Ratio,0.65,0.65,0.74,0.70,0.74,0.78,0.87,1.29,0.69,-,0.80,-,1.28,1.28
17,Current Ratio,0.95,0.95,1.02,1.06,1.10,1.15,1.23,1.58,1.05,-,1.22,-,1.87,1.87
18,Return on Equity (ROE),-2.98%,3.09%,2.08%,3.23%,4.27%,-1.66%,9.52%,-,-,23.51%,-,14.69%,-,
19,Return on Assets (ROA),-1.22%,1.28%,-0.13%,0.65%,2.72%,-1.06%,4.16%,-,-,-,-,7.73%,-,
20,Return on Capital (ROIC),-1.35%,1.41%,-0.14%,0.72%,3.00%,-1.16%,4.67%,-,-,10.19%,-,9.07%,-,
21,Return on Capital Employed (ROCE),0.31%,-,2.53%,-,3.58%,4.68%,-,9.89%,15.54%,-,16.78%,-,7.87%,3.94%
22,Earnings Yield,0.88%,0.80%,2.11%,0.97%,1.30%,1.38%,1.88%,3.00%,-,-,-,-,-,-
23,FCF Yield,-5.53%,-5.08%,-4.54%,-5.15%,-3.63%,-3.72%,-4.17%,-2.58%,-,-,-,-,-,-
24,Dividend Yield,0.76%,-,1.75%,-,0.74%,-,-,-,-,-,-,-,-,-
25,Payout Ratio,248.25%,-,303.96%,64.72%,38.59%,31.89%,-,17.44%,32.03%,12.22%,8.15%,11.43%,46.77%,46.77%
26,Buyback Yield / Dilution,-5.01%,0.97%,-12.37%,2.72%,-11.07%,-11.00%,-12.07%,0.89%,0.60%,0.58%,-,-,-,-
27,Total Shareholder Return,-4.25%,0.97%,-10.63%,2.72%,-10.33%,-11.00%,-12.07%,0.89%,0.60%,0.58%,-,-,-,-
