,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,332.53,369.79,317.62,244.33,171.12,275.87,598.58,201.88,-,291.66,-,110.81,110.81
1,Trading Asset Securities,41,30,-,70.37,80,70,30,20,-,60,-,-,-
2,Cash & Short-Term Investments,373.53,399.79,317.62,314.7,251.12,345.87,628.58,221.88,-,351.66,219.07,110.81,110.81
3,Cash Growth,48.75%,15.59%,-49.47%,41.83%,-,-1.64%,186.93%,100.23%,-,-,-,-,-
4,Accounts Receivable,467.42,474.87,432.41,429.99,440.41,414.84,509.77,359.18,-,359.26,-,330.92,330.92
5,Other Receivables,21.76,53.4,26.18,20.06,19.8,73.97,38.46,57.65,-,58.31,-,54.06,54.06
6,Receivables,489.19,528.27,458.59,450.05,460.21,488.81,548.23,416.83,-,417.57,-,384.99,384.99
7,Inventory,332.74,320,331.54,342.14,262.07,312.88,189.64,285.09,-,366.81,-,202.39,202.39
8,Other Current Assets,64.27,25.06,61.46,31.11,80.32,27.75,74.03,46.81,-,39.55,-,26.53,26.53
9,Total Current Assets,1260,1273,1169,1138,1054,1175,1440,970.61,-,1176,-,724.72,724.72
10,"Property, Plant & Equipment",1979,1941,1887,1836,1738,1686,1648,1605,-,1382,-,932.94,932.94
11,Long-Term Investments,57.68,57.8,64.83,14.96,-,-,-,-,-,-,-,-,-
12,Goodwill,10.81,10.81,10.81,10.81,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,121.07,122.01,123,123.96,119.86,120.11,107.79,108.48,-,108.17,-,91.93,91.93
14,Long-Term Deferred Tax Assets,66.23,59.69,52.85,49.37,46.11,46.99,44.84,43.47,-,40.72,-,14.26,14.26
15,Long-Term Deferred Charges,19.95,21.95,23.82,20.75,25.04,25.68,28.65,30.07,-,28.69,-,18.89,18.89
16,Other Long-Term Assets,8.79,22.34,30.47,32.63,39.46,32.04,34.48,41.83,-,45.25,-,26.5,26.5
17,Total Assets,3523,3509,3362,3227,3023,3086,3305,2799,-,2781,-,1809,1809
18,Accounts Payable,263.48,178.57,237.13,153.07,213.46,130.32,221.18,129.46,-,165.29,-,140.62,140.62
19,Accrued Expenses,13.15,29.15,11.47,44.3,14.88,32.5,20.08,67.99,-,50.47,-,26.11,26.11
20,Short-Term Debt,921.17,854.28,771.01,696.76,635.37,664.23,554.14,498.12,-,541.48,-,131.7,131.7
21,Current Portion of Long-Term Debt,87.1,74.67,51.63,15.34,16.36,30.36,74.35,70.42,-,29.85,-,0.15,0.15
22,Current Portion of Leases,-,1.18,-,1.39,-,3.61,-,3.23,-,2.79,-,2.59,2.59
23,Current Income Taxes Payable,8.06,4.68,11.18,10.23,14.52,4.17,17.32,14.03,-,26.9,-,16.47,16.47
24,Current Unearned Revenue,8.02,4.89,5.38,5.45,3.15,4.6,3.13,3.15,-,8.51,-,12.79,12.79
25,Other Current Liabilities,29.81,102.31,15.84,107.6,19.44,86.82,20.74,141.36,-,136.94,-,57.98,57.98
26,Total Current Liabilities,1331,1250,1104,1034,917.17,956.62,910.93,927.76,-,962.23,-,388.4,388.4
27,Long-Term Debt,138.47,154.47,114.54,59.6,10,55.49,230.73,220.5,-,250.5,-,161.6,161.6
28,Long-Term Leases,1.15,1.32,1.52,2.16,2.3,3.13,2.94,3.69,-,5.04,-,7.05,7.05
29,Long-Term Unearned Revenue,15.63,15.98,16.33,16.7,16.06,16.37,11.66,11.9,-,12.39,-,11.28,11.28
30,Long-Term Deferred Tax Liabilities,-,-,0.13,0.15,-,-,2.86,2.76,-,-,-,-,-
