,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2868,3150,2806,4632,4576,5073,5761,6587,5682,4417,4876,3347,4954,5036,-,-,-,-,-,-
1,Market Cap Growth,-37.90%,-37.90%,-51.29%,-29.69%,-19.48%,14.84%,18.14%,96.80%,14.70%,-12.28%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2504,2714,2260,4682,4625,5092,5663,6439,5534,4225,4625,3148,4754,5056,-,-,-,-,-,-
3,Last Close Price,29.52,32.19,28.27,46.29,52.46,58.16,66.05,75.32,64.97,50.53,55.79,38.86,57.51,58.46,-,-,-,-,-,-
4,PE Ratio,22.85,25.91,20.38,33.43,34.08,40.02,51.29,63.50,55.62,43.50,49.89,34.38,56.00,59.67,-,-,-,-,-,-
5,Forward PE,20.50,19.00,15.41,22.27,25.17,29.92,36.81,58.02,51.22,38.34,45.23,32.78,48.71,54.79,-,-,-,-,-,-
6,PS Ratio,1.43,1.63,1.44,2.39,2.41,2.84,3.41,4.20,3.82,3.12,3.60,2.51,3.89,4.11,-,-,-,-,-,-
7,PB Ratio,1.60,1.76,1.57,2.53,3.76,4.45,5.23,6.04,5.36,4.37,4.94,3.42,5.20,5.42,-,-,-,-,-,-
8,P/TBV Ratio,1.85,1.85,1.65,2.66,4.05,4.81,5.66,6.28,5.55,4.54,5.14,3.55,5.41,5.66,-,-,-,-,-,-
