,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,526.4,518.87,589.76,282.22,156.41,193.49,220.04,381.13,331.91,358.11,374.34,332.1,357.52,159.52,-,117.41,-,-,-
1,Cash & Short-Term Investments,526.4,518.87,589.76,282.22,156.41,193.49,220.04,381.13,331.91,358.11,374.34,332.1,357.52,159.52,117.41,117.41,-,-,79.03
2,Cash Growth,236.56%,168.16%,168.02%,-25.95%,-52.88%,-45.97%,-41.22%,14.77%,-7.16%,124.49%,218.84%,182.86%,-,-,48.57%,-,-,-,-
3,Accounts Receivable,101.81,114.85,85.43,103.77,108.82,86.31,72.4,66.62,77.1,72.43,61.34,62.25,64.95,52.85,-,52.25,-,-,-
4,Other Receivables,5.03,5.14,4.35,4.27,5.66,7.49,5.18,6.69,9.39,9.26,8.28,8.34,6.34,5.95,-,6.98,-,-,-
5,Receivables,106.84,119.99,89.79,108.04,114.48,93.8,77.58,73.31,86.49,81.7,69.62,70.59,71.3,58.8,-,59.23,-,-,-
6,Inventory,268.58,266.26,262.45,228.46,243.64,228.75,206.46,182.45,166.12,150.93,129.13,162.07,144.71,130.45,-,116.17,-,-,-
7,Prepaid Expenses,-,-,-,5.32,-,-,-,5.48,-,-,-,-,-,-,-,-,-,-,-
8,Other Current Assets,64.47,44.17,48.26,26.93,43.13,42.6,41.55,27.22,44.26,39.54,45.11,28.67,28.91,32.13,-,40.33,-,-,-
9,Total Current Assets,966.3,949.28,990.26,650.98,557.66,558.64,545.64,669.58,628.78,630.27,618.19,593.43,602.45,380.9,-,333.13,-,-,-
10,"Property, Plant & Equipment",1147,994.07,954.69,963.27,971.25,912.89,794.66,745.58,696.69,653.36,661.61,651.47,574.69,565.32,-,543.74,-,-,-
11,Long-Term Investments,9.93,31.45,51.03,50.78,51.88,51.91,63.44,52.05,52.44,22.44,22.44,22.44,22.09,22.09,-,22.09,-,-,-
