,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,697,505,660,670,724,702,654,692,484,495,-
1,Market Cap Growth,-24.60%,-24.60%,-8.82%,-4.55%,10.57%,1.54%,35.16%,39.78%,-,-,-
2,Enterprise Value,563,344,509,483,632,632,579,548,419,583,-
3,Last Close Price,1.31,0.92,1.11,1.11,1.10,1.05,0.90,0.93,0.60,0.60,-
4,PE Ratio,7.09,5.14,8.24,6.15,5.70,5.01,5.50,5.64,3.74,4.83,-
5,PS Ratio,0.62,0.45,0.63,0.62,0.57,0.48,0.47,0.53,0.39,0.44,-
6,PB Ratio,0.84,0.61,0.79,0.85,0.86,0.87,0.77,0.91,0.62,0.75,-
7,P/TBV Ratio,0.63,0.63,0.82,0.88,0.89,0.90,0.80,0.95,0.64,0.79,-
8,P/FCF Ratio,15.25,11.06,-91.66,-,3.57,27.33,-173.94,-,3.23,3.18,-
9,P/OCF Ratio,4.77,4.77,5.88,2.56,2.69,5.04,5.63,4.83,2.50,2.62,-
10,EV/Sales Ratio,0.50,0.31,0.49,0.45,0.50,0.43,0.42,0.42,0.34,0.51,-
11,EV/EBITDA Ratio,3.29,2.08,3.81,3.31,3.64,3.12,3.00,2.41,1.83,3.37,-
12,EV/EBIT Ratio,4.98,3.08,6.21,5.15,5.24,4.24,4.07,3.05,2.27,4.59,-
13,EV/FCF Ratio,12.33,7.52,-70.75,-,3.12,24.61,-153.96,-,2.80,3.75,-
14,Debt / Equity Ratio,0.12,0.12,0.06,0.13,0.14,0.12,0.11,0.11,0.12,0.20,0.36
15,Debt / FCF Ratio,2.19,2.19,-7.06,-,0.59,3.90,-23.64,-,0.62,0.83,1.75
16,Return on Capital Employed (ROCE),13.41%,13.25%,9.63%,11.72%,14.15%,18.16%,16.58%,23.11%,22.81%,17.65%,16.69%
17,Earnings Yield,14.11%,19.45%,12.14%,16.25%,17.53%,19.96%,18.19%,17.73%,26.72%,20.72%,-
18,FCF Yield,6.56%,9.04%,-1.09%,20.67%,27.99%,3.66%,-0.57%,12.45%,30.92%,31.41%,-
19,Dividend Yield,8.40%,11.92%,9.00%,11.69%,12.67%,13.34%,14.47%,14.99%,23.33%,3.33%,-
20,Buyback Yield / Dilution,-,-,-,-,-,0.01%,-2.10%,-33.32%,-30.61%,-,
21,Total Shareholder Return,8.40%,11.92%,9.00%,11.69%,12.67%,13.34%,14.48%,12.88%,-9.99%,-27.28%,-
