,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,3506,3597,3820,3828,4220,4128,4319,5590,4246,5038
1,Revenue Growth (YoY),-8.23%,-6.03%,-9.49%,-7.28%,-2.28%,-26.14%,1.72%,10.94%,0.10%,30.90%
2,"Selling, General & Admin",222.43,355.9,293.14,353.65,263.68,383.66,244.91,309.93,240.91,285.46
3,Other Operating Expenses,2663,2832,2733,2953,3098,2959,2852,3883,2706,3486
4,Total Operating Expenses,2886,3188,3026,3307,3362,3342,3097,4193,2947,3771
5,Operating Income,619.97,408.69,794.25,521.1,858.68,786.04,1222,1396,1299,1267
6,Interest Expense,-410.49,-426.57,-398.26,-373.54,-367.46,-340.08,-307.05,-281.89,-261.68,-221.17
7,Interest Income,-,23.11,-,21.92,-,23.1,-,17.45,-,16.15
8,Net Interest Expense,-410.49,-403.46,-398.26,-351.63,-367.46,-316.98,-307.05,-264.44,-261.68,-205.03
9,Income (Loss) on Equity Investments,-2.42,8.54,-6.87,-9.53,-1.52,50.28,7.79,-8.36,-11.11,8.05
10,Other Non-Operating Income (Expenses),0.03,-79.85,-6.72,-80.82,-27.8,-43.67,-51.45,-7.55,0.01,-
11,EBT Excluding Unusual Items,207.09,-66.07,382.4,79.13,461.9,475.68,871.45,1116,1026,1070
12,Impairment of Goodwill,-,-,-,-14.47,-,-,-,-,-,-
13,Gain (Loss) on Sale of Investments,-,-,-,20.92,-,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,-,0.04,-,-21.78,-,1.47,-,0.38,-,-0.85
15,Asset Writedown,-,-655.65,-,-15.53,-,-,-,-216.72,-,-
16,Other Unusual Items,-2.11,-23.34,-12.94,-13.32,-2.64,-,-,-,-,-
17,Pretax Income,204.97,-745.03,369.46,34.95,459.26,477.15,871.45,899.7,1026,1069
18,Income Tax Expense,70.37,-148.69,111.23,77.07,88.08,65.96,162.61,213.6,199.28,248.18
19,Earnings From Continuing Ops.,134.61,-596.35,258.23,-42.13,371.18,411.19,708.84,686.1,827.21,820.74
20,Minority Interest in Earnings,9.32,30.77,5.63,10.46,0.7,-2.83,-6.81,-5.78,-5,-12.45
21,Net Income,143.93,-565.57,263.86,-31.67,371.87,408.36,702.03,680.32,822.21,808.29
22,Net Income to Common,143.93,-565.57,263.86,-31.67,371.87,408.36,702.03,680.32,822.21,808.29
23,Net Income Growth,-45.45%,-,-29.04%,-,-47.03%,-39.98%,-14.62%,-15.83%,1.11%,18.84%
24,Shares Outstanding (Basic),2066,2066,2066,2066,2066,2066,2066,2066,2066,2066
25,Shares Outstanding (Diluted),2066,2066,2066,2066,2066,2066,2066,2066,2066,2066
26,EPS (Basic),0.07,-0.27,0.13,-0.02,0.18,0.20,0.34,0.33,0.40,0.39
27,EPS (Diluted),0.07,-0.27,0.13,-0.02,0.18,0.20,0.34,0.33,0.40,0.39
28,EPS Growth,-45.45%,-,-29.04%,-,-47.03%,-39.98%,-14.62%,-15.83%,1.11%,18.84%
29,Free Cash Flow,856.78,-136.83,-494.73,80.85,-1092,-270.23,-573.42,-451.34,-1197,-211.11
30,Free Cash Flow Per Share,0.41,-0.07,-0.24,0.04,-0.53,-0.13,-0.28,-0.22,-0.58,-0.10
31,Dividend Per Share,0.014,-,0.025,-,0.036,0.040,0.070,0.070,0.080,0.080
32,Dividend Growth,-44.00%,-,-30.56%,-,-48.57%,-42.86%,-12.50%,-12.50%,0%,23.08%
33,Profit Margin,4.11%,-15.72%,6.91%,-0.83%,8.81%,9.89%,16.26%,12.17%,19.36%,16.04%
34,Free Cash Flow Margin,24.44%,-3.80%,-12.95%,2.11%,-25.88%,-6.55%,-13.28%,-8.07%,-28.19%,-4.19%
35,EBITDA,1091,879.47,1266,966.29,1316,1162,1573,1703,1569,1476
36,D&A For EBITDA,471.47,470.77,471.39,445.19,457.1,376.39,350.78,306.94,270,209.44
37,EBIT,619.97,408.69,794.25,521.1,858.68,786.04,1222,1396,1299,1267
