,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1488,1508,2686,2727,4359,4463,6054,6116,7066,6302,8719
1,Market Cap Growth,-44.70%,-44.70%,-38.39%,-38.89%,-27.99%,-27.03%,-14.33%,-2.95%,-18.96%,-39.96%,-24.24%
2,Enterprise Value,22223,22621,22532,21906,23553,22938,23066,20893,18580,15403,15530
3,PE Ratio,-,-3.58,-,11.75,-,5.72,5.45,4.42,4.70,3.86,5.38
4,PS Ratio,0.21,0.21,0.36,0.36,0.54,0.53,0.72,0.62,0.72,0.68,0.94
5,PB Ratio,0.13,0.12,0.22,0.20,0.32,0.31,0.43,0.44,0.55,0.57,0.82
6,P/FCF Ratio,2.07,2.09,-,-,-4.31,-,-,-,-,-,-
7,P/OCF Ratio,1.48,1.48,-21.38,-,-10.38,-,14.19,17.19,-7.96,-,-63.31
8,EV/Sales Ratio,3.13,3.18,3.04,2.86,2.93,2.75,2.73,2.11,1.89,1.66,1.67
9,EV/EBITDA Ratio,11.11,11.48,10.50,9.81,10.32,9.26,8.43,6.38,5.68,5.06,5.47
10,EV/EBIT Ratio,21.48,21.99,18.73,16.65,17.07,13.95,11.49,7.98,6.89,6.00,6.31
11,EV/FCF Ratio,30.87,31.42,-,-,-23.29,-,-,-,-,-,-
12,Debt / Equity Ratio,1.80,1.80,1.87,1.60,1.53,1.50,1.45,1.38,1.32,1.23,1.09
13,Debt / FCF Ratio,31.22,31.22,-,-,-20.53,-,-,-,-,-,-
14,Return on Capital Employed (ROCE),3.59%,3.59%,4.49%,4.18%,4.58%,5.17%,6.30%,8.43%,9.32%,10.90%,11.62%
15,Earnings Yield,-28.34%,-27.96%,-11.23%,8.51%,7.80%,17.48%,18.34%,22.60%,21.26%,25.87%,18.60%
16,Earnings Yield,-28.34%,-27.96%,-11.23%,8.51%,7.80%,17.48%,18.34%,22.60%,21.26%,25.87%,18.60%
17,FCF Yield,48.40%,47.73%,-23.51%,-15.18%,-23.20%,-30.53%,-13.94%,-16.76%,-23.33%,-22.35%,-8.02%
18,Dividend Yield,1.94%,1.96%,-,1.99%,-,3.79%,4.12%,5.32%,5.05%,6.19%,4.59%
19,Total Shareholder Return,1.94%,1.96%,-,1.99%,-,3.79%,4.12%,5.32%,5.05%,6.19%,4.59%
