,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,133.84,255.37,132.34,221.74,218.05,249.16,-
1,Short-Term Investments,23.62,19.83,19.27,15.17,12.81,9.39,-
2,Cash & Short-Term Investments,157.46,275.2,151.61,236.91,230.86,258.55,-
3,Cash Growth,3.86%,16.16%,-34.33%,-8.37%,-,-,-
4,Accounts Receivable,697.25,638.9,655.48,567.43,485.59,394.18,-
5,Other Receivables,25.41,17.92,16.8,15.36,8.45,18.16,-
6,Receivables,722.67,656.82,672.27,582.79,494.03,412.33,-
7,Inventory,41.39,43.05,40.33,40.03,51.72,51.82,-
8,Prepaid Expenses,-,-,32.9,-,25.61,-,-
9,Restricted Cash,0.92,0.35,0.67,0.67,0.67,-,-
10,Other Current Assets,52.47,41.18,10.45,38.49,14.71,53.08,-
11,Total Current Assets,974.9,1017,908.23,898.89,817.59,775.79,-
12,"Property, Plant & Equipment",130.88,46.46,38.93,42.46,32.77,30.25,-
13,Long-Term Investments,24.77,20.71,22.17,19.77,17.69,24.12,-
14,Goodwill,212.07,188.91,188.91,188.91,185.73,76.73,-
15,Other Intangible Assets,81.2,84.59,88.5,91.57,91,37.47,-
16,Long-Term Deferred Tax Assets,17.81,19.56,13.72,13.14,7.74,8.44,-
17,Long-Term Deferred Charges,13.71,13.98,12.26,11.82,7.08,8.65,-
18,Other Long-Term Assets,3.68,4.32,5.47,4.22,4.19,2.56,-
19,Total Assets,1459,1395,1278,1271,1164,964.01,-
20,Accounts Payable,289.8,292.66,262.54,258.89,198.93,180.79,-
21,Accrued Expenses,93.88,136.62,112.53,126.27,84.08,110.6,-
22,Short-Term Debt,6.5,9.26,3.7,-,-,-,-
23,Current Portion of Leases,17.11,5.97,2.92,4.15,3.64,3.85,-
24,Current Income Taxes Payable,3.59,4.51,6.18,8.16,9.44,5.21,-
25,Current Unearned Revenue,252.9,280.58,206.94,228.6,169.5,194.63,-
26,Other Current Liabilities,199.91,144.95,156.07,139.82,223.76,191.31,-
27,Total Current Liabilities,863.7,874.56,750.88,765.9,689.34,686.39,-
28,Long-Term Leases,75.02,9.5,2.89,4.03,5.26,6.52,-
29,Long-Term Unearned Revenue,6.45,-,-,-,-,-,-
30,Long-Term Deferred Tax Liabilities,12.55,16.64,15.8,15.19,15.55,9.04,-
31,Other Long-Term Liabilities,1,1,2,2,2,4,-
32,Total Liabilities,958.72,901.69,771.57,787.11,712.15,705.96,-
33,Common Stock,66.99,66.99,66.99,66.99,66.99,50,-
34,Additional Paid-In Capital,107.85,107.85,107.85,107.85,109.29,-,-
35,Retained Earnings,219.41,238.2,251.3,228.61,201.52,146.14,-
36,Comprehensive Income & Other,82.22,59.24,59.09,59.09,53.08,53.08,-
37,Total Common Equity,476.47,472.28,485.23,462.54,430.89,249.22,-
38,Minority Interest,23.83,21.16,21.38,21.12,20.77,8.83,-
39,Shareholders' Equity,500.3,493.44,506.61,483.66,451.65,258.05,-
40,Total Liabilities & Equity,1459,1395,1278,1271,1164,964.01,-
41,Total Debt,98.63,24.72,9.5,8.18,8.9,10.37,-
42,Net Cash (Debt),58.82,250.48,142.11,228.74,221.95,248.18,-
43,Net Cash Growth,-58.61%,9.50%,-35.97%,-7.83%,-,-,-
44,Net Cash Per Share,0.88,3.74,2.12,3.42,3.96,4.96,-
45,Filing Date Shares Outstanding,66.99,66.99,66.99,66.99,66.99,50,50
46,Total Common Shares Outstanding,66.99,66.99,66.99,66.99,66.99,50,50
47,Working Capital,111.2,142.04,157.35,133,128.25,89.4,-
48,Book Value Per Share,7.11,7.05,7.24,6.90,6.43,4.98,-
49,Tangible Book Value,183.21,198.78,207.83,182.07,154.15,135.02,-
50,Tangible Book Value Per Share,2.73,2.97,3.10,2.72,2.30,2.70,-
51,Buildings,-,0.64,-,0.64,-,0.64,-
52,Machinery,-,45.74,-,40.92,-,32.69,-
53,Leasehold Improvements,-,30.15,-,24.22,-,6.33,-
