,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,769.88,777.43,727.74,743.06,606.36,655.65,537.78
1,Revenue Growth (YoY),5.79%,4.63%,20.02%,13.33%,12.75%,-,-
2,Cost of Revenue,644.12,693.24,596.49,610.27,460.63,481.81,402.69
3,Gross Profit,125.76,84.2,131.24,132.79,145.72,173.83,135.09
4,"Selling, General & Admin",98.19,98.58,102.22,95.13,85.44,89.61,77.45
5,Other Operating Expenses,2.14,-6.5,-0.65,-10.35,-8.58,-12.73,3.18
6,Operating Expenses,100.33,101.29,101.57,108.22,76.86,80.35,80.62
7,Operating Income,25.43,-17.1,29.67,24.57,68.86,93.48,54.47
8,Interest Expense,-3.92,-0.6,-3.56,-0.15,-0.39,-0.42,-0.62
9,Interest & Investment Income,0.6,0.38,0.44,0.11,0.18,0.16,0.17
10,Earnings From Equity Investments,5.16,4,3.51,3.36,3.57,2.53,4.64
11,Currency Exchange Gain (Loss),-,-0.29,-,6.35,-,-0.05,0.05
12,Other Non Operating Income (Expenses),-,-0.04,-,-0.64,-,-0.05,-
13,EBT Excluding Unusual Items,27.26,-13.65,30.06,33.61,72.22,95.65,58.71
14,Merger & Restructuring Charges,-,-,-,-,-0.77,-,-
15,Gain (Loss) on Sale of Investments,-,-,-,3.17,-,-,-
16,Gain (Loss) on Sale of Assets,-,0.04,-,-0.24,-,-0.32,-
17,Other Unusual Items,-,-,-,-,-,-3.77,3.77
18,Pretax Income,27.26,-13.61,30.06,36.55,71.46,91.56,62.48
19,Income Tax Expense,2.06,-2.34,5.14,-0.35,16.4,10.08,13.56
20,Earnings From Continuing Operations,25.2,-11.27,24.91,36.9,55.06,81.48,48.92
21,Minority Interest in Earnings,-1.26,-1.74,-0.45,-2.4,-1.04,-0.63,-1.05
22,Net Income,23.94,-13.01,24.46,34.5,54.02,80.85,47.87
23,Net Income to Common,23.94,-13.01,24.46,34.5,54.02,80.85,47.87
24,Net Income Growth,-2.12%,-,-54.72%,-57.33%,12.84%,-,-
25,Shares Outstanding (Basic),67,67,67,67,56,50,50
26,Shares Outstanding (Diluted),67,67,67,67,56,50,50
27,Shares Change (YoY),-,0.14%,19.51%,33.79%,12.11%,-,-
28,EPS (Basic),0.36,-0.19,0.37,0.52,0.96,1.62,0.96
29,EPS (Diluted),0.36,-0.20,0.37,0.52,0.96,1.61,0.96
30,EPS Growth,-2.12%,-,-62.11%,-68.02%,0.66%,-,-
31,Free Cash Flow,-94.9,133.96,-72.83,85.45,-81.07,208.14,-86.39
32,Free Cash Flow Per Share,-1.42,2.00,-1.09,1.28,-1.45,4.16,-1.73
33,Dividend Per Share,0.036,-,-,-,-,-,-
34,Operating Margin,3.30%,-2.20%,4.08%,3.31%,11.36%,14.26%,10.13%
35,Profit Margin,3.11%,-1.67%,3.36%,4.64%,8.91%,12.33%,8.90%
36,Free Cash Flow Margin,-12.33%,17.23%,-10.01%,11.50%,-13.37%,31.75%,-16.06%
37,EBITDA,35.15,2.29,38.06,41.81,72.1,102.17,56.95
38,D&A For EBITDA,9.72,19.39,8.39,17.24,3.24,8.69,2.49
39,EBIT,25.43,-17.1,29.67,24.57,68.86,93.48,54.47
