,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,531,366,455,516,523,705,-,-
1,Market Cap Growth,-29.00%,-29.00%,-12.95%,-26.81%,-,-,-,-
2,Enterprise Value,493,114,324,283,287,411,-,-
3,Last Close Price,7.92,5.44,6.72,7.62,7.56,10.20,-,-
4,PE Ratio,27.07,31.18,-,8.10,5.22,4.46,-,-
5,PS Ratio,0.32,0.22,0.27,0.32,0.34,0.48,-,-
6,PB Ratio,1.04,0.68,0.84,0.94,0.96,1.33,-,-
7,P/TBV Ratio,1.86,1.86,2.08,2.30,2.54,3.90,-,-
8,P/FCF Ratio,22.41,-,6.75,-,105.60,-,-,-
9,P/OCF Ratio,10.45,-,5.53,-,16.76,-,-,-
10,EV/Sales Ratio,0.30,0.07,0.20,0.18,0.19,0.28,-,-
11,EV/EBITDA Ratio,7.88,2.82,7.30,3.28,2.23,2.01,-,-
12,EV/EBIT Ratio,20.42,12.69,-,4.82,2.72,2.16,-,-
13,EV/FCF Ratio,20.82,-,4.82,-,57.97,-,-,-
14,Debt / Equity Ratio,0.20,0.20,0.05,0.02,0.02,0.02,0.04,-
15,Debt / FCF Ratio,4.48,-,0.40,-,1.87,-,0.09,-
16,Return on Capital Employed (ROCE),2.24%,1.40%,-,10.29%,18.51%,34.22%,53.29%,-
17,Earnings Yield,3.74%,3.21%,2.77%,12.35%,19.15%,22.42%,-,-
18,FCF Yield,4.46%,11.46%,14.80%,2.64%,0.95%,21.12%,-,-
19,Dividend Yield,0.99%,0.71%,-,-,-,-,-,-
20,Buyback Yield / Dilution,-0.07%,-,-0.14%,-19.51%,-33.79%,-12.11%,-,-
21,Total Shareholder Return,0.92%,0.71%,-0.14%,-19.51%,-33.79%,-12.11%,-,-
