,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1865,2084,2450,4205,4022,4717,5156,6595,4895,4795,4732,Upgrade
1,Market Cap Growth,-50.43%,-50.43%,-39.09%,-10.85%,-21.99%,-28.47%,5.33%,37.53%,3.44%,0%,0.10%,Upgrade
2,Enterprise Value,1769,1791,2379,4249,4030,4691,4947,6461,4814,4600,4548,Upgrade
3,Last Close Price,0.51,0.57,0.67,1.15,1.10,1.29,1.41,1.80,1.41,1.52,1.50,Upgrade
4,PE Ratio,-,-,-,15.43,-,-,-,-,-,235.85,-,Upgrade
5,Forward PE,-,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,Upgrade
6,PS Ratio,34.08,38.09,1.84,3.02,295.09,222.49,32.56,43.46,-,9.74,-,Upgrade
7,PB Ratio,1.40,1.57,1.69,2.53,3.03,3.13,3.11,3.70,3.38,4.25,4.19,Upgrade
8,P/TBV Ratio,2.02,2.02,2.11,2.82,3.40,3.83,3.83,4.29,4.07,5.24,4.73,Upgrade
9,P/FCF Ratio,2351.58,-,6.75,48.31,-,-60.28,-,-,-,-,-,Upgrade
10,P/OCF Ratio,972.10,-,6.72,48.26,-,-60.42,-,-,-,-,-,Upgrade
11,EV/Sales Ratio,32.32,32.73,-,3.05,-,221.29,31.24,42.58,-,9.35,-,Upgrade
12,EV/EBITDA Ratio,-,-,-,7.12,-,-,-,-,-,109.47,-,Upgrade
13,EV/EBIT Ratio,-,-,-,7.10,-,-,-,-,-,119.08,-,Upgrade
14,EV/FCF Ratio,2230.23,-,6.56,48.82,-,-59.95,-,-,-,-,-,Upgrade
15,Debt / Equity Ratio,0.01,0.01,0.01,0.05,0.10,0.04,0.08,0.07,0.05,0.11,0.08,Upgrade
16,Debt / FCF Ratio,14.10,-,0.05,1.02,-,-0.71,-,-,-,-,-,Upgrade
17,Return on Capital Employed (ROCE),-,-,-,35.60%,-,-,-,-,-,3.39%,-,Upgrade
18,Earnings Yield,-17.73%,-15.87%,6.50%,6.48%,-5.51%,-4.92%,-4.57%,-1.47%,-,0.42%,-,Upgrade
19,FCF Yield,0.04%,0.04%,14.82%,2.07%,-1.16%,-1.66%,-9.11%,-5.46%,-,-2.54%,-,Upgrade
20,Buyback Yield / Dilution,-,-,-,1.02%,-4.41%,-,-11.01%,-,-3.34%,-,Upgrade,
21,Total Shareholder Return,-,-,-,1.02%,-4.41%,-,-11.01%,-,-3.34%,-,Upgrade,
