,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,102.22,310.15,159.32,53.63,46.73,115.37,252.37,142.14,162.23,256.2,Upgrade
1,Short-Term Investments,5.19,0.91,-,0.67,0.8,44.56,85.52,63.21,40.13,25.96,Upgrade
2,Trading Asset Securities,-,-,0.06,0.07,0.04,3.41,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,107.41,311.05,159.37,54.37,47.57,163.34,337.89,205.35,202.35,282.17,Upgrade
4,Cash Growth,-32.60%,472.13%,235.06%,-66.71%,-85.92%,-20.46%,66.98%,-27.22%,-31.90%,75.57%,Upgrade
5,Accounts Receivable,167.9,83.19,519.74,72.83,123.8,147.47,201.71,116.88,60.67,111.59,Upgrade
6,Other Receivables,36.61,48.84,103.56,154.56,23.66,97.12,111.8,38.29,134.1,19.93,Upgrade
7,Receivables,223.41,150.93,651.43,255.52,224.66,447.06,486.07,280.07,194.77,131.52,Upgrade
8,Prepaid Expenses,7.31,10.67,-,39.44,40.68,-,-,-,-,-,Upgrade
9,Other Current Assets,1026,1040,875.95,1158,1062,728.01,671.09,540.15,471.22,803.51,Upgrade
10,Total Current Assets,1364,1513,1687,1507,1375,1338,1495,1026,868.34,1217,Upgrade
11,"Property, Plant & Equipment",11.83,18.98,22.8,30.07,37.52,23.41,13.36,22.74,31.53,40.67,Upgrade
12,Other Intangible Assets,298.62,294.98,168.87,144.89,274.59,309.71,242.03,243.06,212.31,129.73,Upgrade
13,Long-Term Deferred Tax Assets,0.47,0.42,-,-,-,-,-,-,-,-,Upgrade
14,Other Long-Term Assets,391.98,407.24,478,528.42,538.53,590.17,482.56,454.22,413.32,467.91,Upgrade
15,Total Assets,2067,2234,2356,2210,2225,2262,2233,1746,1525,1856,Upgrade
16,Accounts Payable,107.67,110,108.49,117.85,157.39,165.32,131.63,58.49,53.91,67.85,Upgrade
17,Accrued Expenses,1.61,13.79,1.92,2.83,2.6,10.67,9.61,10.56,6.94,15.7,Upgrade
18,Short-Term Debt,-,-,65.8,108.45,18.55,115.42,116.49,50.04,92.85,50,Upgrade
19,Current Portion of Leases,11.18,14.32,12.77,12.72,12.69,9.06,12.81,17.06,16.3,15.9,Upgrade
20,Current Income Taxes Payable,41.95,50.74,80.35,30.9,32.05,34.73,33.71,33.9,51.02,76.64,Upgrade
21,Current Unearned Revenue,1.13,1.15,27.67,30.05,31.67,31.47,0.42,0.42,44.81,279.25,Upgrade
22,Other Current Liabilities,571.89,587.13,378.13,549.79,427.41,211.63,148.26,124.49,119.74,198.95,Upgrade
23,Total Current Liabilities,735.43,777.13,675.11,852.59,682.37,578.3,452.93,294.96,385.57,704.28,Upgrade
24,Long-Term Leases,-,3.55,10.27,17.19,24.11,13.45,-,4.22,12.42,21,Upgrade
25,Long-Term Deferred Tax Liabilities,-,-,11.58,12.11,14.04,14.68,-,-,-,-,Upgrade
26,Total Liabilities,735.43,780.68,696.96,881.9,720.52,606.43,452.93,299.18,397.98,725.28,Upgrade
27,Common Stock,36.57,36.57,36.57,36.57,36.57,36.57,36.77,34.73,31.55,31.55,Upgrade
28,Additional Paid-In Capital,3507,3507,3507,3507,3507,3507,3542,3103,2631,2631,Upgrade
29,Retained Earnings,-2130,-2142,-84.87,-2301,-2173,-2079,-1941,-1844,-1587,-1607,Upgrade
30,Treasury Stock,-,-,-,-,-,-,-23.57,-1.61,-,-,Upgrade
31,Comprehensive Income & Other,-82.29,52.49,-1799,86.49,134.44,191.51,165.97,154.44,51.98,75.03,Upgrade
32,Total Common Equity,1331,1454,1659,1328,1505,1655,1780,1446,1128,1130,Upgrade
33,Shareholders' Equity,1331,1454,1659,1328,1505,1655,1780,1446,1128,1130,Upgrade
34,Total Liabilities & Equity,2067,2234,2356,2210,2225,2262,2233,1746,1525,1856,Upgrade
35,Total Debt,11.18,17.87,88.84,138.36,55.35,137.93,129.29,71.31,121.56,86.89,Upgrade
36,Net Cash (Debt),96.23,293.18,70.54,-84,-7.79,25.41,208.59,134.04,80.79,195.27,Upgrade
37,Net Cash Growth,36.42%,-,-,-,-,-81.04%,158.19%,-31.36%,-56.05%,-,Upgrade
38,Net Cash Per Share,0.03,0.08,0.02,-0.02,-0.00,0.01,0.06,-,0.03,-,Upgrade
39,Filing Date Shares Outstanding,3656,3656,3656,3656,3656,3656,3664,3471,3155,3155,Upgrade
40,Total Common Shares Outstanding,3656,3656,3656,3656,3656,3656,3664,3471,3155,3155,Upgrade
41,Working Capital,628.47,735.5,1012,654.37,692.14,760.11,1042,730.62,482.78,512.92,Upgrade
42,Book Value Per Share,0.36,0.40,0.45,0.36,0.41,0.45,0.49,0.42,0.36,0.36,Upgrade
43,Tangible Book Value,1033,1159,1491,1184,1230,1346,1538,1203,915.21,1000,Upgrade
44,Tangible Book Value Per Share,0.28,0.32,0.41,0.32,0.34,0.37,0.42,0.35,0.29,0.32,Upgrade
45,Machinery,-,8.16,-,7.42,-,7.8,-,7.78,-,7.1,Upgrade
46,Leasehold Improvements,-,4.74,-,4.81,-,5.01,-,5.5,-,5.33,Upgrade
