,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,108.89,109.31,105.76,100.76,72.65,108.26,102.17,118.85,118.69,95.47,Upgrade
1,Trading Asset Securities,3.31,0.42,1.37,14.03,10.94,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,112.2,109.73,107.13,114.79,83.59,108.26,102.17,118.85,118.69,95.47,Upgrade
3,Cash Growth,4.73%,-4.41%,28.16%,6.03%,-18.18%,-8.91%,-13.92%,24.48%,49.16%,14.52%,Upgrade
4,Accounts Receivable,10.61,11.38,13.68,20.38,12.56,13.26,14.81,14.82,11.19,14.3,Upgrade
5,Other Receivables,35.85,27.59,21.08,14.46,11.82,10.69,11.25,12,5.56,9.46,Upgrade
6,Receivables,49.01,41.6,37.51,37.63,35.87,29.8,32.2,35.84,16.74,38.24,Upgrade
7,Inventory,19.57,20.26,18.92,23.15,20.61,20.93,22.19,23.11,24.39,20.72,Upgrade
8,Total Current Assets,180.78,171.58,163.56,175.56,140.07,159,156.56,177.8,159.82,154.43,Upgrade
9,"Property, Plant & Equipment",44.83,43.89,42.15,40.08,37.61,44.03,44.47,38.89,36.41,31.81,Upgrade
10,Other Long-Term Assets,22.83,26.95,11.67,8.31,13.39,7.17,-,-,-,-,Upgrade
11,Total Assets,248.44,242.42,217.37,223.95,191.06,210.19,201.03,216.68,196.24,186.24,Upgrade
12,Accounts Payable,2.4,3.31,3.89,7.87,3.73,3.22,3.37,4.19,2.9,5.93,Upgrade
13,Short-Term Debt,-,-,-,-,3.5,-,-,7.87,11.96,8.62,Upgrade
14,Current Portion of Leases,3.56,3.2,2.93,3.09,2.49,2.73,1.84,2.67,3.08,2.18,Upgrade
15,Current Income Taxes Payable,0.47,0.04,0.9,0.06,0.03,0.03,0.03,0.03,0.03,0.09,Upgrade
16,Current Unearned Revenue,21.61,25.92,22.04,31.4,15.3,24.1,22.03,24.97,11.03,22.1,Upgrade
17,Other Current Liabilities,39.29,41.47,44.18,45,36.32,44.45,48.24,51.52,47.5,41.87,Upgrade
18,Total Current Liabilities,67.34,73.93,73.94,87.41,61.36,74.52,75.51,91.25,76.5,80.79,Upgrade
19,Long-Term Leases,3.69,3.07,2.54,1.92,1.29,2.39,1.23,1.75,1.74,1.89,Upgrade
20,Total Liabilities,71.03,77,76.48,89.36,62.65,76.91,88.44,109.02,130.16,133.42,Upgrade
21,Common Stock,31.25,31.25,26.04,26.04,26.04,26.04,21.7,21.7,21.7,21.7,Upgrade
22,Additional Paid-In Capital,816.41,816.41,806.74,806.74,806.74,806.74,799.32,799.32,799.32,799.32,Upgrade
23,Retained Earnings,-1640,-1651,-1663,-1669,-1664,-1669,-1690,-1693,-1729,-1736,Upgrade
24,Comprehensive Income & Other,969.32,968.96,971.2,970.59,960.13,969.19,981.57,979.99,974.21,967.85,Upgrade
25,Total Common Equity,177.41,165.41,140.89,134.59,128.42,133.28,112.59,107.66,66.07,52.82,Upgrade
26,Shareholders' Equity,177.41,165.41,140.89,134.59,128.42,133.28,112.59,107.66,66.07,52.82,Upgrade
27,Total Liabilities & Equity,248.44,242.42,217.37,223.95,191.06,210.19,201.03,216.68,196.24,186.24,Upgrade
28,Total Debt,7.25,6.27,5.47,5.01,7.27,5.12,3.07,12.3,16.79,12.69,Upgrade
29,Net Cash (Debt),104.95,103.45,101.65,109.78,76.32,103.14,99.1,106.55,101.9,82.78,Upgrade
30,Net Cash Growth,3.24%,-5.76%,33.20%,6.44%,-22.99%,-3.20%,-2.75%,28.71%,44.24%,8.22%,Upgrade
31,Net Cash Per Share,0.34,0.39,0.39,0.42,0.29,0.46,0.46,0.49,0.47,0.41,Upgrade
32,Filing Date Shares Outstanding,312.53,312.53,260.44,260.44,260.44,260.44,217.04,217.04,217.04,217.04,Upgrade
33,Total Common Shares Outstanding,312.53,312.53,260.44,260.44,260.44,260.44,217.04,217.04,217.04,217.04,Upgrade
34,Working Capital,113.44,97.64,89.61,88.15,78.71,84.48,81.05,86.55,83.33,73.64,Upgrade
35,Book Value Per Share,0.57,0.53,0.54,0.52,0.49,0.51,0.52,0.50,0.30,0.24,Upgrade
36,Tangible Book Value,177.41,165.41,140.89,134.59,128.42,133.28,112.59,107.66,66.07,52.82,Upgrade
37,Tangible Book Value Per Share,0.57,0.53,0.54,0.52,0.49,0.51,0.52,0.50,0.30,0.24,Upgrade
38,Land,-,14.37,-,14.49,-,19.64,-,15.6,-,14.19,Upgrade
39,Machinery,-,169.4,-,312.31,-,291.1,-,316.37,-,273.16,Upgrade
