,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Revenue,72.33,68.72,83.56,75.75,52.99,64.89,62.87,72.08,66.99,69.5,Upgrade
1,Revenue Growth (YoY),-13.44%,-9.28%,57.69%,16.74%,-15.71%,-9.98%,-6.15%,3.71%,-13.49%,-2.95%,Upgrade
2,Cost of Revenue,28.41,26.06,32.7,35.13,22.85,28.26,26.44,28,27.78,30.3,Upgrade
3,Gross Profit,43.92,42.65,50.86,40.61,30.14,36.63,36.43,44.08,39.22,39.2,Upgrade
4,"Selling, General & Admin",34.7,47.89,34,46.08,28.92,36.33,34.06,42.57,34.93,50.28,Upgrade
5,Research & Development,-,-,-,-,-,-,-,-,-,-1.16,Upgrade
6,Operating Expenses,34.7,47.89,34,46.08,28.92,36.33,34.06,42.57,34.93,49.12,Upgrade
7,Operating Income,9.22,-5.23,16.87,-5.46,1.22,0.29,2.37,1.51,4.29,-9.91,Upgrade
8,Interest Expense,-0.23,-0.21,-0.29,-1.26,-0.04,-0.28,-0.35,-0.67,-0.44,-0.47,Upgrade
9,Interest & Investment Income,-,3.37,-,1.21,-,1.13,-,0.81,-,2.69,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-1.32,-,-1.98,-,-1.26,-,-0.4,Upgrade
11,Other Non Operating Income (Expenses),2.71,0.29,2.53,3.74,-0.09,2.3,1.53,-0.11,3.22,2.88,Upgrade
12,EBT Excluding Unusual Items,11.7,-1.78,19.1,-3.08,1.09,1.47,3.55,0.28,7.08,-5.21,Upgrade
13,Gain (Loss) on Sale of Investments,0.29,-0.77,-12.33,8.61,3.15,-,-,-,-,-,Upgrade
14,Asset Writedown,-,-0.43,-,-,-,-,-,-,-,-,Upgrade
15,Other Unusual Items,-,0.02,-,-0.13,-,-,-,-,-,-,Upgrade
16,Pretax Income,11.99,-2.97,6.78,5.4,4.25,1.47,3.55,0.28,7.08,-5.21,Upgrade
17,Income Tax Expense,0.35,-3.01,1.1,-0.09,0.05,0.25,0.21,1.47,0.19,-2.95,Upgrade
18,Earnings From Continuing Operations,11.64,0.04,5.68,5.5,4.2,1.22,3.34,-1.2,6.88,-2.26,Upgrade
19,Net Income,11.64,0.04,5.68,5.5,4.2,1.22,3.34,-1.2,6.88,-2.26,Upgrade
20,Net Income to Common,11.64,0.04,5.68,5.5,4.2,1.22,3.34,-1.2,6.88,-2.26,Upgrade
21,Net Income Growth,104.80%,-99.24%,35.32%,350.04%,25.83%,-,-51.53%,-,12.25%,-,Upgrade
22,Shares Outstanding (Basic),313,264,260,260,260,226,217,217,217,202,Upgrade
23,Shares Outstanding (Diluted),313,264,260,260,260,226,217,217,217,202,Upgrade
24,Shares Change (YoY),20.00%,1.53%,-,15.32%,20.00%,4.05%,-,7.47%,10.00%,2.36%,Upgrade
25,EPS (Basic),0.04,0.00,0.02,0.02,0.02,0.01,0.02,-0.01,0.03,-0.01,Upgrade
26,EPS (Diluted),0.04,0.00,0.02,0.02,0.02,0.01,0.02,-0.01,0.03,-0.01,Upgrade
27,EPS Growth,70.67%,-99.25%,35.32%,290.27%,4.86%,-,-51.52%,-,2.04%,-,Upgrade
28,Free Cash Flow,1.3,-10.12,4.89,26.87,-32.73,9.64,-16.25,-9.69,12.86,27.88,Upgrade
29,Free Cash Flow Per Share,0.00,-0.04,0.02,0.10,-0.13,0.04,-0.07,-0.04,0.06,0.14,Upgrade
30,Operating Margin,12.75%,-7.61%,20.18%,-7.21%,2.30%,0.45%,3.77%,2.09%,6.40%,-14.26%,Upgrade
31,Profit Margin,16.09%,0.06%,6.80%,7.25%,7.92%,1.88%,5.31%,-1.66%,10.28%,-3.25%,Upgrade
32,Free Cash Flow Margin,1.80%,-14.73%,5.85%,35.47%,-61.76%,14.85%,-25.85%,-13.44%,19.19%,40.11%,Upgrade
33,EBITDA,14.32,-0.38,21.41,-0.91,4.93,4.18,6.66,4.71,8.33,-6.31,Upgrade
34,D&A For EBITDA,5.09,4.85,4.55,4.55,3.72,3.89,4.29,3.2,4.04,3.6,Upgrade
35,EBIT,9.22,-5.23,16.87,-5.46,1.22,0.29,2.37,1.51,4.29,-9.91,Upgrade
