,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2092,1974,2039,1723,1925,2639,2700,2793,3567,3172,2896,-,-,-,-,-,-
1,Market Cap Growth,-25.19%,-25.19%,-24.47%,-38.32%,-46.02%,-16.81%,-6.79%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1764,1646,1630,1251,1328,2057,2103,2167,2901,2501,3005,-,-,-,-,-,-
3,Last Close Price,10.32,9.74,10.06,8.50,9.43,12.92,13.22,13.67,17.38,15.46,14.11,-,-,-,-,-,-
4,PE Ratio,60.71,55.79,51.33,35.23,41.58,60.58,63.83,61.48,86.46,67.44,59.38,-,-,-,-,-,-
5,Forward PE,30.35,24.51,24.51,24.51,24.51,24.51,26.12,29.96,42.93,37.94,-,-,-,-,-,-,-
6,PS Ratio,2.54,2.34,2.36,2.03,2.40,3.50,3.99,4.39,6.23,5.24,4.54,-,-,-,-,-,-
7,PB Ratio,1.40,1.32,1.36,1.16,1.29,1.78,1.83,1.92,2.45,2.18,-,-,-,-,-,-,-
8,P/TBV Ratio,1.39,1.39,1.43,1.22,1.36,1.88,1.93,2.02,2.59,2.31,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-51.67,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,40.66,19.20,-,16.19,19.36,21.14,27.59,23.30,17.39,-,-,-,-,-,-
11,EV/Sales Ratio,2.09,1.95,1.89,1.47,1.65,2.73,3.11,3.41,5.06,4.13,4.71,-,-,-,-,-,-
12,EV/EBITDA Ratio,17.51,15.93,16.46,12.64,14.44,23.91,33.10,35.27,51.72,-,35.83,-,-,-,-,-,-
13,EV/EBIT Ratio,37.43,34.93,38.09,27.40,30.49,50.70,100.15,106.82,183.40,-,64.87,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-40.27,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.12,0.12,0.12,0.13,0.18,0.17,0.16,0.17,0.19,0.19,-,0.52,0.57,0.59,0.59,-,0.34
16,Debt / EBITDA Ratio,1.83,1.77,1.74,1.44,3.59,2.83,2.20,2.51,5.15,395.15,-,4.38,4.19,5.36,8.22,-,2.09
17,Debt / FCF Ratio,-,-,-,-,-,-5.05,-,-,-,-,-,-4.25,-,-,-,-,-
18,Asset Turnover,-,0.45,0.47,0.38,0.40,0.44,0.39,0.29,-,-,0.41,0.58,0.54,-,-,-,
19,Inventory Turnover,-,-,4.79,5.43,4.67,5.70,5.69,4.70,3.98,-,-,3.45,4.94,4.63,-,-,-
20,Quick Ratio,-,-,1.43,1.54,2.00,2.03,2.46,2.40,2.67,3.10,-,0.73,0.86,0.82,0.82,-,1.66
21,Current Ratio,-,-,2.01,1.99,2.46,2.43,2.83,2.87,3.08,3.59,-,1.17,1.32,1.25,1.25,-,2.41
22,Return on Equity (ROE),0.52%,2.24%,4.89%,1.86%,1.70%,4.78%,4.28%,1.14%,-,-,6.82%,6.03%,4.12%,-,-,-,
23,Return on Assets (ROA),-,1.60%,1.94%,0.69%,1.03%,2.01%,1.74%,0.34%,-,-,1.89%,2.76%,1.81%,-,-,-,
24,Return on Capital (ROIC),1.87%,1.94%,2.30%,0.81%,1.20%,2.32%,2.00%,0.39%,-,-,2.25%,3.20%,2.06%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,2.64%,2.83%,2.67%,2.52%,1.30%,1.26%,0.97%,-,-,4.51%,4.47%,5.49%,4.45%,-,2.33%
26,Earnings Yield,1.69%,1.79%,1.95%,2.84%,2.40%,1.65%,1.57%,1.63%,1.16%,1.48%,1.68%,-,-,-,-,-,-
27,FCF Yield,-,-11.60%,-10.15%,-7.08%,-1.94%,-4.27%,-4.23%,-2.17%,-2.81%,-2.74%,-,-,-,-,-,-,
28,Dividend Yield,0.77%,-,-,-,-,0.62%,-,-,-,0.45%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,16.53%,100.68%,34.15%,31.62%,12.65%,106.77%,59.51%,46.87%,22.08%,36.14%,48.18%,59.17%,59.17%,39.57%,24.14%
30,Buyback Yield / Dilution,-2.70%,-27.94%,18.28%,6.43%,-10.71%,-164.79%,23.33%,-14.67%,-25.58%,52.68%,-95.42%,-4.74%,-6.53%,-,-,-,-
31,Total Shareholder Return,-1.93%,-27.94%,18.28%,6.43%,-10.71%,-164.17%,23.33%,-14.67%,-25.58%,53.13%,-95.42%,-4.74%,-6.53%,-,-,-,-
