,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,512.25,595.5,745.67,855.7,813.09,851.67,896.12,938.49,-,224.58,240.18,248.81,248.81,-,306.87
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,15,0.11,42.18,42.18,-,-
2,Cash & Short-Term Investments,512.25,512.25,595.5,745.67,855.7,813.09,851.67,896.12,938.49,-,239.58,240.29,290.98,290.98,-,306.87
3,Cash Growth,-40.14%,-37.00%,-30.08%,-16.79%,-8.82%,-,255.48%,272.94%,222.52%,-,-,-21.70%,-,-,-,-
4,Accounts Receivable,-,65.99,71.02,56.95,36.77,57.03,31.07,35.69,12.94,-,15.96,29.61,4.89,4.89,-,4.32
5,Other Receivables,-,0,0.03,0.22,0.01,0.02,0.15,0.43,0.12,-,-,-,0.04,0.04,-,-
6,Receivables,-,66,71.04,57.17,36.77,57.05,31.22,36.11,13.06,-,15.96,29.61,4.93,4.93,-,4.32
7,Inventory,-,173.49,157.43,145.25,145.6,110.19,149.33,122.03,135.94,-,131.63,122.78,120.88,120.88,-,100.54
8,Other Current Assets,-,60.35,35.73,40.86,28.91,22.71,21.36,20.58,14.89,-,23.42,22.8,32.19,32.19,-,39.21
9,Total Current Assets,-,812.09,859.69,988.94,1067,1003,1054,1075,1102,-,410.6,415.48,448.99,448.99,-,450.94
10,"Property, Plant & Equipment",-,1121,1068,837.36,823.8,835.24,806.69,784.18,744.12,-,692.6,680.62,654.59,654.59,-,466.01
11,Other Intangible Assets,-,75.96,75.91,76.36,76.81,77.19,77.65,78.11,78.57,-,128.44,128.39,78.9,78.9,-,30.3
12,Long-Term Deferred Tax Assets,-,2.62,2.65,1.91,1.7,0.61,0.25,0.21,1.09,-,0.19,0.35,0.17,0.17,-,0.13
13,Other Long-Term Assets,-,10.75,39.42,130.52,81.22,53.5,42.88,35.35,2.33,-,-,0.63,0.63,0.63,-,-
14,Total Assets,-,2022,2045,2035,2051,1970,1981,1973,1928,-,1232,1225,1183,1183,-,947.38
15,Accounts Payable,-,253.74,279.16,190.38,175.89,192.3,145.79,189.44,80.34,-,159.5,134.19,24.78,24.78,-,30.15
16,Accrued Expenses,-,9.97,11.75,7.82,15.3,8.55,9.47,4.97,12.81,-,5.46,4.71,8.75,8.75,-,4.99
17,Short-Term Debt,-,60.67,43.79,81.76,74.4,47.42,68.67,39.13,40.37,-,104.81,137.76,170.01,170.01,-,56.75
