,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,185.93,233.34,233.98,191.94,192.32,221.58,185.67,142.8,119.04,179.83,123.64,175.32,157.15,157.15,140.19,125.36
1,Other Revenue,-,-5.02,5.02,-,10.95,-5.09,5.09,-,7.61,-3.66,3.66,-,2.58,2.58,-,-
2,Revenue,185.93,228.32,239,191.94,203.27,216.49,190.77,142.8,126.65,176.17,127.3,175.32,159.73,159.73,140.19,125.36
3,Revenue Growth (YoY),-8.53%,5.46%,25.28%,34.42%,60.50%,22.89%,49.85%,-18.55%,-20.71%,10.29%,-9.19%,39.85%,-,-,-,-
4,Cost of Revenue,224.63,197.99,205.54,169.9,182.32,184.64,159.51,128.22,110.06,154.3,109.72,150.47,140.04,140.04,118.51,98.67
5,Gross Profit,-38.7,30.33,33.46,22.05,20.95,31.85,31.25,14.57,16.59,21.87,17.58,24.85,19.69,19.69,21.68,26.69
6,"Selling, General & Admin",-24.09,8.27,7.91,7.91,8.11,7.19,10.97,6.11,7.76,9.28,6.58,6.71,6.62,6.62,6.45,5.83
7,Research & Development,-22.38,7.97,7.6,6.81,4.28,9.06,7.12,5.43,5.83,5.72,4.38,3.09,4,4,3.64,2.52
8,Other Operating Expenses,-3.14,0.54,2.27,0.33,1.63,-1.58,-0.37,-0.78,15.27,-8.9,-1.99,0.39,0.93,0.93,0.41,0.59
