,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,1676,968.91,949.77,-,1907,1037,1023,988.34,1241,1303,1286,1324,1080,1113,950.93,968.77,793.7,687.42,395.26,582.23,Upgrade
1,Other Revenue,-4.04,4.04,-,-,-6.31,6.31,-,11.94,-5.44,5.44,-,9.43,-3.16,3.16,-,1.66,-0.77,0.77,-,3.27,Upgrade
2,Revenue,1672,972.95,949.77,-,1901,1043,1023,1000,1235,1308,1286,1334,1077,1116,950.93,970.43,792.92,688.19,395.26,585.5,Upgrade
3,Revenue Growth (YoY),-12.07%,-6.74%,-7.14%,-,53.90%,-20.24%,-20.47%,-25.01%,14.68%,17.17%,35.24%,37.45%,35.85%,62.21%,140.58%,65.74%,78.25%,65.41%,32.66%,28.10%,Upgrade
4,Cost of Revenue,1296,623.34,635.51,-,1586,696.06,688.42,668.53,860.87,865.18,786.8,821.58,709.36,663.41,583.15,661.35,503.47,399.98,267.55,379.23,Upgrade
5,Gross Profit,376.05,349.6,314.27,-,314.8,347.18,334.33,331.74,374.44,442.79,499.19,512.27,367.85,452.92,367.78,309.08,289.45,288.22,127.71,206.28,Upgrade
6,"Selling, General & Admin",338.5,279.13,263.85,-,356.33,340.99,306.53,304.85,382.99,369.05,405.49,491.78,345.87,342.04,312.09,232.77,251.49,252.49,107.42,188.63,Upgrade
7,Research & Development,16.54,9.55,10.29,-,17.81,12.56,11.03,20.65,15.15,10.72,4.71,11.19,11.29,9.52,8.09,14.56,11.61,7.32,5.38,10.48,Upgrade
8,Other Operating Expenses,-4.38,4.64,-1.74,-,-3.33,-0.34,-12.3,2.82,0.08,3.27,-0.33,0.72,0.94,0.09,-1.14,0.5,-0.82,-1.57,-2.88,-1.61,Upgrade
9,Operating Expenses,355.59,293.53,272.43,-,364.54,352.77,304.47,328.41,397.86,383.55,410.75,503.25,357.99,352.65,317.99,247.15,261.01,258.03,109.89,193.32,Upgrade
10,Operating Income,20.46,56.07,41.84,-,-49.74,-5.6,29.86,3.34,-23.42,59.24,88.44,9.02,9.85,100.27,49.79,61.93,28.44,30.18,17.82,12.96,Upgrade
11,Interest Expense,-56.86,-16.21,-9.14,-,-44.08,-11.13,-9.12,-11.7,-12.56,-8.92,-6.03,-8.73,-4.82,-4.77,-6.73,-11.2,-8.18,-11.95,-11.35,-18.66,Upgrade
12,Interest & Investment Income,25.67,20.86,9.95,-,32.09,14.5,22.35,36.05,26.38,26.56,26.06,30.79,24.96,4.05,3.82,5.54,2.28,17.22,2.84,7.07,Upgrade
13,Currency Exchange Gain (Loss),6.13,-6.13,-,-,-1.29,1.29,-,5.58,-4.38,4.38,-,0.01,-0.15,0.15,-,1.75,-1.04,1.04,-,-0.19,Upgrade
14,Other Non Operating Income (Expenses),17.25,1.18,-2.18,-,24.68,-4.84,4.32,-12.96,10.63,2.2,0.09,-1.81,-0.72,0.13,0.75,-0.32,-0.7,-1.25,0.02,3.91,Upgrade
15,EBT Excluding Unusual Items,12.65,55.78,40.46,-,-38.33,-5.78,47.4,20.3,-3.34,83.46,108.56,29.28,29.12,99.83,47.62,57.7,20.79,35.24,9.34,5.09,Upgrade
16,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-10.72,-,-,-,-27.48,-,-,-,-25.59,Upgrade
17,Gain (Loss) on Sale of Investments,1.59,-5.16,5.56,-,-,0.9,-4.72,-22.92,24.1,3.9,-,15.43,-,-,-,1.48,-,-,-,28.2,Upgrade
18,Gain (Loss) on Sale of Assets,4.45,-3.89,-0.54,-,0.27,-0.08,-,-0.42,0.12,-0.12,-,-1.16,0.55,-0.54,-,-6.64,2.01,-2.2,0,-0.2,Upgrade
19,Asset Writedown,-1.18,-,-,-,5.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Other Unusual Items,-6.17,6.19,-0.02,-,-,-,-,25.54,-3.42,-,-,23.13,-,-,-,5.05,-,-,-,3.05,Upgrade
21,Pretax Income,11.33,52.91,45.46,-,-32.93,-4.96,42.69,22.5,17.46,87.23,108.56,55.95,29.67,99.29,47.62,30.11,22.8,33.04,9.34,10.55,Upgrade
22,Income Tax Expense,3.06,17.43,4.16,-,-20.05,-15.54,8.38,18.27,-2.7,19.6,27.37,19,-1.54,14.04,7.26,14.82,0.33,6.95,-0.81,3.11,Upgrade
23,Earnings From Continuing Operations,8.26,35.48,41.3,-,-12.88,10.58,34.31,4.23,20.16,67.64,81.19,36.95,31.21,85.25,40.36,15.29,22.47,26.08,10.15,7.45,Upgrade
24,Minority Interest in Earnings,-,-,-,-,-3.02,-6.22,-10.11,-10.28,-8.52,-9.15,-7.67,-25.87,0.29,-5.43,-8.33,-8.87,-1.84,-4.01,-,-,Upgrade
25,Net Income,8.26,35.48,41.3,-,-15.91,4.36,24.2,-6.05,11.65,58.49,73.52,11.07,31.51,79.82,32.03,6.41,20.62,22.07,10.15,7.45,Upgrade
26,Net Income to Common,8.26,35.48,41.3,-,-15.91,4.36,24.2,-6.05,11.65,58.49,73.52,11.07,31.51,79.82,32.03,6.41,20.62,22.07,10.15,7.45,Upgrade
27,Net Income Growth,-,712.90%,70.63%,-,-,-92.54%,-67.08%,-,-63.03%,-26.72%,129.55%,72.68%,52.77%,261.61%,215.60%,-13.88%,161.36%,158.96%,-,-51.63%,Upgrade
28,Shares Outstanding (Basic),499,507,504,-,499,516,504,508,507,505,511,517,515,418,411,406,413,407,409,418,Upgrade
29,Shares Outstanding (Diluted),499,507,504,-,499,516,504,508,507,505,511,519,524,418,411,406,413,407,409,418,Upgrade
30,Shares Change (YoY),0.06%,-1.83%,-0.12%,-,-1.64%,2.21%,-1.25%,-2.17%,-3.15%,20.83%,24.34%,28.02%,26.79%,2.79%,0.34%,-2.86%,-0.50%,10.31%,-0.16%,98.31%,Upgrade
31,EPS (Basic),0.02,0.07,0.08,-,-0.03,0.01,0.05,-0.01,0.02,0.12,0.14,0.02,0.06,0.19,0.08,0.02,0.05,0.05,0.02,0.02,Upgrade
32,EPS (Diluted),0.02,0.07,0.08,-,-0.03,0.01,0.05,-0.01,0.02,0.12,0.14,0.02,0.06,0.19,0.08,0.02,0.05,0.05,0.02,0.02,Upgrade
33,EPS Growth,-,728.03%,70.83%,-,-,-92.70%,-66.67%,-,-61.83%,-39.35%,84.62%,34.89%,20.50%,251.79%,214.52%,-11.35%,162.68%,134.76%,-,-75.61%,Upgrade
34,Free Cash Flow,129.01,-51.77,135.88,-,-33.27,80.1,-179.44,-2.23,-248.64,-134.55,-326.54,236.94,-127.94,-130.28,-158.13,196.25,-29.85,-235.54,-19.88,129.89,Upgrade
35,Free Cash Flow Per Share,0.26,-0.10,0.27,-,-0.07,0.16,-0.36,-0.00,-0.49,-0.27,-0.64,0.46,-0.24,-0.31,-0.39,0.48,-0.07,-0.58,-0.05,0.31,Upgrade
36,Gross Margin,22.50%,35.93%,33.09%,-,16.56%,33.28%,32.69%,33.17%,30.31%,33.85%,38.82%,38.41%,34.15%,40.57%,38.68%,31.85%,36.50%,41.88%,32.31%,35.23%,Upgrade
37,Operating Margin,1.22%,5.76%,4.40%,-,-2.62%,-0.54%,2.92%,0.33%,-1.90%,4.53%,6.88%,0.68%,0.91%,8.98%,5.24%,6.38%,3.59%,4.39%,4.51%,2.21%,Upgrade
38,Profit Margin,0.49%,3.65%,4.35%,-,-0.84%,0.42%,2.37%,-0.61%,0.94%,4.47%,5.72%,0.83%,2.92%,7.15%,3.37%,0.66%,2.60%,3.21%,2.57%,1.27%,Upgrade
39,Free Cash Flow Margin,7.72%,-5.32%,14.31%,-,-1.75%,7.68%,-17.55%,-0.22%,-20.13%,-10.29%,-25.39%,17.76%,-11.88%,-11.67%,-16.63%,20.22%,-3.76%,-34.23%,-5.03%,22.18%,Upgrade
40,EBITDA,54.44,96.76,75.82,-,-20.55,27.97,59.05,32.53,-4.31,86.27,107.55,28.13,24.78,117.29,64.71,76.86,41.69,44.6,31.07,26.2,Upgrade
41,EBITDA Margin,3.26%,9.95%,7.98%,-,-1.08%,2.68%,5.77%,3.25%,-0.35%,6.60%,8.36%,2.11%,2.30%,10.51%,6.81%,7.92%,5.26%,6.48%,7.86%,4.47%,Upgrade
42,D&A For EBITDA,33.99,40.69,33.99,-,29.19,33.56,29.19,29.19,19.11,27.03,19.11,19.11,14.92,17.02,14.92,14.92,13.25,14.42,13.25,13.25,Upgrade
43,EBIT,20.46,56.07,41.84,-,-49.74,-5.6,29.86,3.34,-23.42,59.24,88.44,9.02,9.85,100.27,49.79,61.93,28.44,30.18,17.82,12.96,Upgrade
44,EBIT Margin,1.22%,5.76%,4.40%,-,-2.62%,-0.54%,2.92%,0.33%,-1.90%,4.53%,6.88%,0.68%,0.91%,8.98%,5.24%,6.38%,3.59%,4.39%,4.51%,2.21%,Upgrade
45,Effective Tax Rate,27.04%,32.94%,9.16%,-,-,-,19.63%,81.19%,-,22.46%,25.21%,33.96%,-,14.14%,15.25%,49.23%,1.47%,21.04%,-,29.43%,Upgrade
46,Revenue as Reported,1672,972.95,949.77,-,1901,1043,1023,1000,1235,1308,1286,1334,1077,1116,950.93,970.43,792.92,688.19,395.26,585.5,Upgrade
