,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,9614,8384,6258,6730,8096,8771,11224,14766,16432,15320,24157,17716,28908,28638,28989,23627,23372,17015,14856,9382,5968,Upgrade
1,Market Cap Growth,-4.41%,-4.41%,-44.25%,-54.42%,-50.73%,-42.75%,-53.54%,-16.65%,-43.16%,-46.50%,-16.67%,-25.02%,23.69%,68.31%,95.14%,151.82%,291.59%,168.86%,219.89%,141.28%,89.90%,Upgrade
2,Enterprise Value,9223,7871,5375,5876,7318,7884,10379,13716,15368,14025,22814,15794,26851,26456,29662,24150,23895,17501,15124,9548,6134,Upgrade
3,Last Close Price,19.15,16.70,12.47,13.36,16.07,17.41,22.28,29.20,31.84,29.68,46.80,34.32,56.00,55.47,69.80,56.89,57.10,41.57,36.29,22.92,14.58,Upgrade
4,PE Ratio,70.65,98.59,102.80,226.17,-,-,328.57,167.25,-,99.01,138.36,90.42,187.19,191.22,208.73,291.19,394.40,282.21,312.36,275.87,310.37,Upgrade
5,PS Ratio,2.61,2.33,1.64,1.73,-,1.77,2.61,3.23,3.40,2.97,4.83,3.68,6.46,6.96,7.57,6.94,8.21,6.91,7.03,5.09,3.42,Upgrade
6,PB Ratio,2.20,1.91,1.43,1.55,-,-,2.27,3.00,3.37,3.10,4.93,3.71,5.89,5.65,5.79,12.45,12.75,9.36,8.28,5.40,4.72,Upgrade
7,P/TBV Ratio,2.21,2.21,1.62,1.76,-,-,2.83,3.74,4.19,3.84,6.03,4.56,7.18,6.81,7.01,22.69,23.75,17.94,16.04,10.72,8.18,Upgrade
8,P/FCF Ratio,29.04,39.34,-,36.83,-,-,-32.05,-,-,-,-,-,-161.13,-,-,-,-262.57,-,-,-,35.29,Upgrade
9,P/OCF Ratio,12.51,17.40,21.83,15.75,-,46.00,763.66,-,-80.22,-,-,-,66.15,66.31,70.51,94.81,87.52,143.00,-,32.64,20.44,Upgrade
10,EV/Sales Ratio,2.51,2.19,1.41,1.51,-,1.59,2.41,3.00,3.18,2.72,4.56,3.28,6.00,6.43,7.74,7.10,8.39,7.11,7.16,5.18,3.52,Upgrade
11,EV/EBITDA Ratio,25.31,34.67,35.35,70.59,-,-,90.07,79.04,69.22,-,92.47,56.87,114.30,93.27,98.69,105.99,123.03,121.91,114.13,75.81,51.03,Upgrade
12,EV/EBIT Ratio,50.08,66.50,111.58,-435.25,-,-,-,198.74,120.44,-,136.98,76.09,158.94,119.25,123.37,141.77,172.68,195.77,185.84,125.22,83.43,Upgrade
13,EV/FCF Ratio,27.86,36.93,-,32.16,-,-,-29.64,-,-,-,-,-,-149.66,-,-,-,-268.45,-,-,-,36.27,Upgrade
14,Debt / Equity Ratio,0.57,0.57,0.49,0.39,-,-,0.31,0.32,0.34,0.30,0.26,0.21,0.14,0.11,0.16,0.44,0.33,0.35,0.32,0.40,0.57,Upgrade
15,Debt / EBITDA Ratio,6.90,11.54,4.96,5.53,-,-,9.07,6.67,7.19,-,3.30,2.28,3.35,5.41,1.74,3.25,1.96,3.84,3.18,5.56,6.87,Upgrade
16,Debt / FCF Ratio,7.59,11.79,-,9.18,-,-,-4.44,-,-,-,-,-,-3.73,-,-,-,-6.76,-,-,-,4.26,Upgrade
17,Asset Turnover,0.89,0.55,-,-,-,0.58,0.56,0.55,0.69,0.75,0.77,0.81,0.66,0.89,1.16,1.27,1.07,0.94,0.59,0.90,Upgrade,
18,Inventory Turnover,-,8.99,5.09,-,-,-,3.54,3.64,3.60,4.68,5.88,6.21,6.53,6.30,7.28,8.01,9.56,8.52,10.35,8.20,10.77,Upgrade
19,Quick Ratio,1.37,1.37,1.46,1.62,-,-,1.61,1.51,1.51,1.62,1.67,1.80,2.16,2.73,3.48,0.65,0.76,0.70,0.81,1.10,0.77,Upgrade
20,Current Ratio,1.75,1.75,1.90,2.11,-,-,2.18,2.12,1.99,2.20,2.24,2.36,2.71,3.43,4.16,1.27,1.29,1.41,1.53,1.53,1.13,Upgrade
21,Return on Equity (ROE),0.75%,3.25%,-,-,-,0.86%,2.80%,0.34%,1.64%,5.59%,6.71%,2.96%,2.48%,9.88%,8.65%,3.35%,4.98%,5.91%,2.70%,2.37%,Upgrade,
22,Return on Assets (ROA),0.68%,2.00%,-,-,-,-0.19%,1.02%,0.11%,-0.81%,2.13%,3.29%,0.34%,0.38%,5.00%,3.81%,5.05%,2.40%,2.58%,1.65%,1.25%,Upgrade,
23,Return on Capital (ROIC),0.76%,2.23%,-,-,-,-0.22%,1.14%,0.13%,-0.93%,2.48%,3.90%,0.40%,0.43%,5.86%,4.81%,6.33%,2.95%,3.15%,2.02%,1.48%,Upgrade,
24,Return on Capital Employed (ROCE),3.34%,2.15%,0.91%,-0.26%,-,-,-,1.31%,2.43%,-,3.16%,4.04%,3.21%,4.16%,4.31%,6.80%,6.34%,4.10%,3.77%,3.60%,4.41%,Upgrade
25,Earnings Yield,1.41%,1.01%,0.97%,0.44%,-,0.08%,0.30%,0.60%,0.84%,1.01%,0.72%,1.11%,0.53%,0.52%,0.48%,0.34%,0.25%,0.35%,0.32%,0.36%,0.32%,Upgrade
26,FCF Yield,3.44%,2.54%,0.81%,2.71%,-,-1.54%,-3.12%,-3.83%,-4.33%,-3.09%,-1.46%,-1.96%,-0.62%,-0.77%,-0.42%,-0.96%,-0.38%,-0.91%,-0.77%,1.46%,2.83%,Upgrade
27,Payout Ratio,14.61%,112.65%,13.78%,8.24%,-,-,92.64%,23.13%,-,66.48%,10.75%,4.88%,16.21%,12.74%,8.90%,20.51%,112.68%,35.86%,46.05%,107.46%,332.02%,Upgrade
28,Buyback Yield / Dilution,1.15%,-0.06%,1.83%,0.12%,-,1.64%,-2.21%,1.25%,2.17%,3.15%,-20.83%,-24.34%,-28.02%,-26.79%,-2.79%,-0.34%,2.86%,0.50%,-10.31%,0.16%,-98.31%,Upgrade
29,Total Shareholder Return,1.15%,-0.06%,1.83%,0.12%,-,1.64%,-2.21%,1.25%,2.17%,3.15%,-20.83%,-24.34%,-28.02%,-26.79%,-2.79%,-0.34%,2.86%,0.50%,-10.31%,0.16%,-98.31%,Upgrade
