,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,968.83,1363,1034,-,-,989.6,1324,1358,1114,1398,2527,2436,2250,3365,525.39,567.42,454.59,417.56,749.21,416.89,Upgrade
1,Trading Asset Securities,1935,1312,1526,-,-,1898,1538,1798,1853,1594,200,550,710,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,2904,2675,2560,-,-,2888,2862,3155,2967,2992,2727,2986,2960,3365,525.39,567.42,454.59,417.56,749.21,416.89,Upgrade
3,Cash Growth,-,-7.38%,-10.58%,-,-,-3.48%,4.95%,5.66%,0.26%,-11.10%,419.12%,426.32%,551.07%,705.91%,-29.87%,36.11%,-53.47%,-57.78%,-8.55%,-34.43%,Upgrade
4,Accounts Receivable,120.04,114.98,105.85,-,-,83.39,81.14,123.39,107.73,140.81,111.2,95.58,104.31,113.13,78.53,115.91,131,164.61,169.59,174.16,Upgrade
5,Other Receivables,26.12,27.22,24.65,-,-,17.32,23.86,38.62,30.44,30.79,51.23,19.86,16.38,12.11,10.68,8.21,8.53,6.74,6.01,6.96,Upgrade
6,Receivables,146.16,142.21,130.5,-,-,100.71,104.99,162.01,138.17,171.6,162.43,115.43,120.69,125.24,89.21,124.11,139.53,171.35,175.6,181.11,Upgrade
7,Inventory,624.74,528.68,451.2,-,-,764.44,810.54,702.43,784.19,686.02,491.13,523.03,483.67,417.24,312.23,270.48,282.77,189.85,119.46,141.54,Upgrade
8,Prepaid Expenses,-,50.29,-,-,-,-,-,17.26,-,45.88,-,9.69,-,13.75,-,18.17,-,-,-,19.65,Upgrade
9,Other Current Assets,210.13,280.6,374.98,-,-,295.08,386.35,342.05,328.92,344.7,406.05,249.56,301.76,257.04,265.13,197.42,329.87,338.54,234.55,121.11,Upgrade
10,Total Current Assets,3885,3676,3516,-,-,4048,4164,4379,4219,4240,3787,3884,3866,4178,1192,1178,1207,1117,1279,880.3,Upgrade
11,"Property, Plant & Equipment",2357,2148,2028,-,-,1982,1924,1893,1942,1841,1742,1684,1453,1317,1161,847.02,719.51,676.78,671.1,659.76,Upgrade
12,Long-Term Investments,466.19,464.34,307.16,-,-,228.57,228.57,228.57,227.3,227.3,227.3,227.3,211.87,211.87,211.87,301.87,210.39,210.39,210.39,210.39,Upgrade
13,Goodwill,383.89,383.89,383.89,-,-,390.72,390.72,390.72,390.72,390.72,390.72,390.72,401.44,401.44,401.44,401.44,428.92,428.92,428.92,428.92,Upgrade
14,Other Intangible Assets,205.35,129.42,131.81,-,-,140.93,141.18,144.37,136.98,95.1,95.21,97.19,98.49,100.09,98.13,99.94,101.58,103.48,105.27,107.26,Upgrade
15,Long-Term Deferred Tax Assets,136.18,106.71,117.66,-,-,114.2,110.91,116.89,117.15,104.55,105.19,113.84,95.97,94.15,100.23,103.58,112.89,106.82,86.88,81.81,Upgrade
16,Long-Term Deferred Charges,234.64,240.93,246.92,-,-,225.78,226.56,214.61,109.52,107.05,54.21,48.17,49.4,50.07,19.56,18.79,18.37,18.25,19.01,16.2,Upgrade
17,Other Long-Term Assets,65.29,89.27,58.25,-,-,42.38,57.49,75.35,76.2,149.33,333.99,251.05,285.74,226.7,260.78,141.93,236.61,227.13,154.44,58.45,Upgrade
18,Total Assets,7734,7239,6790,-,-,7172,7243,7443,7219,7155,6736,6697,6462,6579,3445,3092,3035,2889,2955,2443,Upgrade
19,Accounts Payable,386.45,343.71,414.78,-,-,315.36,274.32,291.52,289.07,334.76,355.43,407.87,281.86,289.27,217.22,326.92,279.26,299.54,294.47,244.21,Upgrade
20,Accrued Expenses,70.02,238.3,47.63,-,-,219.23,48.49,286.77,63.55,317.76,47.64,274.05,47.58,229.82,30.06,172.13,37.52,118.55,18.76,71,Upgrade
21,Short-Term Debt,1339,1225,889.42,-,-,1195,1257,1356,1145,960,660,350,320,294.05,283,277.04,300,228.02,336.15,355.43,Upgrade
22,Current Portion of Long-Term Debt,121.16,36.57,50.74,-,-,-,-,-,-,-,-,-,-,-,-,25.42,25.42,25.42,25.42,10,Upgrade
23,Current Portion of Leases,-,15.65,-,-,-,19.9,21.12,23.33,22.59,13.57,13.46,13.36,-,-,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,29.64,1.47,14.01,-,-,2.28,36.97,18.31,24.67,22.34,58.63,34.9,35.95,2.83,41.31,6.21,16.89,1.95,8.19,8.39,Upgrade
25,Current Unearned Revenue,48.85,24.92,33.49,-,-,29.83,45.78,98.76,55.15,108.01,76.55,95.94,141.84,54.7,102.88,73.5,64.61,38.91,84.46,-,Upgrade
26,Other Current Liabilities,225.82,46.63,214.07,-,-,74.31,283.57,127.5,315.06,135.7,391.49,257.2,301.04,132.7,265.4,29.76,130.2,17.39,71.03,87.84,Upgrade
27,Total Current Liabilities,2221,1932,1664,-,-,1856,1968,2202,1915,1892,1603,1433,1128,1003,939.87,910.98,853.89,729.78,838.49,776.87,Upgrade
28,Long-Term Debt,645.66,479.37,462.58,-,-,43.09,1.49,-,-,-,-,-,-,307.42,340.63,299.27,314.26,314.26,329.25,354.67,Upgrade
29,Long-Term Leases,407.69,404.43,274.05,-,-,296.06,296.05,295.8,312.16,309.12,307.07,306.39,216.14,216.57,218.14,-,-,-,-,-,Upgrade
30,Long-Term Unearned Revenue,72.91,36.4,36.96,-,-,36.68,37.45,38.16,25.76,26.2,26.64,27.07,27.25,27.63,28.07,28.5,28.93,29.37,29.81,24.63,Upgrade
31,Long-Term Deferred Tax Liabilities,6.67,6.89,7.13,-,-,-,23.26,24.08,27.27,23.98,23.62,23.84,20.2,20.42,20.63,20.84,20.68,20.88,21.06,21.27,Upgrade
32,Other Long-Term Liabilities,-,-,1.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
33,Total Liabilities,3354,2859,2446,-,-,2231,2326,2560,2280,2251,1961,1791,1392,1575,1547,1260,1218,1094,1219,1177,Upgrade
34,Common Stock,512.05,512.05,513.74,-,-,513.79,515.69,516.08,516.08,516.18,516.21,516.21,516.21,516.29,415.31,409.31,409.31,409.36,409.36,409.36,Upgrade
35,Additional Paid-In Capital,4820,4680,4708,-,-,4935,4959,4959,5019,5002,4973,4939,4907,4875,1960,1839,1839,1840,1825,1694,Upgrade
36,Retained Earnings,-463.44,-324.66,-360.14,-,-,-436.31,-446.78,-464.88,-462.72,-474.37,-532.86,-606.38,-617.46,-648.96,-728.78,-760.78,-767.2,-787.82,-809.89,-820.04,Upgrade
37,Treasury Stock,-488.52,-488.52,-517.57,-,-,-518.47,-551.18,-557.81,-557.81,-553.85,-584.84,-337.38,-102.09,-103.38,-105.82,-2.44,-2.44,-2.69,-15.03,-17.51,Upgrade
38,Total Common Equity,4380,4379,4344,-,-,4494,4477,4452,4515,4490,4372,4512,4704,4639,1541,1486,1479,1458,1409,1266,Upgrade
39,Minority Interest,-,-,-,-,-,447.18,440.75,430.31,423.93,414.26,403.71,394.56,366.55,364.77,357.03,347.01,338.14,336.3,327.17,-,Upgrade
40,Shareholders' Equity,4380,4379,4344,-,-,4941,4917,4883,4938,4904,4775,4906,5070,5004,1898,1833,1817,1795,1736,1266,Upgrade
41,Total Liabilities & Equity,7734,7239,6790,-,-,7172,7243,7443,7219,7155,6736,6697,6462,6579,3445,3092,3035,2889,2955,2443,Upgrade
42,Total Debt,2513,2161,1677,-,-,1554,1576,1675,1480,1283,980.53,669.75,536.14,818.04,841.77,601.73,639.68,567.7,690.82,720.1,Upgrade
43,Net Cash (Debt),390.89,513.64,882.87,-,-,1334,1286,1480,1488,1709,1747,2317,2424,2547,-316.39,-34.31,-185.09,-150.14,58.39,-303.21,Upgrade
44,Net Cash Growth,-,-61.49%,-31.36%,-,-,-21.95%,-26.37%,-36.11%,-38.62%,-32.90%,-,-,-,-,-,-,-,-,-,-,Upgrade
45,Net Cash Per Share,0.78,1.01,1.75,-,-,2.58,2.55,2.91,2.93,3.38,3.42,4.46,4.63,6.10,-0.77,-0.08,-0.45,-0.37,0.14,-0.73,Upgrade
46,Filing Date Shares Outstanding,502.05,502.05,503.5,-,499.11,516.04,505.69,506.08,516.08,516.18,516.21,516.21,516.21,516.29,415.31,409.31,409.31,409.36,409.36,409.36,Upgrade
47,Total Common Shares Outstanding,502.05,502.05,503.5,-,499.11,516.04,505.69,506.08,516.08,516.18,516.21,516.21,516.21,516.29,415.31,409.31,409.31,409.36,409.36,409.36,Upgrade
48,Working Capital,1664,1744,1852,-,-,2192,2197,2177,2303,2348,2184,2451,2738,3175,252.09,266.63,352.86,387.51,440.33,103.43,Upgrade
49,Book Value Per Share,8.72,8.72,8.63,-,-,8.71,8.85,8.80,8.75,8.70,8.47,8.74,9.11,8.99,3.71,3.63,3.61,3.56,3.44,3.09,Upgrade
50,Tangible Book Value,3791,3866,3828,-,-,3962,3945,3917,3987,4004,3886,4024,4204,4138,1041,984.19,948.63,926.08,874.86,729.48,Upgrade
51,Tangible Book Value Per Share,7.55,7.70,7.60,-,-,7.68,7.80,7.74,7.73,7.76,7.53,7.79,8.14,8.01,2.51,2.40,2.32,2.26,2.14,1.78,Upgrade
52,Buildings,-,611.82,-,-,-,474.14,-,455.44,-,449.89,-,449.89,-,385.06,-,365.31,-,364.72,-,364.72,Upgrade
53,Machinery,-,1432,-,-,-,1220,-,1101,-,1029,-,879.35,-,645.09,-,520,-,471.04,-,449.11,Upgrade
54,Construction In Progress,-,315.75,-,-,-,478.61,-,452.5,-,427.7,-,361.57,-,364.89,-,217.01,-,85.42,-,67.15,Upgrade
