,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,-,617.1,875.46,1063,955.19,1194,1292,1398,1471,-,87.82,-,134.3
1,Trading Asset Securities,-,353.01,214.8,60,320,50,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,970.11,970.11,1090,1123,1275,1244,1292,1398,1471,-,87.82,134.3,134.3
3,Cash Growth,-23.92%,-22.00%,-15.60%,-19.67%,-13.31%,-,1370.96%,941.31%,995.24%,-,-,-,-
4,Accounts Receivable,-,400.04,397.34,344.82,347.16,388.5,345.02,299.35,319.21,-,188.93,-,179.52
5,Other Receivables,-,24.7,25.62,20.87,19.08,23.4,18.3,7.95,3.48,-,3.16,-,2.09
6,Receivables,-,424.74,422.97,365.69,366.24,411.9,363.31,307.3,322.69,-,192.1,-,181.61
7,Inventory,-,59.05,51.81,56.86,47.96,44.8,48.77,44.41,40,-,51.67,-,41.85
8,Other Current Assets,-,118.68,24.21,21.53,13.17,18.7,25.96,25.22,14.17,-,9.52,-,5.03
9,Total Current Assets,-,1573,1589,1567,1703,1719,1730,1775,1848,-,341.11,-,362.78
10,"Property, Plant & Equipment",-,118.19,121.49,133.66,138.25,121.19,105.43,83.56,27.41,-,26.37,-,26.73
11,Long-Term Investments,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,-,0.51,-,0.51
12,Goodwill,-,112.98,100.11,100.11,100.11,96.77,96.77,-,-,-,-,-,-
13,Other Intangible Assets,-,57.04,54.09,51.77,53.57,55.43,52.89,13.63,13.02,-,7.59,-,6.96
14,Long-Term Deferred Tax Assets,-,37.63,33.44,33.2,26.66,22.06,21.04,19.61,15.41,-,13.32,-,8.3
15,Long-Term Deferred Charges,-,22.95,21.29,21.88,20.18,8.72,6.43,5.12,5.48,-,6.36,-,3.41
16,Other Long-Term Assets,-,98.13,96.64,46.82,37.48,35.67,42.17,35.74,63.9,-,66.33,-,60.05
17,Total Assets,-,2020,2017,1955,2079,2059,2055,1934,1974,-,461.58,-,468.74
18,Accounts Payable,-,34.35,23.08,19.43,32.31,17.2,14.13,13.58,26.57,-,16.97,-,20.84
19,Accrued Expenses,-,14.38,17.31,12.63,56.18,43.02,32.97,13.68,32.8,-,12.06,-,25.96
20,Short-Term Debt,-,62.49,60,-,6.45,6.45,6.45,-,-,-,-,-,5.01
21,Current Portion of Leases,-,8.9,10.56,8.84,8.92,9.57,7.96,1.24,0.87,-,1.47,-,2.81
22,Current Income Taxes Payable,-,1.53,0.73,2.53,1.48,7.67,0.18,0.91,6.5,-,3.79,-,8.28
23,Current Unearned Revenue,-,4.16,5.47,4.97,4.72,4.09,3.94,3.85,2.53,-,3.07,-,3.15
24,Other Current Liabilities,-,7.7,8.2,2.95,3.24,1.78,61.93,0.63,1.14,-,1,-,0.77
25,Total Current Liabilities,-,133.52,125.36,51.36,113.3,89.78,127.57,33.89,70.42,-,38.37,-,66.8
26,Long-Term Leases,-,14.66,15.99,27.22,25.44,19.04,13.96,1.16,1.03,-,1.56,-,1.77
27,Long-Term Unearned Revenue,-,20.5,20.5,16.99,16.99,20.05,20.05,17.83,18.58,-,11.24,-,13.25
28,Long-Term Deferred Tax Liabilities,-,3.94,3.45,3.56,3.68,3.79,3.9,-,0.01,-,-,-,-
29,Other Long-Term Liabilities,-,10.56,-,0,-,-,-,-,-,-,-,-,-
30,Total Liabilities,-,183.18,165.3,99.13,159.4,132.66,165.49,52.88,90.04,-,51.18,-,81.82
31,Common Stock,-,114.33,114.33,114.33,114.33,113.89,113.89,76.95,76.95,-,57.42,-,57.42
32,Additional Paid-In Capital,-,1532,1528,1527,1525,1543,1542,1578,1577,-,216.74,-,207.56
33,Retained Earnings,-,255.03,254.57,253.43,263.39,235.83,206.27,225.36,229.13,-,136.25,-,121.94
34,Treasury Stock,-,-79.97,-62.22,-54.77,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,0.05,0,-0,-,-,-,-,-,-,-,-,-
36,Total Common Equity,1821,1821,1835,1840,1903,1893,1863,1881,1883,-,410.4,386.92,386.92
37,Minority Interest,-,15.47,16.91,15.82,16.87,33.54,26.99,-,-,-,-,-,-
38,Shareholders' Equity,1837,1837,1852,1856,1920,1927,1890,1881,1883,-,410.4,386.92,386.92
39,Total Liabilities & Equity,-,2020,2017,1955,2079,2059,2055,1934,1974,-,461.58,-,468.74
