,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,218.54,87.35,117.93,49.38,121.06,133.02,66.97,36.22,165.03,79.8,64.88,27.29,132.65
1,Other Revenue,-,-2.02,2.02,-,1.34,-0.39,0.39,-,2.76,-1.93,1.93,-,0.95
2,Revenue,218.54,85.33,119.95,49.38,122.39,132.63,67.36,36.22,167.79,77.88,66.81,27.29,133.59
3,Revenue Growth (YoY),78.56%,-35.66%,78.06%,36.35%,-27.05%,70.30%,0.83%,32.71%,25.59%,-,-,-,-
4,Cost of Revenue,-62.03,19.66,31.24,11.14,36.09,33.28,20.13,11.25,44.74,15.72,16.96,8.19,71.32
5,Gross Profit,280.58,65.68,88.71,38.24,86.3,99.34,47.24,24.97,123.04,62.16,49.85,19.1,62.28
6,"Selling, General & Admin",-121.53,44.14,39.86,37.53,44.17,40.95,21.91,24.73,19.57,26.15,16.98,17.99,66.95
7,Research & Development,-81.21,28.26,26.43,26.52,28.64,32.97,17.82,18.95,20.34,17.79,16.04,14.06,50.46
8,Other Operating Expenses,449.3,-7.57,-1.34,-5.76,3.21,-9.13,-1.82,-3.43,6.28,-0.59,-6.25,-2.12,-120.99
9,Operating Expenses,235.91,69.18,70.1,59.44,76.62,68.35,39.69,40.09,52.24,45,27.87,29.87,0.94
10,Operating Income,44.67,-3.5,18.61,-21.2,9.68,30.99,7.54,-15.13,70.8,17.17,21.98,-10.76,61.33
11,Interest Expense,-16,-0.33,-0.35,-0.46,-0.64,-0.15,-0.01,-0.04,-,-0.07,-0.04,-0.11,-0.38
12,Interest & Investment Income,1.14,5.19,5.23,5.58,5.18,6.51,8.13,6.61,0.67,0.26,0.68,0.13,1.04
13,Currency Exchange Gain (Loss),-,-0,0,-,0.09,0,-0,-,0.02,0.01,-0.01,-,-0.01
14,Other Non Operating Income (Expenses),-0.31,0.79,-0.2,-0.02,-0.54,0.39,-0.39,-0,0.09,-0.01,-0.23,-0.09,0.06
15,EBT Excluding Unusual Items,29.49,2.15,23.29,-16.09,13.78,37.75,15.26,-8.56,71.58,17.36,22.38,-10.83,62.04
16,Gain (Loss) on Sale of Assets,-0.3,0.17,-0.01,0.14,0,-0.02,0.02,-,-,-,-0.09,-,0
17,Asset Writedown,4.64,-4.64,1.71,-1.71,2.38,-2.38,-0.58,0.58,0.95,-0.95,0.35,-0.35,-
18,Other Unusual Items,-,-2.17,2.17,-,9.95,-,-,-,10.46,-,-,-,3.18
19,Pretax Income,33.82,-4.49,27.16,-17.67,26.11,35.34,14.71,-7.98,82.99,16.41,22.63,-11.18,65.22
20,Income Tax Expense,6.94,-4.17,0.49,-6.65,-5,0.97,0.68,-4.2,5.56,0.92,-0.89,-1.96,7.52
21,Earnings From Continuing Operations,26.89,-0.31,26.66,-11.01,31.11,34.38,14.03,-3.78,77.43,15.49,23.52,-9.21,57.7
22,Minority Interest in Earnings,1.17,0.77,-2.99,1.05,-3.53,-4.82,-0.11,-,-,-,-,-,-
23,Net Income,28.06,0.45,23.68,-9.97,27.58,29.56,13.92,-3.78,77.43,15.49,23.52,-9.21,57.7
24,Net Income to Common,28.06,0.45,23.68,-9.97,27.58,29.56,13.92,-3.78,77.43,15.49,23.52,-9.21,57.7
25,Net Income Growth,1.74%,-98.47%,70.05%,-,-64.38%,90.88%,-40.82%,-,34.20%,-,-,-,-
26,Shares Outstanding (Basic),112,112,113,114,114,114,114,114,94,85,85,85,85
27,Shares Outstanding (Diluted),112,113,114,114,114,115,115,114,98,85,85,85,85
28,Shares Change (YoY),-1.66%,-1.74%,-1.38%,-0.39%,16.04%,35.07%,35.90%,34.06%,15.71%,-,-,-,-
29,EPS (Basic),0.25,0.00,0.21,-0.09,0.24,0.26,0.12,-0.03,0.82,0.18,0.28,-0.11,0.68
30,EPS (Diluted),0.25,0.00,0.21,-0.09,0.24,0.26,0.12,-0.03,0.79,0.18,0.28,-0.11,0.68
31,EPS Growth,3.46%,-98.44%,72.43%,-,-69.30%,41.32%,-56.45%,-,15.97%,-,-,-,-
32,Free Cash Flow,-,-14.4,0.41,-85.22,69.4,5.88,-7.96,-68.43,16.77,-7.13,11.94,-47.47,-39.64
33,Free Cash Flow Per Share,-,-0.13,0.00,-0.75,0.61,0.05,-0.07,-0.60,0.17,-0.08,0.14,-0.56,-0.47
34,Dividend Per Share,-,-,-,-,0.200,-,-,-,0.290,-,-,-,-
35,Dividend Growth,-,-,-,-,-31.01%,-,-,-,-,-,-,-,-
36,Gross Margin,128.38%,76.96%,73.96%,77.45%,70.51%,74.91%,70.12%,68.94%,73.33%,79.82%,74.61%,70.00%,46.61%
37,Operating Margin,20.44%,-4.11%,15.51%,-42.92%,7.91%,23.37%,11.20%,-41.77%,42.20%,22.04%,32.90%,-39.45%,45.91%
38,Profit Margin,12.84%,0.53%,19.74%,-20.18%,22.53%,22.29%,20.67%,-10.45%,46.15%,19.88%,35.21%,-33.77%,43.19%
39,Free Cash Flow Margin,-,-16.87%,0.34%,-172.57%,56.71%,4.44%,-11.82%,-188.95%,10.00%,-9.15%,17.88%,-173.95%,-29.67%
40,EBITDA,47.19,-0.98,22.03,-18.67,12.2,32.17,9.16,-13.95,71.98,17.94,22.89,-9.99,62.11
41,EBITDA Margin,21.59%,-1.15%,18.37%,-37.82%,9.97%,24.26%,13.60%,-38.52%,42.90%,23.04%,34.25%,-36.60%,46.49%
42,D&A For EBITDA,2.52,2.52,3.43,2.52,2.52,1.18,1.62,1.18,1.18,0.78,0.91,0.78,0.78
43,EBIT,44.67,-3.5,18.61,-21.2,9.68,30.99,7.54,-15.13,70.8,17.17,21.98,-10.76,61.33
44,EBIT Margin,20.44%,-4.11%,15.51%,-42.92%,7.91%,23.37%,11.20%,-41.77%,42.20%,22.04%,32.90%,-39.45%,45.91%
45,Effective Tax Rate,20.51%,-,1.82%,-,-,2.73%,4.60%,-,6.70%,5.61%,-,-,11.53%
46,Revenue as Reported,-,85.33,119.95,49.38,122.39,132.63,67.36,36.22,167.79,77.88,66.81,27.29,270.33
