,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,4238,3877,3972,3046,3744,5355,5307,7204,8415,7757,-,-,-,-
1,Market Cap Growth,-27.59%,-27.59%,-25.17%,-57.72%,-55.51%,-30.97%,-,-,-,-,-,-,-,-
2,Enterprise Value,3370,3009,2985,1974,2569,4180,4071,5807,6946,7673,-,-,-,-
3,Last Close Price,37.71,34.50,35.26,26.64,32.51,46.68,46.26,62.79,73.06,67.70,-,-,-,-
4,PE Ratio,100.64,91.83,95.15,42.99,-,79.60,45.31,69.90,-,72.35,-,-,-,-
5,Forward PE,36.61,35.84,36.04,29.99,19.51,30.16,35.17,45.89,53.61,-,-,-,-,-
6,PS Ratio,8.98,8.19,10.53,7.18,10.07,14.93,13.14,20.63,24.13,22.83,-,-,-,-
7,PB Ratio,2.32,2.11,2.16,1.64,2.02,2.79,2.75,3.81,4.47,4.12,-,-,-,-
8,P/TBV Ratio,2.35,2.35,2.41,1.81,2.22,3.06,3.05,4.21,4.51,4.15,-,-,-,-
9,P/FCF Ratio,-,-,-,-319.71,-,-4837.57,-98.76,-,-,-299.71,-,-,-,-
10,P/OCF Ratio,-,-,-,32.55,-,61.36,389.24,-1506.04,-,-1291.88,-,-,-,-
11,EV/Sales Ratio,7.12,6.36,7.92,4.65,6.91,11.66,10.08,16.63,19.92,22.58,-,-,-,-
12,EV/EBITDA Ratio,69.25,60.70,-,41.36,-,105.59,40.97,68.22,-,74.63,-,-,-,-
13,EV/EBIT Ratio,87.36,78.00,-,51.84,-,126.32,43.21,72.25,-,77.36,-,-,-,-
14,EV/FCF Ratio,-,-,-,-207.23,-,-3776.07,-75.75,-,-,-296.43,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.05,0.05,0.02,0.02,0.02,0.02,0.00,0.00,-,0.01,0.02,0.02
16,Debt / EBITDA Ratio,1.77,0.46,-,0.70,-,0.49,0.27,0.62,-,0.01,-,0.03,-,0.04
17,Debt / FCF Ratio,-,-,-,-9.09,-,-36.86,-0.65,-,-,-0.07,-,-0.04,-,-
18,Asset Turnover,-,0.17,0.24,0.10,0.24,0.26,0.14,0.07,-,-,-,-,-,
19,Inventory Turnover,-,-,1.42,2.30,0.85,3.11,2.85,1.73,1.07,-,-,-,-,-
20,Quick Ratio,-,-,10.45,12.07,28.99,14.49,18.44,12.97,50.33,25.47,-,7.29,-,4.73
21,Current Ratio,-,-,11.78,12.68,30.52,15.03,19.15,13.56,52.39,26.24,-,8.89,-,5.43
22,Return on Equity (ROE),5.85%,-0.07%,5.75%,-2.33%,6.47%,7.21%,2.98%,-0.80%,-,-,23.60%,-9.53%,-,
23,Return on Assets (ROA),-,-0.43%,2.34%,-2.63%,1.17%,3.77%,0.95%,-1.94%,-,-,-,-,-,
24,Return on Capital (ROIC),5.81%,-0.45%,2.43%,-2.75%,1.23%,3.99%,0.99%,-2.01%,-,-,13.57%,-6.79%,-,
25,Return on Capital Employed (ROCE),-,-,-,2.01%,-,1.68%,4.78%,4.17%,-,5.21%,-,17.14%,-,15.26%
26,Earnings Yield,1.00%,1.09%,1.05%,2.33%,1.63%,1.26%,2.21%,1.43%,1.34%,1.38%,-,-,-,-
27,FCF Yield,-,-0.75%,-0.31%,-0.48%,-0.02%,-1.01%,-0.93%,-0.56%,-0.33%,-,-,-,-,
28,Dividend Yield,0.52%,-,-,-,-,0.43%,-,-,-,0.43%,-,-,-,-
29,Payout Ratio,0.00%,-,472.17%,83.42%,-,0.24%,0.23%,237.11%,-,-,-,0.13%,-,0.37%
30,Buyback Yield / Dilution,1.65%,1.66%,1.74%,1.38%,0.39%,-16.04%,-35.07%,-35.90%,-34.06%,-15.71%,-,-,-,-
31,Total Shareholder Return,2.17%,1.66%,1.74%,1.38%,0.39%,-15.61%,-35.07%,-35.90%,-34.06%,-15.28%,-,-,-,-
