,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,12584,6404,5172,6848,7008,7311,9522,9442,8220,10028,6195,6070,6355,4764,-,-,-,-,-,-
1,Market Cap Growth,-12.40%,-12.40%,-45.68%,-27.47%,-14.75%,-27.09%,53.72%,55.56%,29.34%,110.48%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,12809,6543,5514,6823,6982,7179,9280,9955,8734,10440,6522,6318,6603,4799,-,-,-,-,-,-
3,Last Close Price,47.30,24.07,19.44,25.55,26.14,27.29,35.72,38.84,33.82,41.25,25.31,24.80,25.97,19.47,-,-,-,-,-,-
4,PE Ratio,128.34,64.83,40.21,60.09,-,40.93,63.38,55.23,49.44,51.89,34.59,35.14,45.29,30.78,-,-,-,-,-,-
5,Forward PE,57.86,21.16,19.64,23.21,26.11,27.34,33.32,30.00,27.44,36.29,26.20,27.56,31.15,23.22,-,-,-,-,-,-
6,PS Ratio,4.83,2.44,1.94,2.69,2.79,2.89,4.16,4.20,3.70,4.30,2.81,2.98,3.53,2.84,-,-,-,-,-,-
7,PB Ratio,4.90,2.48,2.04,2.72,2.84,2.88,3.88,3.86,5.15,6.46,4.12,4.10,4.40,3.44,-,-,-,-,-,-
8,P/TBV Ratio,2.66,2.66,2.19,2.93,3.06,3.10,4.18,4.15,5.76,7.19,4.59,4.58,4.93,3.87,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-33.71,-,-,-,-56.94,-,-,-,-19.32,-,-,-,-,-,-,-
10,P/OCF Ratio,55.37,55.37,-,113.35,506.05,-,-,-,132.01,-,-,80.68,167.15,-,-,-,-,-,-,-
11,PEG Ratio,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.80,0.91,-,-,-,-,-,-,-
12,EV/Sales Ratio,4.88,2.49,2.07,2.68,2.78,2.84,4.05,4.43,3.93,4.47,2.96,3.10,3.67,2.86,-,-,-,-,-,-
13,EV/EBITDA Ratio,78.35,44.04,29.00,34.20,-,28.25,42.15,47.09,43.09,40.64,28.92,27.76,36.18,25.01,-,-,-,-,-,-
14,EV/EBIT Ratio,148.89,76.05,42.24,47.87,-,35.36,53.15,58.55,-,46.10,33.24,31.24,41.74,28.45,-,-,-,-,-,-
15,EV/FCF Ratio,-53.40,-,-,-,-33.59,-,-,-,-60.49,-,-,-,-20.08,-,-,-,-,-,-,-
16,Debt / Equity Ratio,0.36,0.36,0.36,0.33,0.33,0.33,0.32,0.33,0.46,0.47,0.40,0.37,0.39,0.30,0.51,0.71,0.71,0.71,-,0.44
17,Debt / EBITDA Ratio,5.61,4.69,2.63,2.93,-,2.29,2.04,3.18,13.62,3.20,1.79,2.56,2.11,4.16,2.13,17.79,2.17,3.36,-,-
