,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,679.31,803.51,494.17,641.61,715.02,683.84,462.8,659.03,478.13,643.33,434.94,771.8,346.39,477.74,197.25,652.19,457.66,457.89,89.63
1,Other Revenue,-6.82,6.82,-,7.93,-2.83,2.83,-,5.73,-2.62,2.62,-,4.95,-2.41,2.41,-,3.18,1.59,1.23,-
2,Revenue,672.48,810.34,494.17,649.54,712.19,686.67,462.8,664.76,475.51,645.96,434.94,776.75,343.98,480.15,197.25,655.37,459.25,459.12,89.63
3,Revenue Growth (YoY),-5.58%,18.01%,6.78%,-2.29%,49.77%,6.30%,6.40%,-14.42%,38.24%,34.53%,120.50%,18.52%,-25.10%,4.58%,120.07%,-,-,-,-
4,Cost of Revenue,496.27,593.62,365.85,479.97,521,487.63,328.66,489.63,329.19,471.73,314.66,598.34,240.72,332.24,129.37,458.89,320.63,272.88,105.54
5,Gross Profit,176.21,216.71,128.32,169.57,191.19,199.04,134.14,175.13,146.32,174.23,120.28,178.41,103.26,147.91,67.88,196.48,138.62,186.24,-15.91
6,"Selling, General & Admin",101.67,103.89,73.69,107.17,87.92,90.33,77.2,98.96,83.82,72.04,62.2,64.6,69.25,58.08,53.43,68.53,63.14,95.18,-
7,Research & Development,40.65,39.38,28.95,66.88,35.81,32.57,19.07,29.11,22.49,25.87,19.98,25.27,21.65,14.31,15.22,24.06,18.89,24.05,-
8,Other Operating Expenses,-4.55,2.35,-6.01,4.82,-9.98,3.51,-1.14,25.06,-1.49,-4.95,-3.6,18.65,-4.81,-2.2,-2.76,16.08,6.39,-3.64,-
9,Operating Expenses,142.47,151.35,73.01,237.95,112.97,121.66,83.63,178.22,96.51,101.43,73,121.85,83.68,69.12,64.6,129.48,97.53,117.49,-
10,Operating Income,33.74,65.36,55.32,-68.38,78.22,77.38,50.51,-3.09,49.81,72.79,47.28,56.56,19.58,78.79,3.28,67,41.09,68.75,-15.91
11,Interest Expense,-6.05,-6.86,-5.11,-7.54,-5.77,-5.91,-4.79,-7.25,-4.45,-2.62,-1.84,-3.5,-1.75,-3.95,-3.33,-4.53,-6.49,-6.4,-
12,Interest & Investment Income,1.56,6.06,1.6,7.48,2.36,2.81,0.71,0.8,0.37,0.43,0.62,2.27,0.41,0.56,0.79,0.45,0.41,0.98,-
