,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,3.7,5.02,5.23,6.2,3.22,8.04,2.85,2.43,0.83
1,Revenue Growth (YoY),-29.23%,-18.95%,62.65%,-22.93%,12.79%,231.33%,242.50%,-,-
2,Cost of Revenue,0.75,1.82,1.21,1.34,0.76,1.5,0.65,0.48,0.28
3,Gross Profit,2.95,3.2,4.03,4.85,2.46,6.54,2.2,1.95,0.56
4,"Selling, General & Admin",7.36,9.44,10.97,10.86,9.56,16.15,15.1,8.5,5.58
5,Research & Development,6.49,9.92,10.23,10.03,9.14,9,7.76,4.91,4.45
6,Operating Expenses,13.85,19.44,21.21,21.19,18.84,25.7,22.89,13.61,10.03
7,Operating Income,-10.9,-16.24,-17.18,-16.33,-16.38,-19.17,-20.69,-11.66,-9.48
8,Interest Expense,-0.05,-0.04,-0.04,-0.05,-0.05,-0.06,-0.11,-0.34,-0.31
9,Interest & Investment Income,3.22,3.7,2.34,2.35,0.28,0.12,0.04,0.04,0.04
10,Currency Exchange Gain (Loss),0.12,-,-,0.69,-,-,-,-0.04,0.04
11,Other Non Operating Income (Expenses),0.11,-0.67,-0.17,0.6,-0.01,-177.61,-19.93,-22.68,-5.4
12,EBT Excluding Unusual Items,-7.5,-13.25,-15.06,-12.74,-16.15,-196.71,-40.69,-34.67,-15.11
13,Gain (Loss) on Sale of Investments,-0.44,-0.09,0.29,0.86,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,-,-0.02,0.03,-0.09,0.09,0.08,0.02,-,-
15,Other Unusual Items,-,-,0.01,-,-,3.57,-2.45,1,-
16,Pretax Income,-7.94,-13.36,-14.73,-11.97,-16.06,-193.06,-43.12,-33.68,-15.11
17,Income Tax Expense,0,0,0,0,0,0,0,0,0
18,Earnings From Continuing Operations,-7.94,-13.36,-14.73,-11.98,-16.06,-193.06,-43.12,-33.68,-15.11
19,Minority Interest in Earnings,-,0,-,-,-,-,0.39,0.32,0.23
20,Net Income,-7.94,-13.36,-14.73,-11.98,-16.06,-193.06,-42.72,-33.36,-14.88
21,Net Income to Common,-7.94,-13.36,-14.73,-11.98,-16.06,-193.06,-42.72,-33.36,-14.88
22,Shares Outstanding (Basic),489,489,488,488,488,370,228,224,224
23,Shares Outstanding (Diluted),489,489,488,488,488,370,228,224,224
24,Shares Change (YoY),0.04%,0.15%,0.19%,31.92%,113.79%,65.28%,1.91%,-,-
25,EPS (Basic),-0.02,-0.03,-0.03,-0.02,-0.03,-0.52,-0.19,-0.15,-0.07
26,EPS (Diluted),-0.02,-0.03,-0.03,-0.02,-0.03,-0.52,-0.19,-0.15,-0.07
27,Free Cash Flow,-9.1,-10.82,-15.98,-14.56,-17.12,-17.59,-15.76,-9.68,-7.01
28,Free Cash Flow Per Share,-0.02,-0.02,-0.03,-0.03,-0.04,-0.05,-0.07,-0.04,-0.03
29,Operating Margin,-294.17%,-323.48%,-328.24%,-263.63%,-508.89%,-238.43%,-725.13%,-480.46%,-1137.94%
30,Profit Margin,-214.44%,-266.08%,-281.45%,-193.32%,-499.07%,-2401.84%,-1497.51%,-1375.02%,-1786.19%
31,Free Cash Flow Margin,-245.79%,-215.49%,-305.24%,-235.01%,-531.85%,-218.86%,-552.30%,-399.05%,-841.30%
32,EBITDA,-9.65,-15.21,-16.09,-15.29,-15.29,-18.13,-19.71,-10.89,-8.72
33,D&A For EBITDA,1.24,1.03,1.09,1.05,1.09,1.03,0.98,0.76,0.76
34,EBIT,-10.9,-16.24,-17.18,-16.33,-16.38,-19.17,-20.69,-11.66,-9.48
