,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,389,316,416,648,1207,1527,4739,-,-,-
1,Market Cap Growth,-51.22%,-51.22%,-65.48%,-57.55%,-74.54%,-,-,-,-,-
2,Enterprise Value,-749,-891,-892,-808,-391,-232,6079,-,-,-
3,Last Close Price,0.74,0.60,0.79,1.23,2.29,2.90,9.00,-,-,-
4,PS Ratio,5.31,4.64,5.20,7.24,16.44,17.29,55.80,-,-,-
5,PB Ratio,0.28,0.23,0.29,0.42,0.72,0.86,2.51,-,-,-
6,P/TBV Ratio,0.24,0.24,0.30,0.43,0.75,0.89,2.58,-,-,-
7,EV/Sales Ratio,-,-,-,-,-,-,71.58,-,-,-
8,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.34,-1.24,-
9,Earnings Yield,-42.75%,-52.59%,-52.69%,-32.27%,-18.12%,-107.44%,-38.80%,-,-,-
10,FCF Yield,-39.98%,-49.18%,-50.26%,-36.90%,-20.47%,-17.83%,-5.49%,-,-,-
11,Buyback Yield / Dilution,-0.09%,-0.04%,-0.15%,-0.19%,-31.92%,-113.79%,-65.28%,-1.91%,-,-
12,Total Shareholder Return,-0.09%,-0.04%,-0.15%,-0.19%,-31.92%,-113.79%,-65.28%,-1.91%,-,-
