,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,56.62,83.56,97.28,106.76,205.11,227.21,37.62,18.79,-
1,Short-Term Investments,89.65,73.32,71.23,81.49,-,0.34,-,0.09,-
2,Trading Asset Securities,1.41,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,147.67,156.88,168.51,188.24,205.11,227.55,37.62,18.88,-
4,Cash Growth,-12.37%,-16.66%,-17.84%,-17.27%,445.25%,1105.30%,-,-,-
5,Accounts Receivable,9.14,9.99,10.34,8.62,4.24,5.71,1.88,2.96,-
6,Other Receivables,-,0.13,-,0.01,-,0.42,-,0.51,-
7,Receivables,9.14,10.12,10.34,8.64,4.24,6.13,1.88,3.47,-
8,Inventory,4.33,4.71,4.91,4.3,4.33,4.19,4.49,3.05,-
9,Other Current Assets,2.07,0.94,1.34,1.69,2.16,0.85,2.89,1.28,-
10,Total Current Assets,163.22,172.65,185.1,202.87,215.83,238.72,46.88,26.68,-
11,"Property, Plant & Equipment",4.17,4.56,3.19,3.76,3.97,4.64,4.67,4.46,-
12,Long-Term Investments,8.85,8.88,9.2,7.6,3.15,-,-,-,-
13,Other Intangible Assets,8.34,8.97,5.31,5.91,6.53,7.04,7.64,8.26,-
14,Long-Term Accounts Receivable,0.03,0.04,1.57,1.56,1.78,1.75,0.1,0.1,-
15,Other Long-Term Assets,0.19,0.71,0.27,0.25,0.51,0.66,0.47,0.38,-
16,Total Assets,184.79,195.81,204.64,221.94,231.77,252.81,59.75,39.88,-
17,Accounts Payable,0.22,0.4,0.37,0.32,0.09,0.4,0.09,0.36,-
18,Accrued Expenses,-,4.48,-,4.86,-,3.52,4.76,5.57,-
19,Short-Term Debt,0.01,0.02,0.02,0.03,0.03,0.01,0.02,3.09,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,0.64,-
21,Current Portion of Leases,1.08,1.12,0.76,0.65,0.63,0.74,0.6,0.51,-
22,Current Unearned Revenue,0.51,0.68,0.24,0.3,0.18,0.37,0.46,0.5,-
23,Other Current Liabilities,4.97,2.46,4.87,1.25,3.76,3.92,1.54,3.57,-
24,Total Current Liabilities,6.79,9.16,6.26,7.42,4.69,8.96,7.48,14.23,-
25,Long-Term Debt,-,-,-,-,-,-,208.18,146.6,-
26,Long-Term Leases,0.78,1.22,0.79,0.79,0.88,1.2,1.34,1.42,-
27,Long-Term Unearned Revenue,0.03,0.05,0.08,0.1,0,0.03,0.04,0.08,-
28,Other Long-Term Liabilities,-,-,0.18,0.18,0.2,0.2,-,-,-
29,Total Liabilities,7.6,10.44,7.3,8.48,5.77,10.39,217.03,162.32,-
30,Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-
31,Additional Paid-In Capital,593.57,593.57,593.56,593.43,592.72,592.02,-,-,-
32,Retained Earnings,-469.84,-461.9,-448.54,-435.66,-424.78,-408.72,-215.66,-172.94,-
33,Comprehensive Income & Other,53.45,53.68,52.31,55.67,58.05,59.11,58.38,52.42,-
34,Total Common Equity,177.19,185.37,197.34,213.46,226,242.42,-157.28,-120.51,-
35,Minority Interest,-0,-0,-,-,-,-,-,-1.93,-
36,Shareholders' Equity,177.19,185.37,197.34,213.46,226,242.42,-157.28,-122.44,-
37,Total Liabilities & Equity,184.79,195.81,204.64,221.94,231.77,252.81,59.75,39.88,-
38,Total Debt,1.88,2.36,1.57,1.47,1.54,1.95,210.13,152.26,-
39,Net Cash (Debt),145.8,154.53,166.94,186.77,203.57,225.6,-172.51,-133.38,-
40,Net Cash Growth,-12.67%,-17.26%,-17.99%,-17.21%,-,-,-,-,-
41,Net Cash Per Share,0.30,0.32,0.34,0.38,0.42,0.61,-0.76,-0.60,-
42,Filing Date Shares Outstanding,527.2,527.2,527.2,526.87,526.7,526.56,525.62,236.45,223.78
43,Total Common Shares Outstanding,527.2,527.2,527.2,526.87,526.7,526.56,236.45,223.78,223.78
44,Working Capital,156.43,163.49,178.84,195.45,211.14,229.75,39.4,12.46,-
45,Book Value Per Share,0.34,0.35,0.37,0.41,0.43,0.46,-0.67,-0.54,-
46,Tangible Book Value,168.85,176.4,192.03,207.55,219.47,235.38,-164.92,-128.77,-
47,Tangible Book Value Per Share,0.32,0.33,0.36,0.39,0.42,0.45,-0.70,-0.58,-
48,Machinery,-,2.91,-,2.64,-,2.08,-,1.32,-
49,Construction In Progress,-,-,-,-,-,-,-,1.63,-
50,Leasehold Improvements,-,2.96,-,2.19,-,2.32,-,0.45,-
