,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,215.41,87.83,215.06,185.66,132.24,96.34,198.76,72.36,101.16,85.2
1,Revenue Growth (YoY),0.16%,-52.69%,62.63%,92.71%,-33.47%,33.14%,96.48%,-15.07%,155.96%,111.76%
2,Cost of Revenue,190.43,63.1,190.56,163.52,100.27,69.66,169.78,40.85,71.4,58.42
3,Gross Profit,24.99,24.73,24.51,22.14,31.98,26.68,28.98,31.51,29.76,26.78
4,"Selling, General & Admin",6.17,7.48,6.36,8.27,7.48,8.48,7.39,8.4,6.56,8.5
5,Other Operating Expenses,-2.6,-0,-0.04,-0.01,-0.42,-0.14,-0.34,-0.29,-0.13,-0.4
6,Operating Expenses,3.57,8.25,6.32,9.22,7.06,9.41,7.05,9.18,6.43,9.21
7,Operating Income,21.42,16.48,18.18,12.93,24.91,17.27,21.94,22.33,23.34,17.58
8,Interest Expense,-0.03,-0.03,-0.02,-0.19,-0.22,-1.57,-1.77,-1.17,-1.19,-1.38
9,Interest & Investment Income,0.01,1.01,0.07,0.25,0,0.04,0.01,-,0.04,0.03
10,Earnings From Equity Investments,-,-,0.29,0.16,-0.75,-1.51,-0.99,-0.43,-,-
11,Currency Exchange Gain (Loss),-0,-0.34,-1.15,-0.01,-0.99,-0.04,0.27,-0.38,0.06,0.14
12,Other Non Operating Income (Expenses),-,-,-,-0.78,-,-,-,-,-,-
13,EBT Excluding Unusual Items,21.39,17.13,17.38,12.36,22.96,14.19,19.46,20.35,22.24,16.37
14,Gain (Loss) on Sale of Investments,-,4.13,-,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,-,-,-,0.02,-,0,-,-,-,0.02
16,Other Unusual Items,-,-,-,-,-,-,-,-,-,1.81
17,Pretax Income,21.39,21.26,17.38,12.37,22.96,14.19,19.46,20.35,22.24,18.2
18,Income Tax Expense,5.86,7.14,5.65,3.79,7.48,7.53,5.93,6.39,6.35,5.71
19,Earnings From Continuing Operations,15.53,14.12,11.73,8.58,15.48,6.66,13.53,13.97,15.89,12.49
20,Minority Interest in Earnings,-3.17,-3.35,-3.4,-1.69,-4.89,-3.49,-3.97,-4.51,-4.54,-4.07
21,Net Income,12.36,10.78,8.33,6.89,10.59,3.17,9.55,9.45,11.36,8.42
22,Net Income to Common,12.36,10.78,8.33,6.89,10.59,3.17,9.55,9.45,11.36,8.42
23,Net Income Growth,48.34%,56.41%,-21.30%,117.59%,10.88%,-66.50%,-15.89%,12.26%,88.28%,25.56%
24,Shares Outstanding (Basic),600,600,600,600,600,600,600,600,600,600
25,Shares Outstanding (Diluted),600,600,600,600,600,600,600,600,600,600
26,Shares Change (YoY),-,-,-,-,-,-,-,-,-,0.25%
27,EPS (Basic),0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.01
28,EPS (Diluted),0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.01
29,EPS Growth,48.34%,56.40%,-21.30%,117.60%,10.88%,-66.50%,-15.89%,12.26%,88.29%,25.25%
30,Free Cash Flow,0.09,9.9,25.76,-67.65,-26.7,165.4,9.59,-86.17,16.32,-26.9
31,Free Cash Flow Per Share,0.00,0.02,0.04,-0.11,-0.04,0.28,0.02,-0.14,0.03,-0.04
32,Operating Margin,9.94%,18.77%,8.45%,6.96%,18.84%,17.93%,11.04%,30.86%,23.07%,20.63%
33,Profit Margin,5.74%,12.27%,3.88%,3.71%,8.01%,3.29%,4.81%,13.06%,11.22%,9.88%
34,Free Cash Flow Margin,0.04%,11.27%,11.98%,-36.44%,-20.19%,171.68%,4.82%,-119.08%,16.13%,-31.57%
35,EBITDA,26.88,22.11,23.87,18.48,30.35,22.68,27.19,27.51,28.35,22.33
36,D&A For EBITDA,5.46,5.63,5.68,5.56,5.44,5.42,5.26,5.18,5.01,4.76
37,EBIT,21.42,16.48,18.18,12.93,24.91,17.27,21.94,22.33,23.34,17.58
