,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3064,2590,2730,2707,3039,2669,2552,2562,2401,2512,-,-,-,-,-,-
1,Market Cap Growth,-2.95%,-2.95%,6.98%,5.66%,26.54%,6.24%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2784,2293,2435,2332,2663,2265,2148,2127,1967,2668,-,-,-,-,-,-
3,Last Close Price,19.35,16.34,16.76,16.62,18.65,16.61,15.88,15.73,14.74,15.42,-,-,-,-,-,-
4,PE Ratio,12.82,10.95,11.83,11.77,14.47,15.57,15.16,14.95,13.86,14.57,-,-,-,-,-,-
5,PS Ratio,1.07,0.91,0.94,0.97,1.10,0.96,0.98,0.98,0.87,0.87,-,-,-,-,-,-
6,PB Ratio,1.98,1.62,1.78,1.73,1.99,1.85,1.85,1.86,1.81,1.97,-,-,-,-,-,-
7,P/TBV Ratio,1.85,1.85,2.04,1.97,2.28,2.14,2.15,2.17,2.05,2.24,-,-,-,-,-,-
8,P/FCF Ratio,36.93,31.21,-,1177.23,-,-,25.65,21.44,-,21.49,-,-,-,-,-,-
9,P/OCF Ratio,8.91,8.91,21.77,14.72,17.64,14.45,11.46,11.56,10.80,13.11,-,-,-,-,-,-
10,EV/Sales Ratio,0.98,0.81,0.84,0.84,0.97,0.81,0.83,0.81,0.71,0.93,-,-,-,-,-,-
11,EV/EBITDA Ratio,7.88,6.56,7.17,7.40,8.66,8.57,8.67,8.52,7.85,10.67,-,-,-,-,-,-
12,EV/EBIT Ratio,9.15,7.54,8.25,8.60,10.07,10.18,10.37,10.14,9.28,12.55,-,-,-,-,-,-
13,EV/FCF Ratio,33.55,27.63,-,1013.93,-,-,21.59,17.80,-,22.83,-,-,-,-,-,-
14,Debt / Equity Ratio,0.27,0.27,0.31,0.32,0.28,0.29,0.25,0.27,0.21,0.24,0.49,0.59,0.59,-,-,0.72
15,Debt / EBITDA Ratio,1.24,0.91,1.69,1.73,1.12,0.96,2.05,1.42,1.34,0.80,2.00,1.42,1.65,-,-,1.76
16,Debt / FCF Ratio,5.28,5.28,-,216.64,-,-,3.47,3.06,-,2.58,5.64,-17.18,-,-,-,-
17,Asset Turnover,1.08,1.14,0.91,0.91,1.34,1.14,1.02,1.12,1.26,-,-,-,-,-,-,
18,Inventory Turnover,5.71,5.92,6.79,4.73,4.59,7.33,6.25,4.63,4.79,4.29,-,-,-,-,-,-
19,Quick Ratio,1.26,1.26,1.45,1.60,1.63,1.69,1.44,1.36,1.41,1.74,0.87,-,0.81,-,-,-
20,Current Ratio,1.63,1.63,1.86,2.06,2.13,2.14,1.84,1.80,1.90,2.36,1.50,-,1.38,-,-,-
21,Return on Equity (ROE),17.41%,10.95%,12.56%,22.64%,17.97%,11.98%,8.73%,14.36%,23.83%,25.76%,19.32%,-,-,-,-,
22,Return on Assets (ROA),9.38%,4.49%,5.49%,7.74%,9.91%,2.82%,5.73%,4.45%,10.18%,-,-,-,-,-,-,
23,Return on Capital (ROIC),13.49%,6.33%,7.57%,10.84%,13.92%,3.96%,8.12%,6.43%,16.08%,7.29%,14.03%,-,-,-,-,
24,Return on Capital Employed (ROCE),18.33%,18.33%,16.51%,14.82%,14.77%,13.00%,14.27%,14.77%,15.52%,13.89%,21.31%,-,21.87%,-,-,-
25,Earnings Yield,7.72%,9.13%,8.45%,8.50%,6.91%,6.42%,6.60%,6.69%,7.22%,6.87%,-,-,-,-,-,-
26,FCF Yield,2.71%,3.20%,-2.92%,0.08%,0.67%,0.73%,3.90%,4.66%,5.06%,4.65%,-,-,-,-,-,-
27,Dividend Yield,0.70%,-,3.19%,-,2.49%,-,-,-,1.45%,-,-,-,-,-,-,-
28,Payout Ratio,36.52%,105.17%,51.91%,7.39%,-,2.97%,112.26%,18.70%,28.77%,-,14.75%,9.04%,40.09%,-,15.28%,15.28%
29,Buyback Yield / Dilution,3.41%,-2.18%,-1.74%,1.02%,13.34%,-7.49%,-32.44%,-36.55%,-54.85%,-21.47%,-0.10%,0.10%,-,-,-,-
30,Total Shareholder Return,4.12%,-2.18%,1.44%,1.02%,15.83%,-7.49%,-32.44%,-36.55%,-53.39%,-21.47%,-0.10%,0.10%,-,-,-,-
