,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,479.34,597.91,669.7,638.98,824,768.64,792.75,688.65,771.87,224.47,-,159.5,-,-,-
1,Trading Asset Securities,294.01,228.01,176.9,183.96,40,43.5,45.2,44.55,0.05,0.53,-,0.54,-,-,-
2,Cash & Short-Term Investments,773.36,825.92,846.6,822.94,864.01,812.14,837.95,733.21,771.92,225,160.04,160.04,-,-,256.04
3,Cash Growth,-10.49%,1.70%,1.03%,12.24%,11.93%,260.95%,423.58%,358.14%,-,-,-37.49%,-,-,-,-
4,Accounts Receivable,737.97,804.46,689.94,651.54,646.24,557.16,530.95,541.6,534.67,533.34,-,638.23,-,-,-
5,Other Receivables,32.65,30.61,45.43,38.71,33.16,31.11,37.14,23.71,29.34,28.96,-,31.83,-,-,-
6,Receivables,770.61,835.08,735.37,690.25,679.4,588.28,568.1,565.31,564.01,562.3,-,670.06,-,-,-
7,Inventory,407.84,398.8,402.33,438.69,377.36,348.5,410.96,421.35,445.63,529.84,-,547.46,-,-,-
8,Other Current Assets,47.32,69.22,47.75,27.72,36.27,35.82,36.62,23.68,22.88,37.11,-,33.37,-,-,-
9,Total Current Assets,1999,2129,2032,1980,1957,1785,1854,1744,1804,1354,-,1411,-,-,-
10,"Property, Plant & Equipment",689.68,596.47,575.6,536.08,505.59,478.74,443.18,398.37,353.22,363.21,-,355.06,-,-,-
11,Long-Term Investments,20,20,20,20.09,-,-,-,-,-,-,-,-,-,-,-
12,Goodwill,26.37,26.37,26.37,26.37,11.82,11.82,11.81,-,-,-,-,-,-,-,-
13,Other Intangible Assets,117.54,114.88,115.8,116.68,118.09,118.98,119.86,115.47,118.98,119.86,-,121.47,-,-,-
14,Long-Term Deferred Tax Assets,20.51,18.93,24.06,17.48,16.46,16.46,13.1,16.32,12.99,20.94,-,18.45,-,-,-
15,Long-Term Deferred Charges,1.87,2.12,2.63,1.61,6.76,2.51,0.86,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,11.74,25.09,20.33,20.25,9.84,11.04,9.79,10.62,7.55,3.75,-,6.96,-,-,-
17,Total Assets,2887,2933,2817,2718,2626,2424,2452,2284,2297,1862,-,1913,-,-,-
18,Accounts Payable,649.78,593.52,583.12,530.74,591.35,504.06,534.06,454.6,547.5,573.54,-,639.16,-,-,-
19,Accrued Expenses,22.66,47.99,14.84,105.04,24.4,60.62,18.51,108.87,31.01,56.71,-,84.07,-,-,-
20,Short-Term Debt,208.64,244.31,262.73,182.57,182.67,105.52,163.56,68,94.04,139.82,-,162.12,-,-,-
21,Current Portion of Long-Term Debt,-,2.16,-,2.16,12.22,200.16,202.36,200.15,-,-,-,-,-,-,-
22,Current Portion of Leases,211.91,14.14,16,13.58,-,8.88,-,2.67,5.4,5.1,-,4.7,-,-,-
23,Current Income Taxes Payable,34.16,19.47,33.62,28.69,38.22,15.49,24.1,15.25,29.71,17.61,-,10.53,-,-,-
24,Current Unearned Revenue,45.52,93.51,38.39,30.59,42.1,33.97,57.71,33.52,34.14,32.08,-,32.32,-,-,-
25,Other Current Liabilities,54.38,129.8,39.11,34.41,21.77,43.24,31.59,34.94,23.94,77.08,-,90.86,-,-,-
26,Total Current Liabilities,1227,1145,987.8,927.76,912.73,971.94,1032,918.01,765.73,901.95,-,1024,-,-,-
27,Long-Term Debt,-,198,198,198,200,-,-,-,200.19,200.19,-,200.21,-,-,-
28,Long-Term Leases,17.84,18.15,21.43,24.72,27.13,30.72,-,1.4,1.74,2,-,4.95,-,-,-
29,Long-Term Unearned Revenue,3.66,3.69,3.53,3.75,3.98,4.2,4.43,4.66,4.97,5.11,-,5.56,-,-,-
