,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,809.35,795.64,631.18,556.4,867.69,674.94,601.74,593.47,685,699.08,736.35,706.75,895.43,702.59,702.59
1,Other Revenue,-22.88,22.88,-,50.89,-21.92,21.92,-,48.37,-31.5,31.5,-,48.37,-29.54,14.77,14.77
2,Revenue,786.48,818.51,631.18,607.29,845.77,696.86,601.74,641.84,653.51,730.57,736.35,755.13,865.89,717.36,717.36
3,Revenue Growth (YoY),-7.01%,17.46%,4.89%,-5.38%,29.42%,-4.61%,-18.28%,-15.00%,-24.53%,1.84%,2.65%,-,-,-,-
4,Cost of Revenue,596.83,679.75,497.04,467.89,665.19,593.21,482.03,518.87,523.51,630.13,616.57,635.18,715.89,613.23,613.23
5,Gross Profit,189.64,138.76,134.14,139.4,180.59,103.65,119.71,122.97,129.99,100.44,119.78,119.94,150,104.13,104.13
6,"Selling, General & Admin",62.4,55.66,52.83,30.62,52.43,51.11,49.64,46.29,36.33,42.66,46.06,41.73,42.38,40.93,40.93
7,Research & Development,8.49,6.15,5.55,8.36,5.92,6.45,4.48,8.71,8.52,10.41,8.87,15.23,21.5,11.36,11.36
8,Other Operating Expenses,14.3,19.98,13.22,13.93,19.21,17.98,11.56,19.9,3.1,17.32,13.52,18.86,6.71,13.63,13.63
9,Operating Expenses,80.49,87.15,73.31,56.7,80.51,76.17,65.46,82.16,45.29,70.41,63.34,78.46,73.33,65.99,65.99
10,Operating Income,109.15,51.61,60.82,82.7,100.08,27.48,54.25,40.82,84.7,30.03,56.44,41.48,76.66,38.14,38.14
11,Interest Expense,-3.52,-2.17,-4.11,-6.26,-2.16,-,-5.68,-1.39,-4.12,-3.74,-3.49,-5.33,-3.95,-4.26,-4.26
12,Interest & Investment Income,3.68,5.21,2.2,-,5.57,6.01,3.67,4.26,0.21,0.95,0.17,-,0.09,2.21,2.21
13,Currency Exchange Gain (Loss),-12.06,12.06,-,8.46,-15.55,15.55,-,28.19,-15.85,15.85,-,-6.54,-0.05,0.03,0.03
14,Other Non Operating Income (Expenses),6.13,-9.58,5.2,-9.28,6.38,0.86,-6.85,-37.78,35.83,2.14,-5.94,-5.07,2.16,-1.24,-1.24
15,EBT Excluding Unusual Items,103.37,57.12,64.12,75.62,94.32,49.91,45.38,34.1,100.77,45.22,47.18,24.54,74.9,34.86,34.86
16,Gain (Loss) on Sale of Investments,-0.1,0.6,-0.41,3.42,1.87,-5.89,0.64,0.5,-2.78,-0.86,-0.43,3.11,-0.61,-0.98,-0.98
17,Gain (Loss) on Sale of Assets,0.09,0.01,-,-0.81,0,0.06,-,0.78,-2.31,-0.12,2.69,-0.4,0.12,0.06,0.06
18,Asset Writedown,-12.81,7.63,-7.63,13.34,-13.34,4.78,-4.78,15.64,-15.64,6.58,-6.58,13.45,-13.45,-,-
19,Other Unusual Items,-0.81,0.81,-,16.37,-0.11,0.11,-,8.81,0.06,-0.06,-,11.59,0.04,-0.02,-0.02
20,Pretax Income,89.74,66.16,56.08,107.94,82.75,48.96,41.25,59.83,80.1,50.77,42.86,52.29,61,33.92,33.92
21,Income Tax Expense,21.59,23.73,7.47,23.8,19.23,7.62,11.77,13.15,21,7.6,12.26,7.7,14.02,7.16,7.16
22,Earnings From Continuing Operations,68.15,42.43,48.6,84.14,63.51,41.34,29.48,46.68,59.11,43.17,30.6,44.59,46.98,26.76,26.76
23,Minority Interest in Earnings,-1.89,-3.12,-1.37,-0.52,-2.97,-2.74,-2.21,-1.73,-1.55,-1.5,-1.47,-0.48,-1.29,-0.58,-0.58
24,Net Income,66.26,39.32,47.23,83.62,60.54,38.6,27.26,44.95,57.55,41.67,29.12,44.11,45.69,26.18,26.18
25,Net Income to Common,66.26,39.32,47.23,83.62,60.54,38.6,27.26,44.95,57.55,41.67,29.12,44.11,45.69,26.18,26.18
26,Net Income Growth,9.45%,1.85%,73.25%,86.06%,5.19%,-7.36%,-6.38%,1.90%,25.96%,59.18%,11.24%,-,-,-,-
27,Shares Outstanding (Basic),158,157,157,157,155,155,159,181,144,117,116,117,118,117,117
28,Shares Outstanding (Diluted),158,157,157,157,155,155,159,181,144,117,116,117,118,117,117
29,Shares Change (YoY),2.18%,1.74%,-1.02%,-13.34%,7.49%,32.44%,36.55%,54.85%,21.47%,0.10%,-0.10%,-,-,-,-
30,EPS (Basic),0.42,0.25,0.30,0.53,0.39,0.25,0.17,0.25,0.40,0.36,0.25,0.38,0.39,0.22,0.22
31,EPS (Diluted),0.42,0.25,0.30,0.53,0.39,0.25,0.17,0.25,0.40,0.36,0.25,0.38,0.39,0.22,0.22
32,EPS Growth,7.12%,0.10%,75.03%,114.70%,-2.14%,-30.05%,-31.44%,-34.19%,3.69%,59.02%,11.36%,-,-,-,-
33,Free Cash Flow,135.99,-39.66,16.15,-29.49,-26.61,42.25,34.1,-30.16,53.3,62.28,36.09,-34.79,-2.05,-20.9,-20.9
34,Free Cash Flow Per Share,0.86,-0.25,0.10,-0.19,-0.17,0.27,0.21,-0.17,0.37,0.53,0.31,-0.30,-0.02,-0.18,-0.18
35,Dividend Per Share,-,0.070,-,0.464,-,-,-,0.214,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,116.66%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,24.11%,16.95%,21.25%,22.95%,21.35%,14.87%,19.89%,19.16%,19.89%,13.75%,16.27%,15.88%,17.32%,14.52%,14.52%
38,Operating Margin,13.88%,6.30%,9.64%,13.62%,11.83%,3.94%,9.01%,6.36%,12.96%,4.11%,7.67%,5.49%,8.85%,5.32%,5.32%
39,Profit Margin,8.43%,4.80%,7.48%,13.77%,7.16%,5.54%,4.53%,7.00%,8.81%,5.70%,3.95%,5.84%,5.28%,3.65%,3.65%
