,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,42522,36968,39410,38541,38004,36167,42013,40754,24351,21341,-,-,-,-,-,-
1,Market Cap Growth,2.22%,2.22%,-6.20%,-5.43%,56.07%,69.47%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,49270,43684,45359,40104,39567,36054,41458,39612,22902,21210,-,-,-,-,-,-
3,Last Close Price,102.22,88.63,94.49,93.10,91.80,87.36,101.49,98.44,58.82,51.55,-,-,-,-,-,-
4,PE Ratio,70.37,-,108.89,-236.17,-45.91,-,-,-,-,-,-,-,-,-,-,-
5,Forward PE,34.51,29.49,27.31,71.81,64.82,-,282.67,102.29,45.54,-,-,-,-,-,-,-
6,PS Ratio,2.50,2.20,2.55,2.94,3.75,4.37,5.89,5.45,2.92,2.45,-,-,-,-,-,-
7,PB Ratio,6.44,5.26,5.47,5.58,5.89,6.11,6.84,6.45,3.67,3.14,-,-,-,-,-,-
8,P/TBV Ratio,6.98,6.98,7.21,7.47,8.11,6.40,7.16,6.75,3.83,3.27,-,-,-,-,-,-
9,P/OCF Ratio,-,-16.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.93,2.60,2.93,3.06,3.91,4.35,5.81,5.29,2.75,2.44,-,-,-,-,-,-
11,EV/EBITDA Ratio,46.43,40.75,65.27,-229.99,-,-32.82,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,54.15,47.15,80.92,-154.31,-,-31.04,-,-,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,1.08,1.08,1.04,0.93,0.83,0.57,0.33,0.22,0.20,0.16,0.22,0.17,0.17,-,0.15,0.15
14,Debt / EBITDA Ratio,7.16,4.55,5.98,2.68,-,20.73,-,-,-,-,1.07,0.84,5.05,-,0.40,0.40
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,3.73,-,-,-,-,-
16,Asset Turnover,0.98,1.09,1.20,1.16,1.14,1.00,0.68,0.76,0.85,-,-,-,-,1.87,-,
17,Inventory Turnover,2.16,1.58,1.83,2.00,2.42,2.24,2.57,1.58,1.91,1.57,-,-,-,-,2.49,-
18,Quick Ratio,0.40,0.40,0.37,0.39,0.52,0.96,1.37,1.71,1.70,1.54,0.90,-,0.71,-,0.79,0.79
19,Current Ratio,1.58,1.58,1.64,1.67,1.84,2.51,3.10,3.89,3.67,3.42,2.62,-,2.87,-,3.06,3.06
20,Return on Equity (ROE),-1.74%,11.86%,22.93%,2.95%,-19.03%,-20.25%,-17.32%,-8.13%,-11.06%,18.07%,14.83%,-,-,33.43%,-,
21,Return on Assets (ROA),5.67%,3.45%,9.61%,-5.52%,0.65%,-16.59%,-5.85%,-10.99%,-0.58%,-,-,-,-,16.15%,-,
22,Return on Capital (ROIC),6.69%,4.15%,11.38%,-6.40%,0.74%,-18.48%,-6.49%,-12.45%,-0.68%,10.41%,10.45%,-,-,19.62%,-,
23,Return on Capital Employed (ROCE),9.67%,9.85%,5.71%,-2.81%,-,-15.50%,-,-,-,-,16.73%,-,25.03%,-,17.76%,8.88%
24,Earnings Yield,1.44%,1.66%,0.92%,-0.42%,-2.18%,-2.82%,-2.13%,-0.91%,0.30%,1.29%,-,-,-,-,-,-
25,FCF Yield,-7.64%,-8.78%,-10.58%,-9.76%,-8.68%,-6.15%,-4.58%,-2.02%,-2.71%,-1.87%,-,-,-,-,-,-
26,Dividend Yield,0.49%,-,0.26%,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Payout Ratio,38.60%,-,35.20%,14.22%,58.36%,-,-,-,-,-,2.49%,1.34%,3.87%,3.90%,8.49%,8.49%
28,Buyback Yield / Dilution,-2.21%,-0.75%,-1.95%,-0.12%,0.35%,-7.66%,-11.58%,-11.95%,-10.62%,-3.16%,-0.10%,0.88%,-,-,-,-
29,Total Shareholder Return,-1.72%,-0.75%,-1.69%,-0.12%,0.35%,-7.66%,-11.58%,-11.95%,-10.62%,-3.16%,-0.10%,0.88%,-,-,-,-
