,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,4230,4585,4453,3546,2873,2225,1482,1702,1724,2573,2330,2070,2377,2651,2651
1,Other Revenue,-1.05,1.05,-,0.15,-0.81,0.81,-,0.38,-0.37,0.37,-,0.74,-0.28,0.14,0.14
2,Revenue,4229,4586,4453,3546,2872,2226,1482,1702,1723,2574,2330,2070,2377,2651,2651
3,Revenue Growth (YoY),47.28%,106.05%,200.54%,108.31%,66.62%,-13.53%,-36.42%,-17.77%,-27.49%,-2.91%,-12.09%,-,-,-,-
4,Cost of Revenue,3290,3753,3367,3246,2483,2460,1463,1857,1518,2147,1937,1810,1835,2111,2111
5,Gross Profit,939.32,832.86,1086,300.21,388.27,-234.5,18.82,-154.5,205.95,426.74,393.24,260.53,542.31,540.13,540.13
6,"Selling, General & Admin",337.85,348.44,301.41,374.48,213.76,203.04,130.66,131.33,134.96,111.55,100.81,127.29,107.19,105.25,105.25
7,Research & Development,220.46,253.4,222.05,193.7,152.98,153.03,93.94,93.88,96.03,88.02,78.1,114.21,58.17,75.04,75.04
8,Other Operating Expenses,-12.06,-1.39,-9.93,3.04,-5.07,-4.1,-1.87,12.34,-2.68,-2.72,0.23,19.95,0.31,-6.52,-6.52
9,Operating Expenses,547.44,600.3,514.08,570.3,362.29,353.39,222.75,241.34,224.63,196.92,179.26,254.93,172.18,173.71,173.71
10,Operating Income,391.88,232.55,572.12,-270.09,25.98,-587.9,-203.92,-395.84,-18.68,229.82,213.99,5.6,370.13,366.42,366.42
11,Interest Expense,-71.09,-77.39,-54.28,-36.39,-21.06,-15.64,-9.05,-12.16,-9.29,-3.99,-4.92,-3.11,-3.05,-2.9,-2.9
12,Interest & Investment Income,9,10.14,5.82,6.87,10.61,9.33,7.78,15.79,7.5,1.22,0.92,0.72,0.54,12.99,12.99
