,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1178,1171,900.25,1219,1827,1951,1453,1917,1755,1206,-,608.68,-,602.59,602.59
1,Trading Asset Securities,106.77,-,-,-,-,190.62,522.87,561.88,810,-,-,-,-,-,-
2,Cash & Short-Term Investments,1285,1171,900.25,1219,1827,2141,1975,2479,2565,1206,608.68,608.68,-,602.59,602.59
3,Cash Growth,-29.69%,-45.30%,-54.43%,-50.83%,-28.78%,77.62%,224.54%,307.28%,-,100.07%,1.01%,-,-,-,-
4,Accounts Receivable,1644,1647,1738,1345,1335,1105,943.22,913.72,806.69,790.59,-,615.64,-,610.45,610.45
5,Other Receivables,57.33,37.04,56.4,19.97,22.59,4.41,21.81,4.43,23.66,5.07,-,6.35,-,3.27,3.27
6,Receivables,1706,1689,1798,1368,1357,1111,965.03,918.15,830.35,795.66,-,621.99,-,613.72,613.72
7,Inventory,7815,8833,7568,5893,4850,4000,3672,3744,4020,3735,-,3592,-,3393,3393
8,Prepaid Expenses,-,41.46,-,37.76,-,11.5,-,17.03,-,6.97,-,0.54,-,0.32,0.32
9,Other Current Assets,1095,1045,1153,547.29,260.41,102.17,80.42,178.04,103.29,96.3,-,138.82,-,113.16,113.16
10,Total Current Assets,11901,12780,11419,9065,8295,7366,6693,7336,7519,5839,-,4963,-,4723,4723
11,"Property, Plant & Equipment",2404,2217,2082,2019,831.31,768.27,715.06,644.7,589.59,529.89,-,480.58,-,399.4,399.4
12,Long-Term Investments,453.69,451.04,419.04,419.04,384.35,384.44,382.45,382.62,351.17,277.93,-,286.91,-,144.92,144.92
13,Goodwill,868.66,868.66,868.66,868.66,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,433.21,443.86,453.73,465.04,268.37,274.54,278.26,284.02,276.57,278.56,-,279.16,-,246.28,246.28
15,Long-Term Deferred Tax Assets,464.7,439.41,410.64,446.49,399.68,334.28,258.75,177.08,155.44,106.64,-,77.39,-,49.88,49.88
16,Long-Term Deferred Charges,108.54,98.2,101,80.43,8.26,8.69,8.75,9.73,10.48,5.58,-,4.07,-,1.26,1.26
17,Other Long-Term Assets,275.18,310.71,331.16,302.06,616.87,124.24,115.24,129.13,150.74,91.8,-,64.6,-,108.26,108.26
18,Total Assets,16927,17628,16101,13680,10804,9266,8452,8964,9053,7129,-,6155,-,5673,5673
19,Accounts Payable,803.44,1343,2028,1147,1291,892.39,547.25,662.5,746.21,847.41,-,693.57,-,650.1,650.1
20,Accrued Expenses,393.57,251.68,177.39,167.05,43.98,50.44,38.35,48.64,46.1,46.26,-,92.94,-,71.34,71.34
21,Short-Term Debt,4412,4284,3621,2916,1715,1257,1076,1075,1107,1062,-,725.93,-,574.25,574.25
22,Current Portion of Long-Term Debt,954.78,681.29,589.54,254.71,-,80.97,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,-,23.02,-,16.35,170.46,8.99,4.81,6.89,8.85,12.24,-,15.31,-,14.02,14.02
24,Current Income Taxes Payable,-,87.21,50.78,5.42,13.62,7.18,15.2,149.9,238,196.69,-,125.66,-,126.92,126.92
25,Current Unearned Revenue,60.02,50.47,46.61,65.84,34.2,22.62,14.69,15.61,13.89,17.25,-,38.28,-,49.02,49.02
26,Other Current Liabilities,893.65,1085,332.82,360.55,40.51,53.35,23.45,38.66,38.68,50.24,-,35.3,-,60.23,60.23
27,Total Current Liabilities,7517,7806,6846,4933,3309,2373,1720,1997,2199,2232,-,1727,-,1546,1546
28,Long-Term Debt,2167,2401,2146,2092,1495,670.25,333.31,250.23,-,-,-,-,-,-,-
29,Long-Term Leases,67,71.63,64.88,68.2,9.35,11.33,5.69,4.79,0.35,0.65,-,4.87,-,10.92,10.92
30,Long-Term Unearned Revenue,16.48,18.07,13.21,14.58,3.88,4.04,4.2,4.36,4.74,4.9,-,5.23,-,5.57,5.57
31,Long-Term Deferred Tax Liabilities,97.85,99.14,97.34,99.97,46.87,47.7,54.65,52.06,35.05,34.47,-,31.25,-,28.96,28.96
32,Other Long-Term Liabilities,27.89,24.94,23.27,22.05,19.51,17.45,15.57,16.17,15.38,15.62,-,13.29,-,11.22,11.22
33,Total Liabilities,9893,10420,9191,7230,4883,3124,2134,2325,2254,2287,-,1782,-,1603,1603
34,Common Stock,415.98,415.98,412.86,412.86,412.86,412.86,412.86,412.86,412.86,370.86,-,370.86,-,370.86,370.86
35,Additional Paid-In Capital,4370,4328,4162,4078,3998,3923,3879,3879,3879,1736,-,1736,-,1736,1736
36,Retained Earnings,1840,1981,1766,1382,1327,1614,1929,2210,2346,2705,-,2335,-,2002,2002
37,Comprehensive Income & Other,-26.02,55.54,142.06,148.59,182.72,192.02,96.88,137.01,160.51,29.83,-,-68.53,-,-38.99,-38.99
38,Total Common Equity,6601,6781,6483,6021,5920,6142,6318,6639,6799,4842,4374,4374,-,4070,4070
39,Minority Interest,432.58,426.78,427.12,428.28,-,-,-,-,-,-,-,-,-,-,-
40,Shareholders' Equity,7033,7207,6910,6449,5920,6142,6318,6639,6799,4842,4374,4374,-,4070,4070
41,Total Liabilities & Equity,16927,17628,16101,13680,10804,9266,8452,8964,9053,7129,-,6155,-,5673,5673
42,Total Debt,7601,7460,6422,5348,3390,2029,1420,1337,1116,1074,746.1,746.1,-,599.19,599.19
43,Net Cash (Debt),-6316,-6289,-5522,-4129,-1563,112.53,555.27,1142,1449,131.2,-137.42,-137.42,-,3.4,3.4
44,Net Cash Growth,-,-,-,-,-,-14.23%,-,-,-,3758.39%,-,-,-,-,-
45,Net Cash Per Share,-15.29,-14.86,-13.37,-10.08,-3.81,0.27,1.35,2.78,3.81,0.35,-0.37,-0.37,-,0.01,0.01
46,Filing Date Shares Outstanding,415.98,415.98,412.86,412.86,412.86,412.86,412.86,412.86,412.86,412.86,368.5,370.86,369.07,370.86,370.86
47,Total Common Shares Outstanding,415.98,415.98,412.86,412.86,412.86,412.86,412.86,412.86,412.86,370.86,368.5,370.86,369.07,370.86,370.86
48,Working Capital,4384,4974,4573,4132,4987,4993,4973,5339,5320,3607,-,3236,-,3177,3177
