,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,117,132,122,130,123,210,249,276,231,258,261
1,Market Cap Growth,1.38%,1.38%,-0.49%,-38.00%,-50.60%,-23.91%,7.79%,6.98%,-11.49%,8.86%,27.94%
2,Enterprise Value,0,40,8,-22,-8,97,142,160,147,226,220
3,Last Close Price,0.20,0.22,0.20,0.21,0.18,0.31,0.36,0.40,0.29,0.33,0.33
4,PE Ratio,-,-,-,5.76,4.97,7.88,11.27,6.29,3.13,5.10,12.61
5,PS Ratio,0.24,0.28,0.26,0.28,0.27,0.45,0.53,0.54,0.44,0.47,0.46
6,PB Ratio,0.59,0.66,0.58,0.61,0.58,1.04,1.27,1.50,1.11,1.47,1.94
7,P/TBV Ratio,0.66,0.66,0.58,0.61,0.58,1.04,1.27,1.50,1.11,1.47,1.94
8,P/FCF Ratio,-,-7.28,-,-,2.61,8.03,-,4.09,2.74,5.89,-
9,P/OCF Ratio,14.48,14.48,-,-,2.42,5.96,6.47,3.98,2.46,5.35,-
10,EV/Sales Ratio,0.00,0.08,0.02,-,-,0.21,0.30,0.31,0.28,0.41,0.39
11,EV/EBITDA Ratio,-,-,-,-,-,2.88,4.68,5.91,5.93,8.21,7.44
12,EV/EBIT Ratio,-,-,-,-,-,3.35,5.65,7.07,6.96,9.61,8.48
13,EV/FCF Ratio,-0.02,-2.22,-,-,-,3.70,-,2.37,1.74,5.16,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.07
15,Debt / FCF Ratio,-,-0.07,-,-,0.05,0.14,-,0.08,0.07,0.17,-
16,Return on Capital Employed (ROCE),-,-,-,10.64%,11.70%,13.46%,12.08%,11.36%,9.42%,12.39%,17.45%
17,Earnings Yield,-8.17%,-7.24%,8.90%,17.36%,20.12%,12.69%,8.87%,15.90%,31.95%,19.62%,7.93%
18,FCF Yield,-15.50%,-13.74%,-41.77%,13.12%,38.35%,12.46%,13.35%,24.43%,36.54%,16.99%,7.38%
19,Buyback Yield / Dilution,-,-,-,0.00%,0.00%,-0.00%,0.00%,0.00%,-0.00%,-0.00%,
20,Total Shareholder Return,3.73%,-,-,-,0.00%,0.00%,-0.00%,0.00%,0.00%,-0.00%,-0.00%
