,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,732.27,1007,982.68,994.91,1071,1225,-,90.21,-,62.09,62.09
1,Trading Asset Securities,267.43,30.26,30.09,90.1,0.1,0.1,-,0.11,-,0.16,0.16
2,Cash & Short-Term Investments,999.71,1038,1013,1085,1071,1225,90.32,90.32,-,62.24,62.24
3,Cash Growth,-6.65%,-15.29%,1021.32%,1101.31%,-,1868.01%,45.11%,-,-,-,-
4,Accounts Receivable,436.78,418.66,382.25,425.65,411.3,337.33,-,314.93,-,304.1,304.1
5,Other Receivables,7.47,9.81,0.84,0.62,1.46,1.16,-,0.7,-,1.19,1.19
6,Receivables,444.25,428.46,383.09,426.28,412.76,338.49,-,315.62,-,305.29,305.29
7,Inventory,345.67,308.44,256.23,209.13,257.11,229.57,-,231.13,-,169.29,169.29
8,Prepaid Expenses,-,-,-,0.05,-,0.14,-,-,-,0.09,0.09
9,Other Current Assets,28.1,17.33,8.12,4.86,7.79,3.81,-,1.14,-,5.84,5.84
10,Total Current Assets,1818,1792,1660,1725,1749,1797,-,638.21,-,542.75,542.75
11,"Property, Plant & Equipment",460.18,406.46,361.98,351.96,325.53,300.03,-,281.39,-,253.49,253.49
12,Other Intangible Assets,62.84,61.08,40.13,38.84,33.69,33.33,-,33.23,-,33.5,33.5
13,Long-Term Deferred Tax Assets,5.35,6.19,6.52,6.7,9.58,9.78,-,9.04,-,7.14,7.14
14,Long-Term Deferred Charges,5.73,5.57,2.24,1.8,2.45,2.84,-,3.27,-,2.18,2.18
15,Other Long-Term Assets,114.95,190.13,191.69,174.22,47.57,48.12,-,25.5,-,15.09,15.09
16,Total Assets,2467,2461,2263,2299,2167,2191,-,990.64,-,854.17,854.17
17,Accounts Payable,250.53,255.01,192.02,223.87,207.91,211.28,-,252.46,-,195.48,195.48
18,Accrued Expenses,13.21,18.67,23.23,30.46,22.47,15.1,-,27.16,-,13.12,13.12
19,Short-Term Debt,250,160,34.9,70,7.5,44.5,-,42.5,-,48,48
20,Current Portion of Long-Term Debt,-,-,-,-,4.53,16,-,11,-,14,14
21,Current Portion of Leases,4.12,4.75,0.44,1.14,-,3.93,-,4,-,3.78,3.78
22,Current Income Taxes Payable,2.99,2.11,14.02,9.44,-,6.4,-,16.6,-,9.67,9.67
23,Current Unearned Revenue,0.32,0.32,1.14,1.72,1.2,1.68,-,0.29,-,0.17,0.17
24,Other Current Liabilities,5.76,105.7,5.88,6.12,5.49,5.8,-,6.05,-,5.98,5.98
25,Total Current Liabilities,526.94,546.56,271.64,342.75,249.09,304.69,-,360.07,-,290.2,290.2
26,Long-Term Debt,-,-,-,-,-,-,-,7,-,29.5,29.5
27,Long-Term Leases,5.26,5.6,11.09,0.57,2.71,4.24,-,3.11,-,3.72,3.72
28,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,0.23,0.23
29,Total Liabilities,532.19,552.17,282.72,343.32,251.8,308.94,-,370.18,-,323.65,323.65
30,Common Stock,119.94,119.94,100.04,100.04,100.04,100.04,-,75.03,-,75.03,75.03
31,Additional Paid-In Capital,1216,1216,1236,1236,1236,1236,-,76.36,-,76.36,76.36
32,Retained Earnings,628.89,591.21,652.34,619.83,579.87,546.42,-,469.07,-,379.14,379.14
33,Treasury Stock,-30.01,-17.76,-8.01,-,-,-,-,-,-,-,-
34,Shareholders' Equity,1935,1909,1980,1956,1916,1882,620.46,620.46,-,530.52,530.52
35,Total Liabilities & Equity,2467,2461,2263,2299,2167,2191,-,990.64,-,854.17,854.17
36,Total Debt,259.38,170.35,46.43,71.71,14.74,68.67,67.61,67.61,-,99,99
37,Net Cash (Debt),740.32,867.33,966.34,1013,1056,1156,22.71,22.71,-,-36.76,-36.76
38,Net Cash Growth,-29.90%,-24.99%,4155.13%,4361.91%,-,-,-,-,-,-,-
39,Net Cash Per Share,6.29,7.10,8.17,8.39,8.83,12.75,0.25,0.25,-,-0.41,-0.41
40,Filing Date Shares Outstanding,118.84,119.41,119.78,120.05,120.05,120.05,89.51,90.04,90.34,90.04,90.04
41,Total Common Shares Outstanding,118.84,119.41,119.78,120.05,120.05,120.05,89.51,90.04,90.34,90.04,90.04
42,Working Capital,1291,1245,1389,1383,1499,1492,-,278.14,-,252.56,252.56
43,Book Value Per Share,16.28,15.99,16.53,16.29,15.96,15.68,6.89,6.89,-,5.89,5.89
44,Tangible Book Value,1872,1848,1940,1917,1882,1849,587.23,587.23,-,497.02,497.02
45,Tangible Book Value Per Share,15.75,15.48,16.20,15.97,15.68,15.40,6.52,6.52,-,5.52,5.52
46,Buildings,-,147.23,-,146.73,-,143.86,-,142.1,-,8.43,8.43
47,Machinery,-,330.03,-,294.55,-,246.62,-,207.72,-,178.35,178.35
48,Construction In Progress,-,70.61,-,41.42,-,6.6,-,14.74,-,146.08,146.08
