,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,311.74,296.21,230.58,310.06,267.01,189.85,221.38,271.79,202.14,180.64,180.64
1,Other Revenue,-2.26,2.26,-,22.23,-18.91,18.91,-,13.98,-0.12,0.06,0.06
2,Revenue,309.48,298.47,230.58,332.29,248.1,208.76,221.38,285.77,202.02,180.69,180.69
3,Revenue Growth (YoY),24.74%,42.98%,4.16%,16.28%,22.81%,15.53%,22.51%,-,-,-,-
4,Cost of Revenue,239.43,233.61,167.67,261.44,177.64,139,151.61,195.24,130.68,123.92,123.92
5,Gross Profit,70.05,64.85,62.91,70.85,70.46,69.75,69.76,90.53,71.34,56.78,56.78
6,"Selling, General & Admin",20,14.72,17.23,31.3,25.33,14.14,17.15,21.95,16.06,12.21,12.21
7,Research & Development,17.58,14.49,12.82,14.25,11.17,15.51,10.36,16.03,8.15,7.12,7.12
8,Other Operating Expenses,-6.9,1.13,1.61,-5.22,0.49,-11.22,1.55,3.37,0.12,0.98,0.98
9,Operating Expenses,29.54,34.49,31.5,38.34,37.56,19.5,32.62,41.68,24.26,20.03,20.03
10,Operating Income,40.51,30.36,31.41,32.51,32.9,50.26,37.14,48.85,47.08,36.75,36.75
11,Interest Expense,-,-1.4,-0.04,-0.03,-0.21,-0.57,-0.47,-1.83,-0.09,-0.56,-0.56
12,Interest & Investment Income,1.41,14.25,2.19,9.13,2.79,0.43,-,0.24,0.63,0.07,0.07
13,Currency Exchange Gain (Loss),-0,0,-,-0.04,0.01,-0.01,-,-0.01,-0.02,0.01,0.01
14,Other Non Operating Income (Expenses),2.54,0.07,-0.24,-3.04,1.79,-0.38,0.01,0.65,-1.03,0.11,0.11
15,EBT Excluding Unusual Items,44.46,43.28,33.31,38.54,37.29,49.72,36.68,47.91,46.58,36.38,36.38
16,Gain (Loss) on Sale of Investments,1.21,-1.16,-0.01,-1.88,-0.09,-0.93,-0.05,-1.08,-0.02,-0.04,-0.04
17,Gain (Loss) on Sale of Assets,0.01,0.13,-0.01,-0.18,1.26,0.02,-,0.2,0.09,-0.06,-0.06
18,Asset Writedown,-1.45,0.14,-0.15,0.14,-0.16,1.54,-1.57,4.15,-4.33,-,-
19,Other Unusual Items,-4.48,2.63,1.84,8.01,-,-,-,2.28,-,-,-
20,Pretax Income,39.74,45.03,34.98,44.62,38.3,50.35,35.06,53.46,42.31,36.28,36.28
21,Income Tax Expense,2.06,6.64,2.47,4.66,4.86,3.59,4.47,0.02,5.44,4.72,4.72
22,Net Income,37.68,38.39,32.51,39.96,33.45,46.76,30.59,53.44,36.88,31.55,31.55
23,Net Income to Common,37.68,38.39,32.51,39.96,33.45,46.76,30.59,53.44,36.88,31.55,31.55
24,Net Income Growth,12.65%,-17.90%,6.30%,-25.22%,-9.30%,48.20%,-3.06%,-,-,-,-
25,Shares Outstanding (Basic),118,122,118,121,120,91,90,90,90,90,90
26,Shares Outstanding (Diluted),118,122,118,121,120,91,90,90,90,90,90
27,Shares Change (YoY),-1.72%,34.60%,32.08%,33.71%,32.47%,0.63%,-0.71%,-,-,-,-
28,EPS (Basic),0.32,0.31,0.28,0.33,0.28,0.52,0.34,0.59,0.41,0.35,0.35
29,EPS (Diluted),0.32,0.31,0.28,0.33,0.28,0.52,0.34,0.59,0.41,0.35,0.35
30,EPS Growth,14.62%,-39.01%,-19.52%,-44.08%,-31.53%,47.27%,-2.37%,-,-,-,-
31,Free Cash Flow,-85.47,-23.84,-111.66,164.05,-87.36,7.23,-63.12,43.49,17.14,-9.18,-9.18
32,Free Cash Flow Per Share,-0.73,-0.20,-0.94,1.36,-0.73,0.08,-0.71,0.48,0.19,-0.10,-0.10
33,Dividend Per Share,-,-,-,0.833,-,-,-,-,-,-,-
34,Gross Margin,22.63%,21.73%,27.28%,21.32%,28.40%,33.41%,31.51%,31.68%,35.31%,31.42%,31.42%
