,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,4694,3102,3125,3809,4520,4854,4242,-,-,-,-,-
1,Market Cap Growth,-36.09%,-36.09%,-26.33%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3954,2235,2158,2752,3464,3698,4370,-,-,-,-,-
3,Last Close Price,39.50,25.98,25.28,30.65,36.38,39.07,34.14,-,-,-,-,-
4,PE Ratio,31.83,20.89,21.65,24.94,29.98,29.55,25.30,-,-,-,-,-
5,PS Ratio,4.04,2.65,2.82,3.73,4.47,5.04,4.62,-,-,-,-,-
6,PB Ratio,2.43,1.60,1.64,1.92,2.31,2.53,2.25,-,-,-,-,-
7,P/TBV Ratio,1.66,1.66,1.69,1.96,2.36,2.58,2.29,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,217.36,-,896.40,-,-,-,-,-
9,P/OCF Ratio,22.40,-,35.77,-,51.27,-,58.62,-,-,-,-,-
10,EV/Sales Ratio,3.38,1.91,1.95,2.70,3.43,3.84,4.76,-,-,-,-,-
11,EV/EBITDA Ratio,20.30,12.20,12.76,14.78,18.67,18.93,20.78,-,-,-,-,-
12,EV/EBIT Ratio,32.60,16.58,16.97,18.71,22.67,21.86,23.84,-,-,-,-,-
13,EV/FCF Ratio,-69.46,-,-,-,166.57,-,923.55,-,-,-,-,-
14,Debt / Equity Ratio,0.13,0.13,0.09,0.02,0.04,0.01,0.04,0.11,0.11,-,0.19,0.19
15,Debt / EBITDA Ratio,1.33,1.22,0.97,0.26,0.37,0.09,0.28,0.39,0.29,-,0.56,0.56
16,Debt / FCF Ratio,-,-,-,-,3.45,-,14.51,-,1.60,-,-,-
17,Asset Turnover,0.50,0.51,0.40,0.60,0.46,-,-,-,-,0.85,-,
18,Inventory Turnover,2.99,2.93,3.31,2.88,4.49,2.92,-,-,-,-,2.93,-
19,Quick Ratio,2.74,2.74,2.68,5.14,4.41,5.96,5.13,-,1.13,-,1.27,1.27
20,Current Ratio,3.45,3.45,3.28,6.11,5.03,7.02,5.90,-,1.77,-,1.87,1.87
21,Return on Equity (ROE),7.84%,7.90%,6.61%,8.26%,7.05%,14.95%,19.72%,-,-,23.79%,-,
22,Return on Assets (ROA),4.11%,3.21%,3.44%,3.64%,3.77%,-,-,-,-,10.76%,-,
23,Return on Capital (ROIC),4.74%,3.70%,3.87%,4.11%,4.24%,9.52%,13.49%,-,-,14.59%,-,
24,Return on Capital Employed (ROCE),6.25%,6.95%,6.64%,7.39%,7.81%,8.82%,9.72%,-,26.87%,-,13.03%,6.52%
25,Earnings Yield,3.16%,4.79%,4.62%,4.01%,3.34%,3.38%,3.95%,-,-,-,-,-
26,FCF Yield,-1.21%,-1.83%,-1.88%,-0.73%,0.46%,-2.06%,0.11%,-,-,-,-,-
27,Dividend Yield,2.05%,-,-,-,2.29%,-,-,-,-,-,-,-
28,Payout Ratio,64.60%,252.49%,3.56%,0.80%,-,0.62%,3.18%,1.37%,-,1.35%,2.81%,2.81%
29,Buyback Yield / Dilution,-22.68%,1.72%,-34.60%,-32.08%,-33.71%,-32.47%,-0.63%,0.71%,-,-,-,-
30,Total Shareholder Return,-20.62%,1.72%,-34.60%,-32.08%,-31.42%,-32.47%,-0.63%,0.71%,-,-,-,-
