,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,417.44,447.04,464.81,520.62,712.27,991.33,1368,1162,395.46,401.38,569.58,455.46,-,230.53,-,303.72,303.72,-,-
1,Trading Asset Securities,103.02,109.46,131.02,135.67,154.48,161.08,143.27,134.76,126.26,126.18,96.45,105.18,-,156.75,-,80.39,80.39,-,-
2,Cash & Short-Term Investments,520.46,556.51,595.83,656.29,866.75,1152,1512,1297,521.72,527.56,666.03,560.63,-,387.28,384.11,384.11,384.11,-,237.08
3,Cash Growth,-39.95%,-51.71%,-60.58%,-49.40%,66.13%,118.44%,126.96%,131.34%,-,36.22%,73.39%,45.95%,-,-,62.02%,-,-,-,-
4,Accounts Receivable,443.28,560.85,560.58,591,618.24,751.37,719.41,699.66,653.88,775.87,696.73,740.21,-,857.14,-,866.73,866.73,-,-
5,Other Receivables,155.21,358.96,169.63,304.41,189.5,353.72,56.44,103.27,26.75,106.8,69.95,156.93,-,149.44,-,118.79,118.79,-,-
6,Receivables,598.49,919.81,730.21,895.41,807.74,1105,775.85,802.93,680.64,882.67,766.68,897.14,-,1007,-,985.52,985.52,-,-
7,Inventory,971.01,860.18,901.58,1011,975.52,919.42,1013,1242,1373,1237,1182,1193,-,927.02,-,718.77,718.77,-,-
8,Prepaid Expenses,-,-,-,3.29,-,0.26,-,6.85,-,0.84,-,0.21,-,1.01,-,1.1,1.1,-,-
9,Other Current Assets,170.45,39.24,187.74,37.79,192.84,58.54,176.74,46.52,152.98,64.82,159.46,65.18,-,75.77,-,52.28,52.28,-,-
10,Total Current Assets,2260,2376,2415,2604,2843,3236,3477,3396,2729,2713,2774,2716,-,2398,-,2142,2142,-,-
11,"Property, Plant & Equipment",3089,3095,3207,3200,3409,3496,3426,2846,2777,2565,2453,2432,-,2167,-,2023,2023,-,-
12,Long-Term Investments,341.49,340.76,343.32,340.37,338.02,294.61,298.61,164.99,209.73,200.5,149.48,21.51,-,64.86,-,53.62,53.62,-,-
13,Goodwill,59.64,59.64,59.64,59.64,59.64,59.64,59.64,59.64,62.6,62.6,62.6,62.6,-,57.39,-,57.39,57.39,-,-
14,Other Intangible Assets,815.4,810.7,805.47,821.81,380.68,428.51,435.22,439.83,427.95,417.35,417.74,385.92,-,255.6,-,258.41,258.41,-,-
15,Long-Term Deferred Tax Assets,196.05,175,156.7,142.73,144.55,135.3,130.07,129.56,123.28,113.78,115.37,89.52,-,72.36,-,53.46,53.46,-,-
16,Long-Term Deferred Charges,37.51,41.26,36.77,37.71,27.47,32.77,38.14,43.58,46.21,51.95,52.42,52.07,-,42.24,-,48.24,48.24,-,-
17,Other Long-Term Assets,194.86,214.27,163.97,154.74,232.7,197.02,236.85,262.96,202.26,216.76,217.78,217.36,-,206.46,-,185.29,185.29,-,-
18,Total Assets,6995,7112,7188,7361,7435,7879,8102,7342,6578,6341,6243,5977,-,5263,-,4821,4821,-,-
19,Accounts Payable,290.43,366.73,367.39,415.4,453.27,425.02,608.66,570.96,673.47,592.39,554.07,580.75,-,554.86,-,415.83,415.83,-,-
20,Accrued Expenses,65.59,95.14,59.86,125.53,74.84,116.22,82.51,176.14,122.64,141.61,84.73,259.69,-,129.81,-,205.87,205.87,-,-
21,Short-Term Debt,1182,1200,1290,1453,1738,2264,2720,2504,2357,2491,2520,2431,-,2464,-,2313,2313,-,-
22,Current Portion of Long-Term Debt,693.56,661.17,106.28,149.01,92.05,81.42,93.5,77.58,86.02,57.8,39.81,25.61,-,29.46,-,33.13,33.13,-,-
23,Current Portion of Leases,-,5.63,-,8.17,-,7.98,-,13.95,-,16.53,-,11.07,-,16.37,-,-,-,-,-
24,Current Income Taxes Payable,53.29,17.86,26.75,24.21,57.45,23.5,73.78,45.99,98.04,66.43,65.56,53.88,-,53.16,-,33.74,33.74,-,-
25,Current Unearned Revenue,30.15,25.45,36.58,27.89,28.29,25.48,39.95,35.05,36.75,41.7,39.78,49.24,-,34.3,-,51.8,51.8,-,-
26,Other Current Liabilities,123.26,151.52,71.29,92.42,70.09,91.47,94.62,103.99,121.81,119.75,156.38,260.05,-,224.62,-,159.2,159.2,-,-
27,Total Current Liabilities,2439,2523,1958,2296,2514,3035,3713,3528,3495,3527,3460,3672,-,3507,-,3212,3212,-,-
28,Long-Term Debt,1676,1661,2223,2017,1826,1708,1354,924.89,369.12,329.28,329.51,7.23,-,19.46,-,32.58,32.58,-,-
29,Long-Term Leases,22.2,7.74,9.93,7.16,8.56,8.72,22.84,21.63,19.56,22.32,18.18,21.25,-,40.28,-,-,-,-,-
30,Long-Term Unearned Revenue,213.01,214.97,216.24,217.99,182.49,191.2,192.57,193.76,198.31,198.38,204.9,123.01,-,77.66,-,78.77,78.77,-,-
31,Long-Term Deferred Tax Liabilities,10.81,8.59,10.1,9.57,17.6,17.73,14.98,15.15,18.48,15.89,17.95,17.89,-,2.05,-,4,4,-,-
32,Other Long-Term Liabilities,-,-,-,-,-,-,15.58,12.97,10.64,9.52,14.86,14.17,-,13.62,-,15.65,15.65,-,-
33,Total Liabilities,4361,4415,4417,4548,4549,4961,5313,4696,4111,4102,4045,3855,-,3660,-,3343,3343,-,-
34,Common Stock,555.56,555.56,555.56,555.56,555.56,555.56,555.56,555.56,555.56,555.56,555.56,555.56,-,500,-,500,500,-,-
35,Additional Paid-In Capital,552.77,552.77,550.94,-,553.64,553.64,553.63,-,560.83,560.83,613.42,613.42,-,206.24,-,206.15,206.15,-,-
36,Retained Earnings,1346,1332,1363,1356,1380,1377,1422,1365,1305,1188,1113,1052,-,995.05,-,820.39,820.39,-,-
37,Treasury Stock,-58.81,-13.17,-8.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,122.21,151.61,156.38,695.95,180.24,211.75,38.37,617.82,-22.54,-118.84,-156.97,-168.9,-,-142.86,-,-93.95,-93.95,-,-
39,Total Common Equity,2518,2579,2617,2608,2669,2698,2569,2539,2399,2185,2125,2052,-,1558,1433,1433,1433,-,1322
40,Minority Interest,116.08,117.87,153.66,205.45,217.54,220.28,219.73,106.71,67.04,53.28,72.42,69.99,-,44.78,-,45.21,45.21,-,-
41,Shareholders' Equity,2634,2697,2771,2813,2887,2919,2789,2645,2466,2239,2198,2122,-,1603,1478,1478,1478,-,1354
42,Total Liabilities & Equity,6995,7112,7188,7361,7435,7879,8102,7342,6578,6341,6243,5977,-,5263,-,4821,4821,-,-
43,Total Debt,3574,3535,3629,3635,3665,4070,4190,3542,2831,2917,2907,2496,-,2570,2378,2378,2378,-,2372
44,Net Cash (Debt),-3054,-2979,-3033,-2979,-2798,-2918,-2678,-2245,-2310,-2389,-2241,-1936,-,-2183,-1994,-1994,-1994,-,-2135
45,Net Cash Per Share,-4.51,-8.54,-4.47,-5.58,-4.88,-5.55,-4.27,-3.97,-4.13,-4.26,-4.01,-3.52,-,-4.19,-4.18,-4.09,-4.09,-,-4.22
46,Filing Date Shares Outstanding,543.48,553.22,554.07,555.56,555.56,555.56,555.56,555.56,555.56,555.56,555.56,555.56,497.37,500,476.66,500,500,505.66,505.66
47,Total Common Shares Outstanding,543.48,553.22,554.07,555.56,555.56,555.56,555.56,555.56,555.56,555.56,555.56,555.56,497.37,500,476.66,500,500,505.66,505.66
48,Working Capital,-178.21,-147.36,457.69,307.85,328.7,200.31,-235.38,-132.43,-766.61,-813.75,-685.6,-955.35,-,-1109,-,-1070,-1070,-,-
49,Book Value Per Share,4.63,4.66,4.72,4.69,4.80,4.86,4.62,4.57,4.32,3.93,3.83,3.69,-,3.12,2.87,2.87,2.87,-,2.64
50,Tangible Book Value,1643,1708,1752,1726,2229,2210,2074,2039,1909,1705,1645,1603,-,1245,1117,1117,1117,-,1102
51,Tangible Book Value Per Share,3.02,3.09,3.16,3.11,4.01,3.98,3.73,3.67,3.44,3.07,2.96,2.89,-,2.49,2.23,2.23,2.23,-,2.20
52,Land,-,178.82,-,181.92,-,-,-,2.2,-,2.18,-,-,-,2.52,-,-,-,-,-
53,Buildings,-,1460,-,1567,-,-,-,1473,-,1436,-,1346,-,1247,-,1263,1263,-,-
54,Machinery,-,2851,-,2827,-,-,-,2807,-,2649,-,2469,-,2284,-,2212,2212,-,-
55,Construction In Progress,-,301.25,-,296.8,-,-,-,419,-,203.29,-,239.3,-,150.59,-,81.41,81.41,-,-
