,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3266,3092,2776,3911,4306,4422,4844,5533,5978,5706,6933,6294,6711,-,-,-,-,-,-,-
1,Market Cap Growth,-30.07%,-30.07%,-42.70%,-29.32%,-27.97%,-22.49%,-30.13%,-12.09%,-10.93%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6436,6189,5963,6927,7321,7560,7743,7910,8354,8148,9247,8522,8939,-,-,-,-,-,-,-
3,Last Close Price,6.01,5.59,5.01,6.92,7.62,7.83,8.57,9.56,10.33,9.86,11.98,10.78,11.49,-,-,-,-,-,-,-
4,PE Ratio,202.73,186.38,592.46,71.51,-,23.26,15.86,14.91,15.89,15.40,22.17,20.31,23.03,-,-,-,-,-,-,-
5,Forward PE,40.98,31.06,16.16,14.15,17.82,13.68,11.95,10.89,12.44,13.10,15.53,16.07,18.58,-,-,-,-,-,-,-
6,PS Ratio,0.91,0.83,0.69,0.90,0.93,0.85,0.85,0.94,1.00,0.96,1.21,1.15,1.30,-,-,-,-,-,-,-
7,PB Ratio,1.30,1.17,1.03,1.41,1.53,1.53,1.66,1.98,2.26,2.31,3.10,2.86,3.16,-,-,-,-,-,-,-
8,P/TBV Ratio,1.88,1.88,1.62,2.23,2.49,1.98,2.19,2.67,2.93,2.99,4.07,3.83,4.19,-,-,-,-,-,-,-
9,P/FCF Ratio,863.26,817.33,-48.62,-,-,-,-,-,-,-82.35,-,-,-,-,-,-,-,-,-,-
